x,y,z
2.000000000000000000e+02,3.000000000000000000e+01,3.270000000000000000e+02
4.990000000000000000e+02,4.300000000000000000e+02,4.750000000000000000e+02
3.820000000000000000e+02,3.950000000000000000e+02,6.900000000000000000e+01
1.670000000000000000e+02,4.600000000000000000e+01,2.950000000000000000e+02
2.230000000000000000e+02,2.400000000000000000e+01,3.230000000000000000e+02
9.400000000000000000e+01,9.600000000000000000e+01,3.390000000000000000e+02
3.900126582278480782e+02,4.220379746835442916e+02,9.793670886075949511e+01
4.210000000000000000e+02,4.241219512195121979e+02,1.300000000000000000e+02
4.628962962962963275e+02,4.650666666666666629e+02,3.449777777777777601e+02
2.001212121212121247e+02,3.996969696969699726e+01,2.479696969696969688e+02
2.340124999999999886e+02,7.012500000000000000e+01,1.489625000000000057e+02
2.621219512195121979e+02,4.900000000000000000e+01,1.880487804878048905e+02
5.360909090909091219e+02,3.589204545454545041e+02,3.129431818181818130e+02
3.878941176470588061e+02,2.020352941176470836e+02,6.091764705882352615e+01
6.309876543209873034e+01,1.439876543209876445e+02,3.868888888888889142e+02
1.178783783783783861e+02,2.460945945945945823e+02,7.702702702702703164e+01
5.591363636363636260e+02,2.810568181818181870e+02,4.279431818181818130e+02
2.858676470588235361e+02,3.695588235294115975e+01,2.211029411764705799e+02
4.900749999999999886e+02,3.988999999999999773e+02,2.128750000000000000e+02
2.669154929577464941e+02,2.616901408450706867e+01,4.670000000000000000e+02
5.571219512195121979e+02,2.420243902439024168e+02,4.151463414634146147e+02
2.311285714285714334e+02,3.787142857142856656e+01,4.829142857142857110e+02
2.100519480519480453e+02,5.719480519480521252e+01,1.850000000000000000e+02
4.151558441558441928e+02,3.099740259740259489e+02,6.087012987012987253e+01
5.200000000000000000e+01,1.759189189189189051e+02,2.121891891891891930e+02
4.229487179487179560e+02,3.358974358974359120e+02,7.282051282051281760e+01
4.289210526315789593e+02,3.381973684210526017e+02,7.905263157894736992e+01
5.382142857142856656e+02,1.730612244897959044e+02,4.550102040816326507e+02
2.781643835616438309e+02,1.995890410958901384e+01,4.338493150684931265e+02
3.988736842105263349e+02,4.329894736842105090e+02,1.171894736842105260e+02
4.498198198198198270e+02,4.760180180180180400e+02,3.691621621621621898e+02
3.488636363636362603e+01,1.949318181818181870e+02,3.587954545454545610e+02
5.180933333333333621e+02,2.959066666666666379e+02,2.037866666666666617e+02
4.259499999999999886e+02,3.629499999999999886e+02,8.575000000000000000e+01
2.690000000000000000e+02,3.588297872340427830e+01,5.142340425531914434e+02
5.582282608695652470e+02,2.838695652173913118e+02,4.069673913043478137e+02
1.491499999999999773e+02,5.280000000000001137e+01,3.248999999999999773e+02
4.000000000000000000e+02,6.325000000000000000e+01,5.711000000000000227e+02
2.290000000000000000e+02,9.517391304347825098e+01,1.127934782608695627e+02
3.642727272727272521e+02,2.589545454545454390e+02,3.000000000000000000e+01
1.960000000000000000e+02,4.621428571428572241e+01,4.698214285714285552e+02
4.499239130434782510e+02,1.042173913043478137e+02,2.278260869565217490e+02
1.911578947368420813e+02,4.417105263157895934e+01,4.498157894736842195e+02
8.727272727272725206e+01,1.330454545454545610e+02,4.508863636363636260e+02
9.577528089887641727e+01,2.571348314606741496e+02,9.685393258426965701e+01
6.894117647058823195e+01,1.782470588235294144e+02,4.668352941176470381e+02
4.602352941176468448e+01,3.642705882352940989e+02,2.081411764705882490e+02
4.522461538461538453e+02,6.886923076923079634e+01,3.868692307692307963e+02
5.579247311827956537e+02,2.792365591397849585e+02,3.958172043010752645e+02
4.319834710743801907e+02,5.773553719008265261e+01,4.638347107438016792e+02
2.106666666666671972e+01,2.902777777777777715e+02,2.438666666666666742e+02
3.849473684210526017e+02,2.337236842105263008e+02,4.684210526315789735e+01
4.229871794871794464e+02,3.278589743589743648e+02,7.070512820512820440e+01
5.571829268292682400e+02,2.402682926829268126e+02,4.359390243902439011e+02
4.326153846153840732e+01,2.120307692307692378e+02,1.958000000000000114e+02
4.833294117647058670e+02,4.039882352941176578e+02,2.049411764705882320e+02
2.598979591836734926e+01,2.842040816326530717e+02,2.197346938775510239e+02
3.312359550561802735e+01,3.308876404494382086e+02,2.147078651685393140e+02
1.908947368421052602e+02,5.394736842105265850e+01,4.906842105263157805e+02
3.788899999999999864e+02,4.602400000000000091e+02,1.367899999999999920e+02
2.400000000000000000e+01,2.479325842696629252e+02,2.376629213483145975e+02
5.488799999999999955e+02,3.352533333333333303e+02,3.671999999999999886e+02
3.280434782608699606e+01,2.792173913043478137e+02,1.968152173913043441e+02
7.304000000000002046e+01,1.679499999999999886e+02,4.656600000000000250e+02
2.731313131313129361e+01,3.261212121212121247e+02,3.600909090909090651e+02
7.474025974025971664e+01,1.331948051948052125e+02,4.081298701298701417e+02
5.317052631578947057e+02,3.699157894736841854e+02,3.148210526315789366e+02
4.787532467532467422e+02,3.191948051948052125e+02,1.348311688311688386e+02
3.936666666666666288e+02,3.950952380952380736e+02,7.690476190476189799e+01
4.519743589743590064e+02,8.664102564102563520e+01,2.769914529914530021e+02
4.780898876404489783e+01,1.709438202247191043e+02,3.796966292134831633e+02
2.693636363636363740e+02,5.500000000000000000e+01,5.810000000000000000e+02
5.302814814814814781e+02,2.157703703703703582e+02,2.640222222222222399e+02
4.804494382022471655e+01,3.771573033707865079e+02,2.196741573033707766e+02
4.571604938271605079e+02,3.067283950617284063e+02,1.031851851851851904e+02
2.323529411764707220e+01,2.401529411764705628e+02,2.487647058823529278e+02
5.459076923076922867e+02,3.333076923076923208e+02,3.328153846153846303e+02
5.529384615384615245e+02,2.190153846153846189e+02,4.836307692307692037e+02
1.332448979591836746e+02,9.175510204081632537e+01,1.888571428571428612e+02
4.170000000000000000e+02,4.980172413793104624e+01,3.433189655172413950e+02
5.148314606741572561e+02,2.041235955056179705e+02,2.283146067415730442e+02
5.102105263157894797e+02,2.582280701754385746e+02,1.887807017543859729e+02
3.832941176470587834e+02,4.052352941176470722e+02,7.694117647058823195e+01
5.010860215053763795e+02,3.832688172043010582e+02,2.187419354838709751e+02
4.781030927835051898e+02,4.130824742268041518e+02,2.076391752577319494e+02
5.488876404494382086e+02,3.308089887640449547e+02,3.553146067415730158e+02
2.586341463414634063e+02,2.387804878048780211e+01,2.769756097560975832e+02
2.548999999999999773e+02,5.373333333333334849e+01,1.777333333333333201e+02
3.922755905511810965e+02,3.595275590551182177e+01,4.167244094488189035e+02
4.461379310344827900e+02,6.734482758620691811e+01,4.718706896551724412e+02
4.256106870229007768e+02,5.205343511450382721e+01,4.340152671755725464e+02
5.188936170212765546e+02,3.650851063829787222e+02,2.466276595744680833e+02
1.338500000000000227e+02,9.163333333333332575e+01,4.819499999999999886e+02
3.987050359712230261e+02,3.884892086330933125e+01,4.267769784172662071e+02
5.428421052631579187e+02,3.560000000000000000e+02,4.936315789473684390e+02
5.261585365853658232e+02,2.812073170731707705e+02,2.236951219512195053e+02
2.053409090909090651e+02,5.288636363636362603e+01,5.068181818181818130e+02
2.777846153846153925e+02,4.033846153846155858e+01,2.099538461538461434e+02
5.347727272727272521e+02,3.492727272727272521e+02,2.888030303030303116e+02
3.551809523809523625e+02,1.302761904761904930e+02,9.276190476190475920e+01
3.691499999999999773e+02,3.041499999999999773e+02,3.035000000000000142e+01
1.788108108108108354e+02,5.324324324324322788e+01,4.627297297297297405e+02
3.960967741935484128e+02,4.290967741935484128e+02,1.106129032258064484e+02
3.610208333333333712e+02,2.783333333333331439e+01,4.426250000000000000e+02
4.572421875000000000e+02,7.710156250000000000e+01,3.386796875000000000e+02
2.324210526315789593e+01,2.870105263157894342e+02,2.316631578947368553e+02
5.458870967741935374e+02,3.467258064516129252e+02,3.687096774193548185e+02
3.559701492537317336e+01,1.990447761194029681e+02,3.719104477611940069e+02
5.319724137931034420e+02,1.868620689655172669e+02,3.106068965517241622e+02
1.249382716049382793e+02,1.081851851851851620e+02,1.696296296296296191e+02
5.309090909090912191e+01,2.108727272727272748e+02,4.506090909090909236e+02
6.086111111111108585e+01,1.500833333333333144e+02,2.316111111111111143e+02
3.866428571428571104e+02,3.987857142857142776e+02,7.407142857142856940e+01
3.831904761904762040e+02,3.390476190476192642e+01,4.396349206349206611e+02
4.030180180180179832e+02,4.799189189189189051e+02,2.085855855855855907e+02
4.321538461538461888e+02,5.974038461538464162e+01,4.827019230769230944e+02
6.104999999999995453e+01,2.623999999999999773e+02,4.898666666666666742e+02
2.276923076923076792e+02,2.211538461538464162e+01,3.477307692307692264e+02
4.101886792452830264e+02,3.473207547169811278e+02,6.520754716981132049e+01
7.027272727272725206e+01,1.261818181818181870e+02,3.587272727272727479e+02
3.771250000000000000e+02,4.568645833333333144e+02,1.296145833333333428e+02
5.558571428571428896e+02,3.112727272727272521e+02,4.196883116883116713e+02
3.965779816513761489e+02,4.748807339449541587e+02,1.850000000000000000e+02
3.896666666666669698e+01,2.131333333333333258e+02,2.075833333333333428e+02
7.400000000000000000e+01,1.494237288135593076e+02,1.938813559322033768e+02
4.028210526315789366e+02,4.539999999999997726e+01,3.199473684210526585e+02
3.806875000000000000e+02,5.768750000000000000e+01,5.730000000000000000e+02
2.959007092198581290e+02,2.467375886524820316e+01,4.722836879432624073e+02
1.393376623376623229e+02,1.402597402597402834e+02,1.131298701298701275e+02
1.933707865168537410e+01,2.540000000000000000e+02,2.637078651685393424e+02
4.733307692307692491e+02,8.527692307692308304e+01,4.288846153846153584e+02
5.156454545454545269e+02,1.331000000000000227e+02,4.147454545454545496e+02
3.349199999999999591e+02,2.284399999999999977e+02,2.603999999999999915e+01
4.496692913385826955e+02,8.105511811023620794e+01,2.897007874015748143e+02
2.250655737704918238e+02,2.455737704918033160e+01,3.980491803278688394e+02
4.015890410958904226e+02,4.020273972602739718e+02,8.919178082191780277e+01
4.642621359223301170e+02,8.033980582524270631e+01,4.698446601941747645e+02
2.380675675675675507e+02,3.713513513513515818e+01,4.915675675675675507e+02
4.447459016393442539e+02,8.472950819672132639e+01,2.647295081967213264e+02
1.705660377358492497e+01,2.797735849056604138e+02,3.186037735849056389e+02
4.047445255474452779e+02,4.215328467153284464e+01,4.366496350364963632e+02
4.233925925925925640e+02,1.817629629629629449e+02,1.010666666666666629e+02
4.992926829268292863e+02,3.786707317073170316e+02,2.078536585365853568e+02
1.200512820512820440e+02,7.246153846153845279e+01,3.320256410256410504e+02
3.953793103448275588e+02,4.998275862068965694e+02,2.957931034482758719e+02
1.621025641025640880e+02,6.120512820512823282e+01,4.555897435897435912e+02
3.420681818181818130e+02,2.667045454545456096e+01,3.026704545454545610e+02
4.301311475409836476e+02,5.445081967213116059e+01,4.229590163934425959e+02
1.630000000000000000e+02,4.633333333333331439e+01,3.086666666666666856e+02
1.853333333333333144e+02,3.533333333333331439e+01,3.430000000000000000e+02
1.746666666666666856e+02,4.000000000000000000e+01,3.456666666666666856e+02
5.485955882352941444e+02,2.312500000000000000e+02,3.360220588235293917e+02
2.408620689655174374e+01,3.288620689655172100e+02,3.355517241379310462e+02
4.041450381679389352e+02,1.261832061068702160e+02,1.325801526717557124e+02
5.573913043478261216e+02,2.998405797101449366e+02,4.187681159420289987e+02
5.409931034482758605e+02,2.364137931034482563e+02,2.887517241379310349e+02
7.033333333333331439e+01,1.331851851851851620e+02,2.407037037037036953e+02
4.463908045977011625e+02,3.198965517241379075e+02,9.273563218390805218e+01
2.870085470085473389e+01,2.603504273504273669e+02,3.908547008547008659e+02
4.581690140845070118e+02,4.701267605633802873e+02,4.105633802816901152e+02
5.592500000000000000e+02,2.647500000000000000e+02,4.666666666666666856e+02
4.431487603305785115e+02,4.801735537190082823e+02,3.595702479338842750e+02
1.691011235955056691e+01,2.795393258426965986e+02,2.798651685393258504e+02
4.061009174311926699e+02,4.947706422018347894e+01,3.069633027522936004e+02
3.649142857142857110e+02,2.630714285714287826e+01,3.746285714285714334e+02
5.419428571428571786e+02,2.676857142857143117e+02,2.796285714285714334e+02
1.191428571428571672e+02,8.719047619047620401e+01,2.275714285714285836e+02
4.452571428571428669e+02,4.792428571428571331e+02,3.916571428571428442e+02
5.801999999999998181e+01,2.211999999999999886e+02,4.705500000000000114e+02
5.398395061728394921e+02,3.521481481481481524e+02,3.235555555555555429e+02
5.332966101694914869e+02,2.276694915254237230e+02,2.647796610169491487e+02
