x,y,z
1.203333333333333428e+02,7.100000000000000000e+01,3.136666666666666856e+02
1.102500000000000000e+02,7.562500000000000000e+01,2.026250000000000000e+02
2.069523809523809632e+02,2.671428571428571104e+02,2.756666666666666856e+02
1.330000000000000000e+02,2.852857142857142776e+02,3.022857142857142776e+02
1.540000000000000000e+02,6.500000000000000000e+01,3.060000000000000000e+02
1.110000000000000000e+02,7.200000000000000000e+01,1.590000000000000000e+02
1.270000000000000000e+02,6.800000000000000000e+01,2.640000000000000000e+02
1.600000000000000000e+02,2.970000000000000000e+02,3.630000000000000000e+02
1.388888888888888857e+02,2.636666666666666856e+02,9.966666666666667140e+01
1.501666666666666572e+02,2.866666666666666856e+02,3.031666666666666856e+02
9.300000000000000000e+01,7.833333333333331439e+01,1.586666666666666572e+02
1.257500000000000000e+02,2.617708333333333144e+02,1.017500000000000000e+02
1.202500000000000000e+02,2.672500000000000000e+02,1.092500000000000000e+02
8.050000000000000000e+01,2.580000000000000000e+02,1.120000000000000000e+02
1.210000000000000000e+02,2.640000000000000000e+02,2.040000000000000000e+02
1.945454545454545610e+02,2.732727272727272521e+02,2.796363636363636260e+02
1.015000000000000000e+02,2.570000000000000000e+02,1.590000000000000000e+02
1.609230769230769056e+02,2.667692307692307736e+02,1.951538461538461604e+02
1.884545454545454390e+02,2.832272727272727479e+02,2.905454545454545610e+02
1.690000000000000000e+02,2.830000000000000000e+02,2.970000000000000000e+02
1.808823529411764639e+02,2.582352941176470722e+02,1.827058823529411882e+02
9.770588235294118817e+01,2.610000000000000000e+02,6.170588235294117396e+01
1.372500000000000000e+02,2.735000000000000000e+02,2.535000000000000000e+02
1.716111111111111143e+02,2.598333333333333144e+02,1.868888888888888857e+02
9.200000000000000000e+01,2.510000000000000000e+02,1.610000000000000000e+02
5.000000000000000000e+01,2.530000000000000000e+02,2.200000000000000000e+01
1.045000000000000000e+02,2.575416666666666856e+02,5.629166666666666430e+01
