x,y,z
1.273333333333333428e+02,6.183333333333331439e+01,3.671666666666666856e+02
1.205000000000000000e+02,7.100000000000000000e+01,3.140000000000000000e+02
1.103846153846153868e+02,7.561538461538464162e+01,2.024615384615384528e+02
8.766666666666665719e+01,7.300000000000000000e+01,1.193333333333333286e+02
2.067777777777777715e+02,2.672222222222222285e+02,2.755555555555555429e+02
1.111999999999999886e+02,7.200000000000000000e+01,1.594000000000000057e+02
1.330000000000000000e+02,2.853333333333333144e+02,3.021666666666666856e+02
1.968333333333333144e+02,6.933333333333331439e+01,2.798333333333333144e+02
1.541428571428571388e+02,6.514285714285716722e+01,3.055714285714285552e+02
1.490000000000000000e+02,7.000000000000000000e+01,1.462500000000000000e+02
1.271250000000000000e+02,6.825000000000000000e+01,2.633750000000000000e+02
1.600000000000000000e+02,2.963333333333333144e+02,3.626666666666666856e+02
1.500000000000000000e+02,2.865000000000000000e+02,3.030000000000000000e+02
1.220000000000000000e+02,2.640000000000000000e+02,2.035000000000000000e+02
1.210000000000000000e+02,2.660000000000000000e+02,1.625000000000000000e+02
1.799000000000000057e+02,2.991000000000000227e+02,3.506000000000000227e+02
1.205714285714285836e+02,2.674285714285714448e+02,1.094285714285714306e+02
1.258461538461538396e+02,2.620000000000000000e+02,1.019615384615384670e+02
1.020000000000000000e+02,2.570000000000000000e+02,1.590000000000000000e+02
9.325000000000000000e+01,7.850000000000000000e+01,1.585000000000000000e+02
8.050000000000000000e+01,2.580000000000000000e+02,1.120000000000000000e+02
1.945555555555555429e+02,2.733333333333333144e+02,2.796666666666666856e+02
1.860000000000000000e+02,6.423076923076922640e+01,2.867692307692307736e+02
1.608947368421052602e+02,2.667894736842105203e+02,1.952105263157894797e+02
1.886800000000000068e+02,2.831200000000000045e+02,2.904800000000000182e+02
1.396666666666666572e+02,2.690000000000000000e+02,2.073333333333333428e+02
1.690000000000000000e+02,2.835000000000000000e+02,2.970000000000000000e+02
1.380000000000000000e+02,6.600000000000000000e+01,3.130000000000000000e+02
1.534444444444444571e+02,7.355555555555554292e+01,1.971111111111111143e+02
1.768947368421052602e+02,5.915789473684208133e+01,2.987368421052631788e+02
1.806666666666666856e+02,2.580000000000000000e+02,1.826666666666666572e+02
7.200000000000000000e+01,7.900000000000000000e+01,1.140000000000000000e+02
9.750000000000000000e+01,2.610000000000000000e+02,6.200000000000000000e+01
1.373333333333333428e+02,2.735555555555555429e+02,2.535555555555555429e+02
1.715000000000000000e+02,2.600000000000000000e+02,1.870000000000000000e+02
4.700000000000000000e+01,7.450000000000000000e+01,7.200000000000000000e+01
9.200000000000000000e+01,2.510000000000000000e+02,1.610000000000000000e+02
1.094000000000000057e+02,6.760000000000002274e+01,1.092000000000000028e+02
1.160476190476190368e+02,7.100000000000000000e+01,1.020952380952381020e+02
