x,y,z
1.270000000000000000e+02,6.200000000000000000e+01,3.670000000000000000e+02
1.200000000000000000e+02,7.100000000000000000e+01,3.140000000000000000e+02
1.100000000000000000e+02,7.600000000000000000e+01,2.030000000000000000e+02
1.540000000000000000e+02,6.500000000000000000e+01,3.060000000000000000e+02
1.330000000000000000e+02,2.850000000000000000e+02,3.020000000000000000e+02
1.110000000000000000e+02,7.200000000000000000e+01,1.590000000000000000e+02
1.270000000000000000e+02,6.800000000000000000e+01,2.640000000000000000e+02
1.500000000000000000e+02,2.870000000000000000e+02,3.030000000000000000e+02
9.300000000000000000e+01,7.800000000000000000e+01,1.590000000000000000e+02
1.200000000000000000e+02,2.670000000000000000e+02,1.100000000000000000e+02
1.610000000000000000e+02,2.670000000000000000e+02,1.950000000000000000e+02
1.380000000000000000e+02,6.600000000000000000e+01,3.130000000000000000e+02
1.760000000000000000e+02,5.900000000000000000e+01,3.000000000000000000e+02
1.370000000000000000e+02,2.730000000000000000e+02,2.540000000000000000e+02
4.700000000000000000e+01,7.500000000000000000e+01,7.200000000000000000e+01
