x,y,z
2.790000000000000000e+02,2.280000000000000000e+02,2.600000000000000000e+02
2.666778350515463671e+02,3.022203608247422721e+02,2.456198453608247405e+02
2.660323886639675948e+02,3.131214574898785372e+02,3.208785425101214628e+02
2.573136094674556489e+02,4.491715976331363436e+01,2.519053254437869782e+02
2.540000000000000000e+02,1.310000000000000000e+02,4.250000000000000000e+02
2.457054794520547887e+02,6.486301369862985666e+00,2.559623287671232958e+02
2.458770491803278730e+02,1.565163934426229559e+02,3.955327868852459119e+02
2.413727272727272748e+02,2.031818181818181870e+02,3.935727272727272634e+02
2.430000000000000000e+02,1.639999999999997726e+01,2.248000000000000114e+02
2.379736842105263008e+02,2.033421052631578902e+02,3.701052631578947398e+02
2.295999999999999943e+02,2.093090909090909122e+02,3.461090909090909236e+02
2.293076923076923208e+02,1.246153846153846132e+02,3.805384615384615472e+02
2.214187714374805012e+02,2.163062051761771158e+02,3.908023074524477920e+02
2.268502673796791385e+02,1.357005347593582769e+02,3.462245989304813065e+02
2.260582524271844704e+02,1.234951456310679703e+02,3.719805825242718242e+02
2.268571428571428612e+02,1.324285714285714164e+02,3.560000000000000000e+02
2.074892823858341160e+02,1.317216526871699216e+02,3.664544889717303704e+02
2.089629629629629619e+02,1.953703703703703809e+02,1.800000000000000000e+02
1.960239520958083972e+02,1.695688622754491064e+02,3.981856287425149503e+02
1.905000000000000000e+02,1.985000000000000000e+02,4.220000000000000000e+02
5.150000000000000000e+01,1.873333333333333428e+02,3.396666666666666856e+02
4.566666666666665719e+01,1.826111111111111143e+02,3.158611111111110858e+02
4.500000000000000000e+01,1.835000000000000000e+02,3.240000000000000000e+02
4.150000000000000000e+01,1.767500000000000000e+02,2.713750000000000000e+02
3.882352941176469585e+01,1.781176470588235361e+02,2.568235294117646959e+02
3.854545454545453254e+01,1.960909090909090935e+02,3.444545454545454390e+02
3.842857142857141639e+01,1.804285714285714164e+02,2.674285714285714448e+02
3.500000000000000000e+01,2.007142857142857224e+02,3.482857142857142776e+02
3.266666666666665719e+01,1.883333333333333428e+02,2.010000000000000000e+02
3.100000000000000000e+01,1.830000000000000000e+02,2.420000000000000000e+02
2.700000000000000000e+01,1.851111111111111143e+02,2.225555555555555429e+02
2.450000000000000000e+01,1.920000000000000000e+02,2.270000000000000000e+02
2.000000000000000000e+01,2.170000000000000000e+02,3.550000000000000000e+02
2.000000000000000000e+01,2.125000000000000000e+02,3.170000000000000000e+02
4.285714285714277594e+00,1.508214285714285836e+02,3.610000000000000000e+02
