x,y,z
1.092247474747474882e+02,7.556313131313129361e+01,2.025959595959595845e+02
1.195536723163841941e+02,7.108474576271186152e+01,3.140225988700564699e+02
2.509889298892989018e+02,3.376605166051660376e+02,3.698487084870848776e+02
1.872775330396475795e+02,3.164933920704845605e+02,4.028193832599118878e+02
1.331135531135531096e+02,6.173626373626370878e+01,2.063003663003663064e+02
1.102562814070351749e+02,7.163819095477384735e+01,1.595276381909547752e+02
1.337354497354497482e+02,2.849259259259259238e+02,3.026349206349206611e+02
1.481366120218579283e+02,5.509289617486336965e+01,3.663825136612022106e+02
2.069089026915114005e+02,3.084803312629399556e+02,3.711614906832298288e+02
1.838282828282828234e+02,3.027878787878788103e+02,4.260808080808080831e+02
1.525149999999999864e+02,6.442500000000001137e+01,3.059599999999999795e+02
1.667299703264095001e+02,5.317507418397627816e+01,3.606676557863501671e+02
1.250630630630630549e+02,6.127027027027025952e+01,3.671681681681681653e+02
1.964482758620689538e+02,6.863362068965517437e+01,2.791120689655172669e+02
2.064470588235294031e+02,2.673647058823529505e+02,2.746176470588235361e+02
9.024060150375939315e+01,7.996240601503757262e+01,1.588082706766917340e+02
2.140000000000000000e+02,6.950000000000000000e+01,2.950000000000000000e+02
2.260700389105058434e+02,4.612840466926070349e+01,3.771128404669260590e+02
2.620634920634920491e+02,3.297460317460317469e+02,3.600793650793650613e+02
1.496274509803921546e+02,2.868627450980392268e+02,3.032990196078431495e+02
1.596355140186915946e+02,2.965186915887850319e+02,3.628504672897196315e+02
1.772832167832168011e+02,3.105384615384615472e+02,4.157727272727272521e+02
1.204183673469387656e+02,2.659438775510204209e+02,1.628622448979591866e+02
1.940604838709677438e+02,4.451008064516128115e+01,3.802580645161290249e+02
2.370416666666666572e+02,2.987500000000000000e+02,3.649166666666666856e+02
1.253541666666666572e+02,6.747916666666668561e+01,2.637648809523809632e+02
1.673230769230769397e+02,5.726153846153846416e+01,4.363999999999999773e+02
1.559200000000000159e+02,4.248000000000001819e+01,4.141999999999999886e+02
2.078333333333333144e+02,5.195138888888891415e+01,3.750868055555555429e+02
1.795595667870036038e+02,2.992563176895307038e+02,3.508122743682310443e+02
1.504871794871794748e+02,6.930256410256407662e+01,1.449333333333333371e+02
2.171392405063291164e+02,3.002632911392404935e+02,3.613012658227847851e+02
1.211262135922330003e+02,2.634951456310679418e+02,2.037766990291262061e+02
1.016796875000000000e+02,2.567734375000000000e+02,1.594531250000000000e+02
1.255781250000000000e+02,2.958593750000000000e+02,3.625625000000000000e+02
1.513475935828876970e+02,7.281818181818181301e+01,1.969117647058823479e+02
2.225198412698412653e+02,2.880158730158730123e+02,3.594920634920634939e+02
1.825999999999999943e+02,4.075862068965517437e+01,3.965344827586206975e+02
