x,y,z
2.572605790645880006e+02,4.540757238307350008e+01,2.517483296213808330e+02
2.467500000000000000e+02,2.687500000000000000e+02,3.895000000000000000e+02
2.407619047619047592e+02,1.480952380952381020e+02,3.864761904761904816e+02
2.360434782608695627e+02,1.451739130434782510e+02,3.725217391304348098e+02
2.316800000000000068e+02,1.466399999999999864e+02,3.802400000000000091e+02
2.312156862745098067e+02,1.383137254901960773e+02,3.789607843137254690e+02
2.323043478260869392e+02,1.371304347826086882e+02,3.702173913043478137e+02
2.320000000000000000e+02,2.630000000000000000e+02,2.810000000000000000e+02
2.302500000000000000e+02,8.675000000000000000e+01,3.712500000000000000e+02
2.300714285714285552e+02,8.307142857142855519e+01,3.946428571428571672e+02
2.307142857142857224e+02,8.214285714285716722e+01,3.844285714285714448e+02
2.300000000000000000e+02,2.080000000000000000e+02,3.440000000000000000e+02
2.291999999999999886e+02,1.288000000000000114e+02,3.829333333333333371e+02
2.278620689655172384e+02,2.637586206896551744e+02,2.975862068965517437e+02
2.271538461538461604e+02,1.330000000000000000e+02,3.590769230769230944e+02
2.290000000000000000e+02,1.270000000000000000e+02,3.770000000000000000e+02
2.285555555555555429e+02,8.388888888888891415e+01,3.785555555555555429e+02
2.275714285714285552e+02,7.997142857142858929e+01,4.149142857142857110e+02
2.270000000000000000e+02,2.637500000000000000e+02,3.071250000000000000e+02
2.257701149425287213e+02,1.333218390804597675e+02,3.464942528735631981e+02
2.262941176470588402e+02,1.259411764705882320e+02,3.685882352941176237e+02
2.264117647058823479e+02,8.486274509803922683e+01,4.078823529411764639e+02
2.259523809523809632e+02,8.414285714285716722e+01,3.999761904761904816e+02
2.270000000000000000e+02,8.000000000000000000e+01,3.190000000000000000e+02
2.227405405405405361e+02,2.623189189189189392e+02,2.867513513513513317e+02
2.245000000000000000e+02,2.645000000000000000e+02,3.180000000000000000e+02
2.249375000000000000e+02,2.571875000000000000e+02,2.755937500000000000e+02
2.224749999999999943e+02,7.185000000000002274e+01,3.945000000000000000e+02
2.215000000000000000e+02,7.400000000000000000e+01,4.115000000000000000e+02
2.202758620689655231e+02,7.258620689655174374e+01,4.035172413793103487e+02
2.201538461538461604e+02,7.876923076923077360e+01,3.990769230769230944e+02
2.201851851851851904e+02,7.592592592592592382e+01,3.890370370370370097e+02
2.188636363636363740e+02,2.580454545454545610e+02,2.710909090909090651e+02
2.187142857142857224e+02,2.517142857142857224e+02,3.007142857142857224e+02
2.190625000000000000e+02,7.262500000000000000e+01,3.004375000000000000e+02
2.175000000000000000e+02,2.500000000000000000e+02,2.740000000000000000e+02
2.148211920529801375e+02,1.262781456953642305e+02,3.626754966887417027e+02
2.130000000000000000e+02,2.473333333333333144e+02,2.356666666666666572e+02
2.114444444444444571e+02,2.572222222222222285e+02,2.067777777777777715e+02
2.094285714285714448e+02,2.568571428571428896e+02,2.140357142857142776e+02
2.085000000000000000e+02,2.545000000000000000e+02,2.245000000000000000e+02
2.063478260869565020e+02,2.578260869565217490e+02,1.959565217391304373e+02
2.075000000000000000e+02,2.450000000000000000e+02,2.180000000000000000e+02
2.066829268292682968e+02,8.334146341463412000e+01,2.832682926829268126e+02
2.065454545454545610e+02,8.022727272727274794e+01,2.765909090909090651e+02
2.061904761904762040e+02,2.594761904761904816e+02,2.041904761904762040e+02
2.004225352112675864e+02,2.554507042253521263e+02,1.877323943661971839e+02
2.013333333333333144e+02,2.540000000000000000e+02,2.016666666666666572e+02
2.010000000000000000e+02,8.311111111111108585e+01,2.753333333333333144e+02
1.947857142857142776e+02,2.964107142857142776e+02,4.168214285714285552e+02
1.983000000000000114e+02,7.389999999999997726e+01,1.834000000000000057e+02
1.972500000000000000e+02,2.458750000000000000e+02,1.850000000000000000e+02
1.955999999999999943e+02,2.521999999999999886e+02,1.789000000000000057e+02
1.944324324324324493e+02,7.518918918918916461e+01,1.764594594594594525e+02
1.934230769230769056e+02,2.539615384615384528e+02,1.848461538461538396e+02
1.930000000000000000e+02,2.455000000000000000e+02,1.795000000000000000e+02
1.911111111111111143e+02,7.633333333333331439e+01,1.819629629629629619e+02
1.906428571428571388e+02,2.994285714285714448e+02,4.097142857142857224e+02
1.857407407407407618e+02,7.429100529100526273e+01,1.735820105820105823e+02
1.910000000000000000e+02,8.850000000000000000e+01,2.145000000000000000e+02
1.896250000000000000e+02,8.237500000000000000e+01,1.825714285714285836e+02
1.900000000000000000e+02,2.466666666666666856e+02,1.676666666666666572e+02
1.861250000000000000e+02,8.875000000000000000e+01,1.812500000000000000e+02
1.853333333333333144e+02,2.533333333333333144e+02,1.420000000000000000e+02
1.829090909090909065e+02,9.931818181818181301e+01,2.198181818181818130e+02
1.840000000000000000e+02,8.400000000000000000e+01,1.780000000000000000e+02
1.805384615384615472e+02,1.006153846153846132e+02,2.126923076923076792e+02
1.770636363636363626e+02,2.566272727272727252e+02,1.349727272727272691e+02
1.783750000000000000e+02,1.039583333333333428e+02,2.182500000000000000e+02
1.730844155844155807e+02,2.631948051948052125e+02,1.272012987012986969e+02
1.763750000000000000e+02,2.466250000000000000e+02,1.295000000000000000e+02
1.746363636363636260e+02,2.420909090909090935e+02,1.440909090909090935e+02
1.750000000000000000e+02,1.022173913043478137e+02,2.070000000000000000e+02
1.740000000000000000e+02,2.494705882352941160e+02,1.180000000000000000e+02
1.739166666666666856e+02,1.011666666666666572e+02,2.190833333333333428e+02
1.710000000000000000e+02,2.646923076923076792e+02,1.193076923076923066e+02
1.693142857142857167e+02,2.498000000000000114e+02,1.285999999999999943e+02
1.705555555555555429e+02,2.450000000000000000e+02,1.225000000000000000e+02
1.701999999999999886e+02,1.080000000000000000e+02,2.168000000000000114e+02
1.680000000000000000e+02,2.410000000000000000e+02,1.400000000000000000e+02
1.652500000000000000e+02,2.595000000000000000e+02,1.157500000000000000e+02
1.660000000000000000e+02,2.520000000000000000e+02,1.330000000000000000e+02
1.642857142857142776e+02,2.664285714285714448e+02,1.177142857142857082e+02
1.420000000000000000e+02,2.462500000000000000e+02,3.332500000000000000e+02
1.410000000000000000e+02,2.420000000000000000e+02,3.190000000000000000e+02
1.391176470588235361e+02,2.439411764705882320e+02,3.261764705882353041e+02
1.295000000000000000e+02,2.395000000000000000e+02,3.155000000000000000e+02
1.160000000000000000e+02,2.550000000000000000e+02,3.120000000000000000e+02
8.400000000000000000e+01,7.500000000000000000e+01,4.660000000000000000e+02
6.325000000000000000e+01,2.537500000000000000e+02,1.135000000000000000e+02
