x,y,z
1.086626506024096273e+02,7.557590361445784310e+01,2.023783132530120383e+02
1.278269230769230660e+02,6.199615384615384528e+01,3.669307692307692150e+02
1.880109427609427541e+02,3.175799663299663393e+02,4.038038720538720554e+02
1.191605351170568667e+02,7.098662207357858733e+01,3.138996655518394618e+02
8.785858585858585457e+01,7.274747474747476872e+01,1.194141414141414117e+02
1.045000000000000000e+02,7.000000000000000000e+01,4.650000000000000000e+02
2.163157894736842195e+02,7.147368421052630083e+01,2.919473684210526585e+02
1.310000000000000000e+02,2.775000000000000000e+02,3.010000000000000000e+02
1.095454545454545325e+02,7.154545454545456096e+01,1.592689393939394051e+02
1.841584553928095715e+02,3.032197070572569828e+02,4.265153129161118386e+02
1.250434782608695627e+02,2.616521739130434980e+02,2.029565217391304373e+02
1.521519607843137294e+02,6.430392156862745878e+01,3.056519607843137010e+02
2.107586206896551744e+02,7.434482758620691811e+01,2.861264367816091863e+02
7.482456140350876694e+01,2.518596491228070136e+02,1.142280701754386030e+02
2.186153846153846132e+02,7.323076923076922640e+01,3.105384615384615472e+02
1.280056179775280896e+02,6.857865168539325396e+01,2.633932584269662698e+02
1.119322033898305051e+02,2.422966101694915437e+02,2.695338983050847332e+02
1.215000000000000000e+02,6.900000000000000000e+01,3.646666666666666856e+02
1.773298507462686757e+02,3.110044776119402741e+02,4.161134328358209018e+02
2.160000000000000000e+02,7.200000000000000000e+01,2.990000000000000000e+02
2.090000000000000000e+02,7.200000000000000000e+01,2.890000000000000000e+02
8.760461956521740490e+01,8.120108695652174902e+01,1.584986413043478137e+02
6.805594405594405316e+01,2.474545454545454390e+02,1.084195804195804129e+02
1.215000000000000000e+02,2.510000000000000000e+02,3.090000000000000000e+02
1.843499999999999943e+02,2.571999999999999886e+02,1.845500000000000114e+02
1.995714285714285552e+02,7.128571428571427759e+01,2.814285714285714448e+02
1.559377990430621992e+02,4.237320574162680487e+01,4.137368421052631788e+02
6.632978723404255561e+01,2.413617021276595551e+02,1.152340425531914860e+02
1.655000000000000000e+02,2.930000000000000000e+02,3.620000000000000000e+02
7.460869565217390686e+01,2.300434782608695627e+02,1.196521739130434838e+02
1.636795952782462109e+02,5.027824620573358061e+01,4.254637436762225775e+02
1.390000000000000000e+02,6.600000000000000000e+01,2.070000000000000000e+02
1.817855711422845673e+02,3.068977955911823869e+02,4.743767535070140298e+02
1.162011834319526713e+02,6.326627218934913799e+01,4.209349112426035617e+02
1.681885964912280542e+02,2.839342105263157805e+02,2.970526315789473415e+02
1.002798742138364787e+02,2.569559748427673185e+02,1.592452830188679229e+02
1.708534482758620641e+02,3.177715517241379075e+02,4.021034482758620925e+02
1.374822695035460924e+02,6.558865248226948097e+01,3.129184397163120366e+02
1.534000000000000057e+02,5.819999999999998863e+01,3.663999999999999773e+02
1.326923076923076792e+02,5.764957264957263305e+01,4.181025641025640880e+02
