x,y,z
1.270000000000000000e+02,6.180000000000001137e+01,3.671999999999999886e+02
1.205000000000000000e+02,7.100000000000000000e+01,3.140000000000000000e+02
1.102857142857142776e+02,7.557142857142855519e+01,2.025000000000000000e+02
1.330000000000000000e+02,2.851999999999999886e+02,3.021999999999999886e+02
1.540000000000000000e+02,6.500000000000000000e+01,3.060000000000000000e+02
1.110000000000000000e+02,7.200000000000000000e+01,1.590000000000000000e+02
1.270000000000000000e+02,6.800000000000000000e+01,2.635000000000000000e+02
1.495000000000000000e+02,2.870000000000000000e+02,3.030000000000000000e+02
9.325000000000000000e+01,7.850000000000000000e+01,1.585000000000000000e+02
1.200000000000000000e+02,2.670000000000000000e+02,1.100000000000000000e+02
1.610000000000000000e+02,2.665000000000000000e+02,1.950000000000000000e+02
1.380000000000000000e+02,6.600000000000000000e+01,3.130000000000000000e+02
1.765000000000000000e+02,5.875000000000000000e+01,2.995000000000000000e+02
1.373333333333333428e+02,2.733333333333333144e+02,2.540000000000000000e+02
4.700000000000000000e+01,7.500000000000000000e+01,7.200000000000000000e+01
