x,y,z
2.790000000000000000e+02,2.280000000000000000e+02,2.780000000000000000e+02
2.780000000000000000e+02,3.000000000000000000e+00,3.240000000000000000e+02
2.760000000000000000e+02,2.220000000000000000e+02,2.620000000000000000e+02
2.680000000000000000e+02,3.150000000000000000e+02,3.090000000000000000e+02
2.600000000000000000e+02,2.940000000000000000e+02,2.460000000000000000e+02
2.580000000000000000e+02,2.930000000000000000e+02,2.460000000000000000e+02
2.580000000000000000e+02,2.480000000000000000e+02,4.060000000000000000e+02
2.570000000000000000e+02,2.830000000000000000e+02,3.350000000000000000e+02
2.570000000000000000e+02,2.470000000000000000e+02,4.080000000000000000e+02
2.560000000000000000e+02,2.850000000000000000e+02,3.350000000000000000e+02
2.560000000000000000e+02,7.200000000000000000e+01,4.230000000000000000e+02
2.560000000000000000e+02,2.400000000000000000e+01,3.200000000000000000e+02
2.550000000000000000e+02,2.870000000000000000e+02,3.550000000000000000e+02
2.490000000000000000e+02,3.310000000000000000e+02,3.730000000000000000e+02
2.490000000000000000e+02,2.850000000000000000e+02,1.960000000000000000e+02
2.480000000000000000e+02,2.830000000000000000e+02,1.950000000000000000e+02
2.440000000000000000e+02,2.800000000000000000e+02,2.940000000000000000e+02
2.440000000000000000e+02,2.490000000000000000e+02,3.650000000000000000e+02
2.410000000000000000e+02,4.700000000000000000e+01,2.780000000000000000e+02
2.410000000000000000e+02,4.500000000000000000e+01,2.200000000000000000e+02
2.400000000000000000e+02,2.820000000000000000e+02,1.720000000000000000e+02
2.390000000000000000e+02,2.810000000000000000e+02,1.950000000000000000e+02
2.380000000000000000e+02,2.760000000000000000e+02,1.770000000000000000e+02
2.380000000000000000e+02,2.660000000000000000e+02,2.570000000000000000e+02
2.370000000000000000e+02,2.690000000000000000e+02,2.700000000000000000e+02
2.340000000000000000e+02,2.660000000000000000e+02,2.160000000000000000e+02
2.320000000000000000e+02,2.660000000000000000e+02,2.250000000000000000e+02
2.320000000000000000e+02,2.650000000000000000e+02,2.440000000000000000e+02
2.310000000000000000e+02,8.200000000000000000e+01,3.910000000000000000e+02
2.260000000000000000e+02,1.320000000000000000e+02,3.600000000000000000e+02
2.260000000000000000e+02,1.280000000000000000e+02,3.670000000000000000e+02
2.190000000000000000e+02,2.580000000000000000e+02,1.600000000000000000e+02
2.170000000000000000e+02,2.600000000000000000e+02,1.640000000000000000e+02
2.170000000000000000e+02,2.580000000000000000e+02,1.640000000000000000e+02
2.170000000000000000e+02,2.570000000000000000e+02,1.620000000000000000e+02
2.120000000000000000e+02,2.570000000000000000e+02,1.620000000000000000e+02
2.120000000000000000e+02,2.550000000000000000e+02,1.620000000000000000e+02
2.100000000000000000e+02,6.700000000000000000e+01,1.590000000000000000e+02
2.060000000000000000e+02,2.580000000000000000e+02,1.970000000000000000e+02
2.020000000000000000e+02,1.430000000000000000e+02,2.150000000000000000e+02
1.950000000000000000e+02,7.200000000000000000e+01,1.780000000000000000e+02
1.940000000000000000e+02,2.470000000000000000e+02,1.780000000000000000e+02
1.930000000000000000e+02,2.470000000000000000e+02,1.760000000000000000e+02
1.660000000000000000e+02,2.780000000000000000e+02,3.040000000000000000e+02
1.600000000000000000e+02,7.300000000000000000e+01,2.010000000000000000e+02
1.590000000000000000e+02,2.810000000000000000e+02,3.040000000000000000e+02
1.570000000000000000e+02,7.300000000000000000e+01,2.030000000000000000e+02
1.560000000000000000e+02,2.780000000000000000e+02,3.060000000000000000e+02
1.540000000000000000e+02,2.780000000000000000e+02,3.050000000000000000e+02
1.530000000000000000e+02,2.680000000000000000e+02,2.550000000000000000e+02
1.480000000000000000e+02,7.100000000000000000e+01,4.500000000000000000e+01
1.440000000000000000e+02,7.600000000000000000e+01,2.630000000000000000e+02
1.410000000000000000e+02,2.660000000000000000e+02,2.560000000000000000e+02
1.390000000000000000e+02,2.660000000000000000e+02,2.560000000000000000e+02
1.370000000000000000e+02,2.600000000000000000e+02,2.050000000000000000e+02
1.340000000000000000e+02,8.400000000000000000e+01,2.630000000000000000e+02
1.340000000000000000e+02,8.000000000000000000e+01,2.640000000000000000e+02
1.330000000000000000e+02,2.610000000000000000e+02,1.620000000000000000e+02
1.060000000000000000e+02,2.880000000000000000e+02,2.990000000000000000e+02
1.040000000000000000e+02,2.890000000000000000e+02,2.990000000000000000e+02
1.040000000000000000e+02,9.200000000000000000e+01,2.650000000000000000e+02
1.000000000000000000e+02,2.560000000000000000e+02,1.170000000000000000e+02
9.800000000000000000e+01,2.610000000000000000e+02,2.030000000000000000e+02
9.700000000000000000e+01,2.600000000000000000e+02,2.600000000000000000e+02
9.100000000000000000e+01,2.730000000000000000e+02,2.980000000000000000e+02
8.800000000000000000e+01,2.580000000000000000e+02,2.620000000000000000e+02
8.600000000000000000e+01,2.600000000000000000e+02,2.610000000000000000e+02
8.100000000000000000e+01,2.750000000000000000e+02,2.960000000000000000e+02
7.700000000000000000e+01,2.750000000000000000e+02,2.960000000000000000e+02
7.200000000000000000e+01,2.920000000000000000e+02,4.720000000000000000e+02
6.600000000000000000e+01,2.910000000000000000e+02,4.730000000000000000e+02
6.300000000000000000e+01,2.920000000000000000e+02,4.730000000000000000e+02
2.600000000000000000e+01,1.310000000000000000e+02,2.220000000000000000e+02
2.100000000000000000e+01,1.300000000000000000e+02,2.930000000000000000e+02
4.000000000000000000e+00,1.670000000000000000e+02,1.290000000000000000e+02
1.940000000000000000e+02,1.420000000000000000e+02,2.060000000000000000e+02
