x,y,z
7.300000000000000000e+01,9.300000000000000000e+01,1.150000000000000000e+02
1.260000000000000000e+02,2.660000000000000000e+02,1.110000000000000000e+02
1.850000000000000000e+02,2.560000000000000000e+02,1.870000000000000000e+02
1.190000000000000000e+02,2.560000000000000000e+02,2.050000000000000000e+02
1.760000000000000000e+02,3.150000000000000000e+02,4.030000000000000000e+02
1.350000000000000000e+02,3.010000000000000000e+02,4.080000000000000000e+02
1.940000000000000000e+02,2.780000000000000000e+02,2.940000000000000000e+02
1.170000000000000000e+02,2.580000000000000000e+02,2.580000000000000000e+02
1.170000000000000000e+02,2.950000000000000000e+02,4.660000000000000000e+02
1.270000000000000000e+02,2.870000000000000000e+02,3.640000000000000000e+02
1.670000000000000000e+02,2.640000000000000000e+02,1.980000000000000000e+02
1.900000000000000000e+02,6.700000000000000000e+01,2.930000000000000000e+02
2.220000000000000000e+02,2.880000000000000000e+02,3.680000000000000000e+02
1.030000000000000000e+02,9.300000000000000000e+01,2.040000000000000000e+02
1.230000000000000000e+02,2.980000000000000000e+02,4.640000000000000000e+02
1.840000000000000000e+02,2.930000000000000000e+02,3.520000000000000000e+02
1.850000000000000000e+02,6.400000000000000000e+01,3.020000000000000000e+02
1.340000000000000000e+02,2.920000000000000000e+02,3.630000000000000000e+02
2.160000000000000000e+02,2.980000000000000000e+02,3.700000000000000000e+02
1.350000000000000000e+02,2.770000000000000000e+02,3.020000000000000000e+02
2.080000000000000000e+02,2.650000000000000000e+02,2.820000000000000000e+02
6.000000000000000000e+01,9.100000000000000000e+01,1.600000000000000000e+02
1.260000000000000000e+02,2.720000000000000000e+02,3.010000000000000000e+02
1.980000000000000000e+02,7.000000000000000000e+01,2.850000000000000000e+02
1.260000000000000000e+02,6.200000000000000000e+01,3.130000000000000000e+02
2.060000000000000000e+02,5.400000000000000000e+01,3.840000000000000000e+02
1.120000000000000000e+02,2.550000000000000000e+02,1.590000000000000000e+02
1.960000000000000000e+02,5.000000000000000000e+01,3.870000000000000000e+02
2.090000000000000000e+02,3.030000000000000000e+02,3.770000000000000000e+02
9.600000000000000000e+01,2.440000000000000000e+02,1.610000000000000000e+02
1.250000000000000000e+02,2.560000000000000000e+02,2.040000000000000000e+02
1.440000000000000000e+02,2.820000000000000000e+02,3.040000000000000000e+02
2.190000000000000000e+02,7.600000000000000000e+01,3.060000000000000000e+02
1.310000000000000000e+02,2.690000000000000000e+02,2.570000000000000000e+02
1.550000000000000000e+02,7.100000000000000000e+01,3.120000000000000000e+02
2.510000000000000000e+02,3.300000000000000000e+02,3.720000000000000000e+02
1.530000000000000000e+02,2.910000000000000000e+02,3.630000000000000000e+02
1.920000000000000000e+02,3.020000000000000000e+02,4.280000000000000000e+02
8.200000000000000000e+01,2.510000000000000000e+02,1.140000000000000000e+02
9.100000000000000000e+01,8.300000000000000000e+01,2.660000000000000000e+02
1.460000000000000000e+02,2.990000000000000000e+02,4.090000000000000000e+02
1.620000000000000000e+02,2.800000000000000000e+02,3.030000000000000000e+02
1.740000000000000000e+02,6.100000000000000000e+01,3.600000000000000000e+02
1.470000000000000000e+02,7.400000000000000000e+01,2.070000000000000000e+02
1.390000000000000000e+02,2.590000000000000000e+02,2.050000000000000000e+02
1.120000000000000000e+02,9.700000000000000000e+01,2.050000000000000000e+02
1.070000000000000000e+02,9.300000000000000000e+01,2.050000000000000000e+02
1.250000000000000000e+02,7.900000000000000000e+01,2.630000000000000000e+02
2.560000000000000000e+02,3.300000000000000000e+02,3.680000000000000000e+02
9.100000000000000000e+01,9.200000000000000000e+01,1.600000000000000000e+02
4.200000000000000000e+01,2.580000000000000000e+02,3.700000000000000000e+01
1.470000000000000000e+02,6.900000000000000000e+01,3.660000000000000000e+02
8.900000000000000000e+01,9.000000000000000000e+01,2.670000000000000000e+02
1.520000000000000000e+02,6.200000000000000000e+01,4.170000000000000000e+02
1.060000000000000000e+02,8.700000000000000000e+01,1.600000000000000000e+02
1.920000000000000000e+02,3.030000000000000000e+02,4.250000000000000000e+02
1.060000000000000000e+02,7.700000000000000000e+01,1.190000000000000000e+02
1.210000000000000000e+02,2.580000000000000000e+02,2.580000000000000000e+02
1.420000000000000000e+02,2.820000000000000000e+02,3.030000000000000000e+02
1.150000000000000000e+02,2.570000000000000000e+02,2.040000000000000000e+02
1.300000000000000000e+02,2.630000000000000000e+02,1.630000000000000000e+02
5.400000000000000000e+01,9.200000000000000000e+01,1.610000000000000000e+02
1.410000000000000000e+02,3.010000000000000000e+02,4.070000000000000000e+02
1.100000000000000000e+02,3.030000000000000000e+02,4.070000000000000000e+02
9.300000000000000000e+01,2.550000000000000000e+02,1.150000000000000000e+02
9.900000000000000000e+01,7.700000000000000000e+01,3.160000000000000000e+02
1.250000000000000000e+02,2.610000000000000000e+02,2.570000000000000000e+02
1.410000000000000000e+02,2.890000000000000000e+02,3.620000000000000000e+02
5.200000000000000000e+01,9.200000000000000000e+01,1.620000000000000000e+02
1.020000000000000000e+02,2.620000000000000000e+02,1.200000000000000000e+02
1.460000000000000000e+02,2.700000000000000000e+02,2.550000000000000000e+02
9.300000000000000000e+01,2.730000000000000000e+02,2.980000000000000000e+02
6.900000000000000000e+01,2.920000000000000000e+02,4.730000000000000000e+02
1.630000000000000000e+02,6.500000000000000000e+01,3.650000000000000000e+02
1.610000000000000000e+02,6.800000000000000000e+01,3.070000000000000000e+02
1.440000000000000000e+02,7.500000000000000000e+01,3.130000000000000000e+02
1.580000000000000000e+02,7.300000000000000000e+01,2.010000000000000000e+02
1.150000000000000000e+02,9.700000000000000000e+01,2.640000000000000000e+02
1.260000000000000000e+02,7.600000000000000000e+01,1.600000000000000000e+02
