x,y,z
3.890361445783132410e+01,5.895180722891566916e+01,3.783132530120482073e+01
4.395192307692308020e+01,9.638461538461538680e+01,2.699038461538461675e+01
1.891666666666665719e+01,6.941666666666667140e+01,6.570833333333332860e+01
3.592452830188679513e+01,1.466603773584905639e+02,8.456603773584905070e+01
4.800000000000000000e+01,1.240000000000000000e+02,1.210000000000000000e+02
3.395821727019499292e+01,1.303147632311977873e+02,1.009220055710306383e+02
2.256451612903225623e+01,5.387096774193548754e+01,9.972580645161289681e+01
4.426490066225166231e+01,1.332251655629139009e+02,1.129139072847682144e+02
5.646368715083798406e+01,5.374301675977653758e+01,2.926815642458100442e+01
2.823300970873786753e+01,1.099223300970873822e+02,1.060970873786407793e+02
5.487261146496815911e+01,8.510191082802548124e+01,2.149681528662420504e+01
4.342608695652174333e+01,6.717391304347826519e+01,3.110434782608695770e+01
3.537198067632850496e+01,1.220579710144927503e+02,1.097053140096618336e+02
4.298712446351930794e+01,1.419055793991416294e+02,1.042789699570815429e+02
4.866666666666667140e+01,7.583333333333332860e+01,2.589999999999999858e+01
2.715789473684210975e+01,6.423684210526315042e+01,4.922368421052631504e+01
3.215686274509803866e+01,6.067647058823530415e+01,4.447058823529411598e+01
2.759223300970873538e+01,1.192912621359223238e+02,9.820873786407767625e+01
4.544444444444444287e+01,8.633333333333332860e+01,2.655555555555555713e+01
3.761538461538461320e+01,1.122735042735042725e+02,1.173376068376068417e+02
4.677083333333332860e+01,5.599583333333333712e+01,3.282500000000000284e+01
3.562589928057553834e+01,5.089928057553956364e+01,4.507194244604316680e+01
5.136653386454183590e+01,4.552988047808764804e+01,3.561354581673306541e+01
7.424034334763948095e+01,4.180257510729614978e+01,3.240343347639485216e+01
6.961538461538461320e+01,7.200000000000000000e+01,2.046153846153845990e+01
4.315827338129496127e+01,4.834532374100720631e+01,3.949640287769783953e+01
4.264489795918368031e+01,1.502816326530612230e+02,9.469387755102040671e+01
6.803928571428571104e+01,5.239285714285713880e+01,2.721071428571428541e+01
3.400000000000000000e+01,4.450000000000000000e+01,5.250000000000000000e+01
3.982926829268292579e+01,1.545121951219512084e+02,7.809756097560975263e+01
2.289552238805970319e+01,1.166119402985074629e+02,8.659701492537313072e+01
5.175000000000000000e+01,9.509000000000000341e+01,2.194999999999999929e+01
2.782206405693949591e+01,1.277722419928825559e+02,9.027758007117438410e+01
5.800000000000000000e+01,3.600000000000000000e+01,4.000000000000000000e+01
1.864516129032259073e+01,6.280645161290323131e+01,9.187096774193548754e+01
3.406415094339622840e+01,1.385547169811320600e+02,9.212452830188679798e+01
4.468627450980392268e+01,1.574313725490196134e+02,8.647058823529411598e+01
4.820000000000000284e+01,3.846666666666666856e+01,4.293333333333333002e+01
6.331516587677725738e+01,4.339573459715640524e+01,3.277488151658767634e+01
2.453846153846154721e+01,1.247692307692307736e+02,8.007692307692308020e+01
4.008974358974359120e+01,7.892307692307691980e+01,3.110256410256410220e+01
3.500000000000000000e+01,7.000000000000000000e+01,3.800000000000000000e+01
2.800000000000000000e+01,6.600000000000000000e+01,1.150000000000000000e+02
3.000000000000000000e+01,7.200000000000000000e+01,4.400000000000000000e+01
2.937037037037036669e+01,1.354444444444444571e+02,8.237037037037036669e+01
2.208661417322835518e+01,6.500787401574802971e+01,1.037480314960629926e+02
1.880000000000001137e+01,6.050000000000000000e+01,7.240000000000000568e+01
2.977472527472527020e+01,5.424725274725275881e+01,5.112637362637362770e+01
3.371428571428570820e+01,8.057142857142856940e+01,3.728571428571428470e+01
8.225925925925925242e+01,5.166666666666665719e+01,2.711111111111111072e+01
2.256363636363636260e+01,1.076909090909090878e+02,9.420000000000000284e+01
5.453146853146853346e+01,1.544615384615384528e+02,1.061608391608391599e+02
