x,y,z
4.400000000000000000e+01,1.340000000000000000e+02,1.140000000000000000e+02
2.300000000000000000e+01,8.900000000000000000e+01,1.100000000000000000e+02
3.400000000000000000e+01,9.200000000000000000e+01,1.220000000000000000e+02
3.300000000000000000e+01,1.310000000000000000e+02,1.020000000000000000e+02
6.800000000000000000e+01,5.200000000000000000e+01,2.600000000000000000e+01
2.500000000000000000e+01,5.600000000000000000e+01,1.120000000000000000e+02
2.600000000000000000e+01,1.200000000000000000e+02,9.900000000000000000e+01
2.600000000000000000e+01,1.280000000000000000e+02,9.100000000000000000e+01
3.500000000000000000e+01,1.230000000000000000e+02,1.110000000000000000e+02
2.700000000000000000e+01,1.110000000000000000e+02,1.070000000000000000e+02
3.700000000000000000e+01,1.140000000000000000e+02,1.190000000000000000e+02
3.600000000000000000e+01,7.000000000000000000e+01,1.260000000000000000e+02
7.500000000000000000e+01,4.100000000000000000e+01,3.100000000000000000e+01
8.300000000000000000e+01,5.100000000000000000e+01,2.600000000000000000e+01
3.300000000000000000e+01,1.400000000000000000e+02,9.300000000000000000e+01
5.400000000000000000e+01,1.560000000000000000e+02,1.070000000000000000e+02
