x,y,z
4.362921348314607428e+01,1.340224719101123583e+02,1.138089887640449405e+02
4.194444444444444287e+01,1.034722222222222285e+02,1.268055555555555571e+02
4.063829787234043067e+01,8.114893617021276384e+01,1.304255319148936110e+02
2.304166666666665719e+01,8.805555555555555713e+01,1.096944444444444429e+02
3.292857142857143060e+01,1.310714285714285552e+02,1.024285714285714306e+02
3.348322147651006730e+01,9.189261744966442791e+01,1.223221476510067163e+02
4.697435897435897800e+01,1.253333333333333286e+02,1.224358974358974308e+02
3.441935483870967971e+01,1.225483870967741922e+02,1.108709677419354875e+02
4.235294117647059409e+01,1.426470588235294201e+02,1.047647058823529420e+02
3.673999999999999488e+01,1.130400000000000063e+02,1.181500000000000057e+02
4.200000000000000000e+01,1.515500000000000114e+02,9.625000000000000000e+01
5.225000000000000000e+01,1.154166666666666714e+02,1.311500000000000057e+02
2.916666666666667140e+01,8.050000000000000000e+01,1.192777777777777715e+02
4.859999999999999432e+01,9.470000000000000284e+01,1.346999999999999886e+02
3.581818181818181301e+01,6.977272727272726627e+01,1.256818181818181870e+02
3.314285714285713880e+01,1.397619047619047592e+02,9.366666666666667140e+01
5.417595307917888192e+01,1.547712609970674578e+02,1.066627565982404633e+02
