x,y,z
1.010000000000000000e+02,2.000000000000000000e+01,8.900000000000000000e+01
1.010000000000000000e+02,1.200000000000000000e+01,8.900000000000000000e+01
9.700000000000000000e+01,2.000000000000000000e+01,7.300000000000000000e+01
9.700000000000000000e+01,2.000000000000000000e+01,9.600000000000000000e+01
9.700000000000000000e+01,1.600000000000000000e+01,7.300000000000000000e+01
9.700000000000000000e+01,1.200000000000000000e+01,7.300000000000000000e+01
9.700000000000000000e+01,1.200000000000000000e+01,8.500000000000000000e+01
9.700000000000000000e+01,8.000000000000000000e+00,7.300000000000000000e+01
9.700000000000000000e+01,4.000000000000000000e+00,8.500000000000000000e+01
9.500000000000000000e+01,2.000000000000000000e+01,6.700000000000000000e+01
9.500000000000000000e+01,1.600000000000000000e+01,6.700000000000000000e+01
9.500000000000000000e+01,1.200000000000000000e+01,6.700000000000000000e+01
9.500000000000000000e+01,1.200000000000000000e+01,9.100000000000000000e+01
9.500000000000000000e+01,8.000000000000000000e+00,6.700000000000000000e+01
9.500000000000000000e+01,4.000000000000000000e+00,6.700000000000000000e+01
9.400000000000000000e+01,2.000000000000000000e+01,8.500000000000000000e+01
9.400000000000000000e+01,1.200000000000000000e+01,8.500000000000000000e+01
9.400000000000000000e+01,8.000000000000000000e+00,6.500000000000000000e+01
9.400000000000000000e+01,4.000000000000000000e+00,6.200000000000000000e+01
9.300000000000000000e+01,2.000000000000000000e+01,7.100000000000000000e+01
9.300000000000000000e+01,2.000000000000000000e+01,9.200000000000000000e+01
9.300000000000000000e+01,1.600000000000000000e+01,7.100000000000000000e+01
9.300000000000000000e+01,1.600000000000000000e+01,8.000000000000000000e+01
9.300000000000000000e+01,1.600000000000000000e+01,8.300000000000000000e+01
9.300000000000000000e+01,1.200000000000000000e+01,7.100000000000000000e+01
9.300000000000000000e+01,1.200000000000000000e+01,8.000000000000000000e+01
9.300000000000000000e+01,1.200000000000000000e+01,8.300000000000000000e+01
9.300000000000000000e+01,8.000000000000000000e+00,7.100000000000000000e+01
9.300000000000000000e+01,4.000000000000000000e+00,7.100000000000000000e+01
9.300000000000000000e+01,4.000000000000000000e+00,9.200000000000000000e+01
9.100000000000000000e+01,2.000000000000000000e+01,5.100000000000000000e+01
9.100000000000000000e+01,2.000000000000000000e+01,6.300000000000000000e+01
9.100000000000000000e+01,2.000000000000000000e+01,7.400000000000000000e+01
9.100000000000000000e+01,1.600000000000000000e+01,5.100000000000000000e+01
9.100000000000000000e+01,1.600000000000000000e+01,6.300000000000000000e+01
9.100000000000000000e+01,1.600000000000000000e+01,7.400000000000000000e+01
9.100000000000000000e+01,1.600000000000000000e+01,9.500000000000000000e+01
9.100000000000000000e+01,1.200000000000000000e+01,6.300000000000000000e+01
9.100000000000000000e+01,1.200000000000000000e+01,6.700000000000000000e+01
9.100000000000000000e+01,1.200000000000000000e+01,9.800000000000000000e+01
