x,y,z
7.900000000000000000e+01,8.000000000000000000e+00,4.700000000000000000e+01
8.300000000000000000e+01,4.000000000000000000e+00,6.500000000000000000e+01
9.100000000000000000e+01,8.000000000000000000e+00,5.100000000000000000e+01
6.800000000000000000e+01,1.200000000000000000e+01,4.300000000000000000e+01
4.100000000000000000e+01,2.000000000000000000e+01,5.300000000000000000e+01
5.900000000000000000e+01,1.600000000000000000e+01,4.200000000000000000e+01
8.900000000000000000e+01,4.000000000000000000e+00,8.700000000000000000e+01
7.463157894736842479e+01,7.052631578947369917e+00,5.668421052631578760e+01
9.700000000000000000e+01,4.000000000000000000e+00,7.300000000000000000e+01
3.900000000000000000e+01,1.200000000000000000e+01,7.700000000000000000e+01
2.900000000000000000e+01,1.600000000000000000e+01,7.800000000000000000e+01
5.000000000000000000e+01,2.000000000000000000e+01,4.150000000000000000e+01
3.500000000000000000e+01,1.600000000000000000e+01,6.300000000000000000e+01
5.333333333333332860e+01,1.400000000000000000e+01,5.200000000000000000e+01
8.100000000000000000e+01,6.000000000000000000e+00,8.000000000000000000e+01
4.800000000000000000e+01,1.250000000000000000e+01,8.150000000000000000e+01
4.400000000000000000e+01,1.400000000000000000e+01,6.100000000000000000e+01
6.300000000000000000e+01,2.000000000000000000e+01,3.500000000000000000e+01
8.500000000000000000e+01,1.200000000000000000e+01,4.100000000000000000e+01
6.100000000000000000e+01,4.000000000000000000e+00,8.250000000000000000e+01
1.600000000000000000e+01,2.000000000000000000e+01,7.700000000000000000e+01
9.900000000000000000e+01,4.000000000000000000e+00,6.100000000000000000e+01
2.200000000000000000e+01,2.000000000000000000e+01,6.700000000000000000e+01
6.540000000000000568e+01,9.000000000000000000e+00,5.160000000000000142e+01
7.400000000000000000e+01,1.600000000000000000e+01,4.100000000000000000e+01
3.500000000000000000e+01,2.000000000000000000e+01,5.100000000000000000e+01
7.300000000000000000e+01,8.000000000000000000e+00,7.100000000000000000e+01
4.100000000000000000e+01,2.000000000000000000e+01,4.100000000000000000e+01
5.300000000000000000e+01,1.600000000000000000e+01,6.900000000000000000e+01
5.200000000000000000e+01,2.000000000000000000e+01,3.800000000000000000e+01
1.500000000000000000e+01,4.000000000000000000e+01,8.600000000000000000e+01
2.800000000000000000e+01,2.000000000000000000e+01,5.600000000000000000e+01
4.900000000000000000e+01,2.000000000000000000e+01,3.900000000000000000e+01
6.700000000000000000e+01,2.000000000000000000e+01,3.700000000000000000e+01
1.700000000000000000e+01,4.200000000000000000e+01,8.300000000000000000e+01
1.100000000000000000e+01,8.200000000000000000e+01,1.015000000000000000e+02
3.700000000000000000e+01,2.000000000000000000e+01,4.800000000000000000e+01
1.100000000000000000e+01,5.400000000000000000e+01,9.300000000000000000e+01
9.100000000000000000e+01,1.200000000000000000e+01,5.100000000000000000e+01
1.900000000000000000e+01,1.600000000000000000e+01,6.700000000000000000e+01
9.900000000000000000e+01,1.200000000000000000e+01,6.100000000000000000e+01
7.700000000000000000e+01,2.000000000000000000e+01,4.300000000000000000e+01
8.500000000000000000e+01,4.000000000000000000e+00,4.100000000000000000e+01
6.300000000000000000e+01,1.600000000000000000e+01,3.500000000000000000e+01
