x,y,z
5.600000000000000000e+01,6.000000000000000000e+00,6.900000000000000000e+01
6.700000000000000000e+01,4.000000000000000000e+00,6.900000000000000000e+01
6.100000000000000000e+01,8.000000000000000000e+00,5.300000000000000000e+01
4.400000000000000000e+01,1.200000000000000000e+01,6.000000000000000000e+01
4.700000000000000000e+01,1.290000000000000000e+02,7.100000000000000000e+01
5.100000000000000000e+01,1.360000000000000000e+02,7.100000000000000000e+01
6.300000000000000000e+01,1.000000000000000000e+01,4.700000000000000000e+01
5.700000000000000000e+01,1.200000000000000000e+01,5.500000000000000000e+01
6.100000000000000000e+01,1.100000000000000000e+01,4.700000000000000000e+01
4.300000000000000000e+01,1.200000000000000000e+01,5.200000000000000000e+01
3.800000000000000000e+01,1.200000000000000000e+01,6.100000000000000000e+01
5.100000000000000000e+01,1.360000000000000000e+02,5.500000000000000000e+01
6.600000000000000000e+01,2.000000000000000000e+00,6.200000000000000000e+01
5.300000000000000000e+01,1.350000000000000000e+02,6.500000000000000000e+01
1.400000000000000000e+01,1.080000000000000000e+02,4.100000000000000000e+01
5.200000000000000000e+01,4.000000000000000000e+00,7.200000000000000000e+01
4.000000000000000000e+01,1.330000000000000000e+02,6.700000000000000000e+01
5.100000000000000000e+01,1.360000000000000000e+02,4.700000000000000000e+01
4.900000000000000000e+01,8.000000000000000000e+00,3.800000000000000000e+01
5.700000000000000000e+01,4.000000000000000000e+00,7.300000000000000000e+01
4.100000000000000000e+01,8.000000000000000000e+00,6.500000000000000000e+01
1.900000000000000000e+01,1.170000000000000000e+02,4.300000000000000000e+01
1.700000000000000000e+01,1.070000000000000000e+02,3.400000000000000000e+01
1.500000000000000000e+01,1.060000000000000000e+02,3.700000000000000000e+01
