x,y,z
7.778682746991115948e+01,6.674952584171477099e+01,6.742171747295338946e+01
1.450000000000000000e+02,1.110000000000000000e+02,4.700000000000000000e+01
1.450000000000000000e+02,1.090000000000000000e+02,4.600000000000000000e+01
1.450000000000000000e+02,1.080000000000000000e+02,3.500000000000000000e+01
1.450000000000000000e+02,8.900000000000000000e+01,3.400000000000000000e+01
1.445000000000000000e+02,8.250000000000000000e+01,4.000000000000000000e+01
1.450000000000000000e+02,8.000000000000000000e+01,5.400000000000000000e+01
1.450000000000000000e+02,7.800000000000000000e+01,6.000000000000000000e+01
1.450000000000000000e+02,7.700000000000000000e+01,3.800000000000000000e+01
1.450000000000000000e+02,7.700000000000000000e+01,4.600000000000000000e+01
1.450000000000000000e+02,7.600000000000000000e+01,4.400000000000000000e+01
1.450000000000000000e+02,7.500000000000000000e+01,5.400000000000000000e+01
1.450000000000000000e+02,6.900000000000000000e+01,3.833333333333333570e+01
1.442500000000000000e+02,7.025000000000000000e+01,5.375000000000000000e+01
1.450000000000000000e+02,6.900000000000000000e+01,5.800000000000000000e+01
1.450000000000000000e+02,6.750000000000000000e+01,5.000000000000000000e+01
1.450000000000000000e+02,6.700000000000000000e+01,4.800000000000000000e+01
1.450000000000000000e+02,6.700000000000000000e+01,5.600000000000000000e+01
1.450000000000000000e+02,6.600000000000000000e+01,5.400000000000000000e+01
1.450000000000000000e+02,6.600000000000000000e+01,6.400000000000000000e+01
1.450000000000000000e+02,6.400000000000000000e+01,4.200000000000000000e+01
1.450000000000000000e+02,6.350000000000000000e+01,5.000000000000000000e+01
1.450000000000000000e+02,6.400000000000000000e+01,5.600000000000000000e+01
1.450000000000000000e+02,6.200000000000000000e+01,5.400000000000000000e+01
1.450000000000000000e+02,6.200000000000000000e+01,5.600000000000000000e+01
1.450000000000000000e+02,6.100000000000000000e+01,3.800000000000000000e+01
1.450000000000000000e+02,5.600000000000000000e+01,5.700000000000000000e+01
1.450000000000000000e+02,5.500000000000000000e+01,4.000000000000000000e+01
1.450000000000000000e+02,5.500000000000000000e+01,4.200000000000000000e+01
1.450000000000000000e+02,5.200000000000000000e+01,3.400000000000000000e+01
1.450000000000000000e+02,4.833333333333332860e+01,4.700000000000000000e+01
1.450000000000000000e+02,4.800000000000000000e+01,5.000000000000000000e+01
1.450000000000000000e+02,4.700000000000000000e+01,5.400000000000000000e+01
1.450000000000000000e+02,4.400000000000000000e+01,5.000000000000000000e+01
1.450000000000000000e+02,4.400000000000000000e+01,5.200000000000000000e+01
1.440000000000000000e+02,1.010000000000000000e+02,7.500000000000000000e+01
1.440000000000000000e+02,9.300000000000000000e+01,5.000000000000000000e+01
1.440000000000000000e+02,8.600000000000000000e+01,4.500000000000000000e+01
1.435000000000000000e+02,8.400000000000000000e+01,5.800000000000000000e+01
1.440000000000000000e+02,7.100000000000000000e+01,9.500000000000000000e+01
1.440000000000000000e+02,6.600000000000000000e+01,5.200000000000000000e+01
1.440000000000000000e+02,6.300000000000000000e+01,5.800000000000000000e+01
1.440000000000000000e+02,6.200000000000000000e+01,4.000000000000000000e+01
1.435000000000000000e+02,6.200000000000000000e+01,4.800000000000000000e+01
1.440000000000000000e+02,5.900000000000000000e+01,5.200000000000000000e+01
1.440000000000000000e+02,5.400000000000000000e+01,8.200000000000000000e+01
1.440000000000000000e+02,3.200000000000000000e+01,6.400000000000000000e+01
1.430000000000000000e+02,9.700000000000000000e+01,6.500000000000000000e+01
1.430000000000000000e+02,7.400000000000000000e+01,1.700000000000000000e+01
1.430000000000000000e+02,7.200000000000000000e+01,5.000000000000000000e+01
1.430000000000000000e+02,6.350000000000000000e+01,5.400000000000000000e+01
1.430000000000000000e+02,5.900000000000000000e+01,5.800000000000000000e+01
1.430000000000000000e+02,4.550000000000000000e+01,3.400000000000000000e+01
1.420000000000000000e+02,9.600000000000000000e+01,5.600000000000000000e+01
1.420000000000000000e+02,8.300000000000000000e+01,5.600000000000000000e+01
1.420000000000000000e+02,7.800000000000000000e+01,7.550000000000000000e+01
1.420000000000000000e+02,7.100000000000000000e+01,5.600000000000000000e+01
1.420000000000000000e+02,6.750000000000000000e+01,5.600000000000000000e+01
1.415000000000000000e+02,6.750000000000000000e+01,5.050000000000000000e+01
1.420000000000000000e+02,6.700000000000000000e+01,6.700000000000000000e+01
1.410000000000000000e+02,8.600000000000000000e+01,4.600000000000000000e+01
1.410000000000000000e+02,8.600000000000000000e+01,5.400000000000000000e+01
1.410000000000000000e+02,8.200000000000000000e+01,3.000000000000000000e+01
1.410000000000000000e+02,8.200000000000000000e+01,4.800000000000000000e+01
1.410000000000000000e+02,7.700000000000000000e+01,5.700000000000000000e+01
1.410000000000000000e+02,7.300000000000000000e+01,5.000000000000000000e+01
1.410000000000000000e+02,7.000000000000000000e+01,5.000000000000000000e+01
1.410000000000000000e+02,6.500000000000000000e+01,5.000000000000000000e+01
1.410000000000000000e+02,6.300000000000000000e+01,5.400000000000000000e+01
1.410000000000000000e+02,6.200000000000000000e+01,4.400000000000000000e+01
1.410000000000000000e+02,6.100000000000000000e+01,5.400000000000000000e+01
1.410000000000000000e+02,5.650000000000000000e+01,7.350000000000000000e+01
1.410000000000000000e+02,5.600000000000000000e+01,3.800000000000000000e+01
1.410000000000000000e+02,5.400000000000000000e+01,5.000000000000000000e+01
1.410000000000000000e+02,5.200000000000000000e+01,5.800000000000000000e+01
1.410000000000000000e+02,4.500000000000000000e+01,5.000000000000000000e+01
1.410000000000000000e+02,4.100000000000000000e+01,3.600000000000000000e+01
1.410000000000000000e+02,3.100000000000000000e+01,5.800000000000000000e+01
1.410000000000000000e+02,3.100000000000000000e+01,6.200000000000000000e+01
1.396666666666666572e+02,7.833333333333334281e+01,4.766666666666666430e+01
1.400000000000000000e+02,6.000000000000000000e+01,4.800000000000000000e+01
1.400000000000000000e+02,3.500000000000000000e+01,7.400000000000000000e+01
1.400000000000000000e+02,3.100000000000000000e+01,7.400000000000000000e+01
1.390000000000000000e+02,9.200000000000000000e+01,4.700000000000000000e+01
1.390000000000000000e+02,9.100000000000000000e+01,9.000000000000000000e+01
1.390000000000000000e+02,9.000000000000000000e+01,4.700000000000000000e+01
1.390000000000000000e+02,8.300000000000000000e+01,4.700000000000000000e+01
1.390000000000000000e+02,6.700000000000000000e+01,5.100000000000000000e+01
1.390000000000000000e+02,5.300000000000000000e+01,5.000000000000000000e+01
1.390000000000000000e+02,4.900000000000000000e+01,5.050000000000000000e+01
1.390000000000000000e+02,4.800000000000000000e+01,9.500000000000000000e+01
1.390000000000000000e+02,4.100000000000000000e+01,7.200000000000000000e+01
