x,y,z
4.450000000000000000e+01,3.900000000000000000e+01,2.700000000000000000e+01
1.900000000000000000e+01,4.900000000000000000e+01,4.300000000000000000e+01
1.500000000000000000e+01,3.700000000000000000e+01,5.600000000000000000e+01
1.170000000000000000e+02,3.900000000000000000e+01,8.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,5.800000000000000000e+01
8.000000000000000000e+00,4.200000000000000000e+01,6.300000000000000000e+01
1.160000000000000000e+02,8.500000000000000000e+01,6.000000000000000000e+00
5.700000000000000000e+01,1.500000000000000000e+01,4.200000000000000000e+01
1.080000000000000000e+02,4.600000000000000000e+01,5.000000000000000000e+00
2.650000000000000000e+01,4.100000000000000000e+01,3.550000000000000000e+01
5.400000000000000000e+01,6.300000000000000000e+01,1.500000000000000000e+01
2.200000000000000000e+01,2.350000000000000000e+01,6.375000000000000000e+01
7.000000000000000000e+01,1.000000000000000000e+02,1.200000000000000000e+01
4.000000000000000000e+01,1.220000000000000000e+02,8.400000000000000000e+01
1.900000000000000000e+01,7.700000000000000000e+01,3.500000000000000000e+01
8.300000000000000000e+01,6.800000000000000000e+01,5.000000000000000000e+00
5.100000000000000000e+01,1.220000000000000000e+02,4.400000000000000000e+01
2.150000000000000000e+01,3.750000000000000000e+01,4.700000000000000000e+01
1.933333333333334281e+01,2.200000000000000000e+01,7.566666666666667140e+01
6.800000000000000000e+01,1.900000000000000000e+01,3.200000000000000000e+01
3.100000000000000000e+01,1.180000000000000000e+02,8.100000000000000000e+01
7.700000000000000000e+01,4.900000000000000000e+01,8.000000000000000000e+00
7.000000000000000000e+01,3.400000000000000000e+01,1.600000000000000000e+01
7.000000000000000000e+01,8.050000000000000000e+01,9.000000000000000000e+00
2.000000000000000000e+01,1.075000000000000000e+02,5.450000000000000000e+01
3.600000000000000000e+01,1.186666666666666714e+02,6.800000000000000000e+01
1.150000000000000000e+01,3.150000000000000000e+01,7.200000000000000000e+01
3.600000000000000000e+01,1.130000000000000000e+02,4.400000000000000000e+01
3.500000000000000000e+01,5.300000000000000000e+01,2.400000000000000000e+01
8.950000000000000000e+01,5.100000000000000000e+01,6.000000000000000000e+00
2.400000000000000000e+01,5.800000000000000000e+01,3.000000000000000000e+01
1.120000000000000000e+02,3.500000000000000000e+01,1.100000000000000000e+01
6.900000000000000000e+01,9.200000000000000000e+01,8.000000000000000000e+00
9.500000000000000000e+01,9.400000000000000000e+01,8.000000000000000000e+00
4.400000000000000000e+01,4.700000000000000000e+01,2.500000000000000000e+01
7.900000000000000000e+01,5.500000000000000000e+01,8.000000000000000000e+00
1.500000000000000000e+01,1.040000000000000000e+02,5.600000000000000000e+01
8.100000000000000000e+01,9.700000000000000000e+01,1.000000000000000000e+01
1.300000000000000000e+01,8.700000000000000000e+01,4.400000000000000000e+01
4.300000000000000000e+01,1.290000000000000000e+02,6.800000000000000000e+01
2.700000000000000000e+01,8.300000000000000000e+01,2.800000000000000000e+01
9.000000000000000000e+01,3.000000000000000000e+01,1.200000000000000000e+01
3.700000000000000000e+01,1.700000000000000000e+01,7.800000000000000000e+01
2.700000000000000000e+01,3.400000000000000000e+01,4.000000000000000000e+01
7.200000000000000000e+01,4.000000000000000000e+00,5.900000000000000000e+01
3.700000000000000000e+01,8.200000000000000000e+01,2.600000000000000000e+01
4.000000000000000000e+01,1.080000000000000000e+02,3.600000000000000000e+01
5.900000000000000000e+01,9.000000000000000000e+01,1.200000000000000000e+01
4.233333333333332860e+01,9.694444444444444287e+01,2.725000000000000000e+01
2.900000000000000000e+01,1.140000000000000000e+02,5.200000000000000000e+01
7.600000000000000000e+01,1.210000000000000000e+02,3.000000000000000000e+01
7.950000000000000000e+01,6.350000000000000000e+01,4.500000000000000000e+00
8.137500000000000000e+01,8.737500000000000000e+01,8.000000000000000000e+00
5.100000000000000000e+01,1.900000000000000000e+01,4.200000000000000000e+01
3.300000000000000000e+01,2.200000000000000000e+01,5.100000000000000000e+01
6.000000000000000000e+01,1.280000000000000000e+02,9.400000000000000000e+01
2.500000000000000000e+01,9.200000000000000000e+01,3.200000000000000000e+01
3.100000000000000000e+01,6.500000000000000000e+01,2.300000000000000000e+01
1.900000000000000000e+01,1.070000000000000000e+02,6.950000000000000000e+01
4.700000000000000000e+01,1.600000000000000000e+01,6.350000000000000000e+01
6.200000000000000000e+01,1.115000000000000000e+02,2.650000000000000000e+01
8.300000000000000000e+01,6.000000000000000000e+00,7.700000000000000000e+01
2.000000000000000000e+00,5.700000000000000000e+01,7.900000000000000000e+01
1.210000000000000000e+02,7.800000000000000000e+01,8.000000000000000000e+00
4.900000000000000000e+01,1.100000000000000000e+01,5.200000000000000000e+01
7.100000000000000000e+01,1.340000000000000000e+02,6.100000000000000000e+01
1.220000000000000000e+02,1.220000000000000000e+02,3.000000000000000000e+01
1.850000000000000000e+01,8.550000000000000000e+01,3.500000000000000000e+01
5.800000000000000000e+01,1.310000000000000000e+02,6.000000000000000000e+01
9.100000000000000000e+01,2.500000000000000000e+01,1.600000000000000000e+01
1.100000000000000000e+01,8.700000000000000000e+01,6.000000000000000000e+01
7.700000000000000000e+01,7.500000000000000000e+01,6.000000000000000000e+00
7.000000000000000000e+00,4.100000000000000000e+01,7.600000000000000000e+01
2.400000000000000000e+01,4.800000000000000000e+01,3.100000000000000000e+01
1.190000000000000000e+02,9.000000000000000000e+01,8.000000000000000000e+00
6.900000000000000000e+01,8.000000000000000000e+00,7.500000000000000000e+01
9.833333333333334281e+01,1.368333333333333428e+02,7.950000000000000000e+01
6.166666666666667140e+01,5.700000000000000000e+01,8.333333333333333925e+00
1.170000000000000000e+02,1.025000000000000000e+02,8.000000000000000000e+00
8.483333333333334281e+01,5.633333333333332860e+01,5.666666666666666963e+00
4.500000000000000000e+01,9.000000000000000000e+01,2.000000000000000000e+01
1.210000000000000000e+02,1.260000000000000000e+02,5.100000000000000000e+01
7.700000000000000000e+01,1.140000000000000000e+02,2.200000000000000000e+01
5.600000000000000000e+01,1.270000000000000000e+02,7.100000000000000000e+01
3.500000000000000000e+01,8.500000000000000000e+01,2.800000000000000000e+01
8.400000000000000000e+01,1.260000000000000000e+02,3.400000000000000000e+01
8.400000000000000000e+01,7.900000000000000000e+01,6.000000000000000000e+00
8.900000000000000000e+01,1.360000000000000000e+02,9.300000000000000000e+01
4.300000000000000000e+01,1.100000000000000000e+02,3.500000000000000000e+01
8.300000000000000000e+01,8.500000000000000000e+01,8.000000000000000000e+00
