x,y,z
7.483093828297921846e+01,6.950090945748395654e+01,6.464719749355099054e+01
1.450000000000000000e+02,9.700000000000000000e+01,6.500000000000000000e+01
1.420000000000000000e+02,8.300000000000000000e+01,7.300000000000000000e+01
1.190000000000000000e+02,9.000000000000000000e+01,1.150000000000000000e+02
1.170000000000000000e+02,9.450000000000000000e+01,1.170000000000000000e+02
1.150000000000000000e+02,8.300000000000000000e+01,1.170000000000000000e+02
1.140000000000000000e+02,4.600000000000000000e+01,1.160000000000000000e+02
1.120000000000000000e+02,4.900000000000000000e+01,1.150000000000000000e+02
1.090000000000000000e+02,5.500000000000000000e+01,1.180000000000000000e+02
1.080000000000000000e+02,1.000000000000000000e+00,7.500000000000000000e+01
1.070000000000000000e+02,5.300000000000000000e+01,1.160000000000000000e+02
1.050000000000000000e+02,3.200000000000000000e+01,1.600000000000000000e+01
1.040000000000000000e+02,2.900000000000000000e+01,1.200000000000000000e+01
1.020000000000000000e+02,1.030000000000000000e+02,8.000000000000000000e+00
1.020000000000000000e+02,3.900000000000000000e+01,1.180000000000000000e+02
9.700000000000000000e+01,2.900000000000000000e+01,1.100000000000000000e+01
9.700000000000000000e+01,2.900000000000000000e+01,1.600000000000000000e+01
9.600000000000000000e+01,3.100000000000000000e+01,1.300000000000000000e+01
9.500000000000000000e+01,3.300000000000000000e+01,1.200000000000000000e+01
9.500000000000000000e+01,3.100000000000000000e+01,1.100000000000000000e+01
8.900000000000000000e+01,1.330000000000000000e+02,6.100000000000000000e+01
8.775000000000000000e+01,1.335000000000000000e+02,6.450000000000000000e+01
8.500000000000000000e+01,1.360000000000000000e+02,7.300000000000000000e+01
7.700000000000000000e+01,2.000000000000000000e+00,5.500000000000000000e+01
7.700000000000000000e+01,2.000000000000000000e+00,5.700000000000000000e+01
7.500000000000000000e+01,7.000000000000000000e+00,9.200000000000000000e+01
7.300000000000000000e+01,7.000000000000000000e+00,8.900000000000000000e+01
7.150000000000000000e+01,4.550000000000000000e+01,8.000000000000000000e+00
7.200000000000000000e+01,2.000000000000000000e+00,5.200000000000000000e+01
7.000000000000000000e+01,4.900000000000000000e+01,1.100000000000000000e+01
6.600000000000000000e+01,6.100000000000000000e+01,9.000000000000000000e+00
5.800000000000000000e+01,6.000000000000000000e+00,5.500000000000000000e+01
5.700000000000000000e+01,1.000000000000000000e+01,5.600000000000000000e+01
5.700000000000000000e+01,5.000000000000000000e+00,5.300000000000000000e+01
4.800000000000000000e+01,4.800000000000000000e+01,1.170000000000000000e+02
3.300000000000000000e+01,1.170000000000000000e+02,1.040000000000000000e+02
3.000000000000000000e+00,7.100000000000000000e+01,6.800000000000000000e+01
1.000000000000000000e+00,7.900000000000000000e+01,8.400000000000000000e+01
1.000000000000000000e+00,7.800000000000000000e+01,8.750000000000000000e+01
1.000000000000000000e+00,7.300000000000000000e+01,6.900000000000000000e+01
1.000000000000000000e+00,6.983333333333332860e+01,6.716666666666667140e+01
1.000000000000000000e+00,7.100000000000000000e+01,8.766666666666667140e+01
1.000000000000000000e+00,6.800000000000000000e+01,7.100000000000000000e+01
1.000000000000000000e+00,6.800000000000000000e+01,8.800000000000000000e+01
1.000000000000000000e+00,6.600000000000000000e+01,6.900000000000000000e+01
1.000000000000000000e+00,6.000000000000000000e+01,7.500000000000000000e+01
1.000000000000000000e+00,5.400000000000000000e+01,8.700000000000000000e+01
