x,y,z
3.530000000000000000e+02,4.000000000000000000e+01,2.770000000000000000e+02
3.530000000000000000e+02,3.900000000000000000e+01,2.750000000000000000e+02
3.520000000000000000e+02,4.100000000000000000e+01,2.790000000000000000e+02
3.130000000000000000e+02,4.300000000000000000e+01,2.590000000000000000e+02
3.090000000000000000e+02,1.550000000000000000e+02,4.600000000000000000e+01
3.020000000000000000e+02,2.470000000000000000e+02,2.710000000000000000e+02
2.830000000000000000e+02,2.270000000000000000e+02,3.020000000000000000e+02
2.380000000000000000e+02,2.150000000000000000e+02,2.450000000000000000e+02
2.380000000000000000e+02,2.130000000000000000e+02,2.410000000000000000e+02
2.290000000000000000e+02,4.600000000000000000e+01,2.070000000000000000e+02
2.180000000000000000e+02,2.270000000000000000e+02,2.670000000000000000e+02
2.050000000000000000e+02,3.100000000000000000e+01,2.370000000000000000e+02
1.970000000000000000e+02,2.220000000000000000e+02,2.430000000000000000e+02
1.950000000000000000e+02,2.180000000000000000e+02,2.460000000000000000e+02
1.810000000000000000e+02,2.050000000000000000e+02,1.990000000000000000e+02
1.640000000000000000e+02,5.000000000000000000e+01,1.790000000000000000e+02
1.560000000000000000e+02,4.100000000000000000e+01,1.660000000000000000e+02
1.480000000000000000e+02,1.970000000000000000e+02,1.750000000000000000e+02
1.470000000000000000e+02,2.040000000000000000e+02,1.840000000000000000e+02
1.420000000000000000e+02,2.010000000000000000e+02,1.910000000000000000e+02
3.000000000000000000e+01,8.100000000000000000e+01,1.710000000000000000e+02
2.800000000000000000e+01,8.000000000000000000e+01,1.680000000000000000e+02
