x,y,z
2.705384615384615472e+02,2.145384615384615472e+02,2.538076923076923208e+02
1.394285714285714164e+02,1.982857142857142776e+02,1.948571428571428612e+02
2.345714285714285836e+02,2.118571428571428612e+02,2.508571428571428612e+02
1.382400000000000091e+02,5.425333333333333030e+01,1.426933333333333280e+02
1.720000000000000000e+02,2.116833333333333371e+02,2.134499999999999886e+02
2.647333333333333485e+02,4.859999999999999432e+01,2.270000000000000000e+02
3.530434782608695627e+02,5.054347826086956275e+01,2.621956521739130608e+02
2.542686567164179223e+02,5.610447761194029681e+01,2.151641791044776255e+02
2.053777777777777658e+02,2.104370370370370438e+02,2.262370370370370267e+02
1.775603448275862206e+02,2.027758620689655231e+02,2.038879310344827616e+02
1.336666666666666572e+02,4.433333333333334281e+01,1.430000000000000000e+02
2.763333333333333144e+02,3.966666666666665719e+01,2.780000000000000000e+02
2.571052631578947398e+02,2.127368421052631504e+02,2.897368421052631788e+02
5.694999999999998863e+01,7.184999999999999432e+01,3.835000000000000142e+01
2.586499999999999773e+02,2.144833333333333485e+02,2.991999999999999886e+02
2.147368421052631504e+02,1.965263157894736992e+02,2.181052631578947398e+02
3.112660550458715534e+02,4.313761467889906953e+01,2.631467889908257121e+02
