x,y,z
3.562844827586206975e+02,8.664655172413793593e+01,2.842931034482758719e+02
3.490000000000000000e+02,1.510000000000000000e+02,1.125000000000000000e+02
3.311881533101045534e+02,8.995818815331011820e+01,2.701881533101045534e+02
3.174196242171190079e+02,1.797369519832985247e+02,2.795386221294363054e+02
3.141999999999999886e+02,1.174000000000000057e+02,1.505999999999999943e+02
3.125000000000000000e+02,1.142500000000000000e+02,1.330999999999999943e+02
2.881883524709763265e+02,9.738089196218993493e+01,1.898143754361479409e+02
3.106428571428571104e+02,8.852380952380951840e+01,2.894761904761904816e+02
3.094166666666666856e+02,1.019166666666666572e+02,2.310416666666666572e+02
3.110000000000000000e+02,1.000000000000000000e+02,2.360000000000000000e+02
3.075925925925926094e+02,1.707962962962963047e+02,1.338148148148148096e+02
3.081666666666666856e+02,1.184166666666666572e+02,1.387500000000000000e+02
3.027142857142857224e+02,1.480000000000000000e+02,1.595000000000000000e+02
3.011041666666666856e+02,1.778750000000000000e+02,2.954791666666666856e+02
2.816148123656802795e+02,1.729578442717804592e+02,1.965542238386510121e+02
3.017500000000000000e+02,1.382500000000000000e+02,1.610000000000000000e+02
3.011666666666666856e+02,8.933333333333334281e+01,2.291666666666666572e+02
2.954285714285714448e+02,1.284285714285714164e+02,1.534285714285714164e+02
2.910000000000000000e+02,1.291428571428571388e+02,1.417142857142857224e+02
2.807941176470588402e+02,1.177058823529411882e+02,1.808529411764705799e+02
2.773636363636363740e+02,8.212727272727272521e+01,2.264909090909090992e+02
2.810000000000000000e+02,1.710000000000000000e+02,1.010000000000000000e+02
2.800000000000000000e+02,1.200000000000000000e+02,1.855000000000000000e+02
2.773333333333333144e+02,1.160000000000000000e+02,1.796666666666666572e+02
2.763333333333333144e+02,1.350000000000000000e+02,1.453333333333333428e+02
2.715116279069767415e+02,1.800232558139534831e+02,2.250930232558139608e+02
2.720000000000000000e+02,1.774545454545454390e+02,2.459090909090909065e+02
2.680000000000000000e+02,1.733333333333333144e+02,1.996666666666666572e+02
2.640645161290322562e+02,1.218709677419354875e+02,8.864516129032257652e+01
2.631875000000000000e+02,1.770833333333333144e+02,2.039375000000000000e+02
2.572500000000000000e+02,1.973750000000000000e+02,2.800000000000000000e+02
2.531428571428571388e+02,1.004285714285714164e+02,1.437142857142857224e+02
2.500000000000000000e+02,1.140000000000000000e+02,1.400000000000000000e+02
2.407855072463768238e+02,1.060289855072463752e+02,1.325652173913043441e+02
2.381974248927038502e+02,1.670143061516452008e+02,1.393905579399141743e+02
2.438947368421052602e+02,9.915789473684210975e+01,1.377894736842105203e+02
2.365000000000000000e+02,1.147500000000000000e+02,1.365000000000000000e+02
2.300000000000000000e+02,1.580000000000000000e+02,1.350000000000000000e+02
2.271188118811881225e+02,1.444356435643564396e+02,1.448217821782178305e+02
2.241904761904762040e+02,1.035714285714285836e+02,1.226666666666666714e+02
2.178750000000000000e+02,1.630000000000000000e+02,1.248750000000000000e+02
2.100000000000000000e+02,1.020000000000000000e+02,1.150000000000000000e+02
2.008000000000000114e+02,1.678000000000000114e+02,1.145000000000000000e+02
1.971428571428571388e+02,8.857142857142858361e+01,1.194285714285714306e+02
1.009090909090909349e+02,5.827272727272728048e+01,2.628181818181818130e+02
6.600000000000000000e+01,7.400000000000000000e+01,2.220000000000000000e+02
4.034693877551018204e+01,7.802040816326530148e+01,1.889795918367346985e+02
2.950000000000000000e+01,7.950000000000000000e+01,1.711666666666666572e+02
1.415789473684208133e+01,1.410526315789473699e+02,1.862105263157894797e+02
