x,y,z
3.065000000000000000e+02,3.400000000000000000e+01,2.775000000000000000e+02
2.174331983805668074e+02,2.230202429149797467e+02,3.031943319838056823e+02
2.791408450704225288e+02,4.138028169014083346e+01,2.675375586854460153e+02
2.238151950718685725e+02,2.160759753593429195e+02,2.772813141683778326e+02
6.860000000000002274e+01,1.939538461538461434e+02,1.058615384615384585e+02
1.988458333333333314e+02,2.223041666666666742e+02,2.387375000000000114e+02
1.822949640287769739e+02,2.086187050359712316e+02,2.543129496402877692e+02
2.265877268798617195e+02,1.935246326707001003e+02,2.077839239412273002e+02
1.110000000000000000e+02,2.106478149100257156e+02,1.634061696658097560e+02
2.608544698544698690e+02,2.155072765072765151e+02,2.882432432432432279e+02
2.827064364207221274e+02,3.880376766091052332e+01,2.798304552590266780e+02
1.019230769230769056e+02,1.951153846153846132e+02,1.328846153846153868e+02
2.413911007025761251e+02,2.669086651053865467e+01,2.805409836065574041e+02
1.696811594202898448e+02,5.791304347826087451e+01,1.600869565217391255e+02
3.092556179775281180e+02,3.544101123595504532e+01,2.922387640449438209e+02
1.656060606060605949e+02,3.578787878787878185e+01,2.151212121212121247e+02
2.334535147392290355e+02,2.115079365079365061e+02,2.851791383219954810e+02
1.129207920792078994e+02,3.519306930693068125e+01,1.301039603960396107e+02
2.560000000000000000e+02,5.600000000000000000e+01,2.090000000000000000e+02
1.558592233009708821e+02,3.896601941747573505e+01,1.621310679611650585e+02
1.024666666666666401e+02,2.001999999999999886e+02,1.707333333333333201e+02
2.912806324110671881e+02,2.187193675889328119e+02,3.146620553359683754e+02
2.142454935622317578e+02,2.161407725321888336e+02,2.133914163090128682e+02
1.367575757575757507e+02,1.867272727272727479e+02,1.579696969696969688e+02
2.017309309309309242e+02,4.371471471471471659e+01,1.853633633633633622e+02
1.488533333333333246e+02,2.067433333333333394e+02,2.273799999999999955e+02
4.076056338028166692e+01,1.993239436619718390e+02,6.500704225352112076e+01
2.635407854984894129e+02,2.190135951661631566e+02,3.001178247734138722e+02
2.835000000000000000e+02,2.277500000000000000e+02,3.027500000000000000e+02
2.177777777777777715e+02,2.253611111111111143e+02,2.680555555555555429e+02
1.846433203631647189e+02,2.058508430609597895e+02,1.939779507133592631e+02
7.909195402298848876e+01,1.886724137931034306e+02,9.727011494252873547e+01
2.711173708920188119e+02,4.703755868544601526e+01,2.226384976525821457e+02
2.496918918918918848e+02,3.637027027027028225e+01,2.602117117117117004e+02
1.430000000000000000e+02,1.750000000000000000e+02,1.400000000000000000e+02
1.504810438207779555e+02,1.986228458887247825e+02,1.761935007385524443e+02
2.933940609951845886e+02,5.289887640449438777e+01,2.261701444622792962e+02
1.140000000000000000e+02,1.950000000000000000e+02,1.480000000000000000e+02
1.376846153846153982e+02,4.007692307692306599e+01,1.349153846153846246e+02
1.740745341614906749e+02,3.414906832298137829e+01,2.037701863354037357e+02
2.371484648270501339e+02,5.139253789350951251e+01,1.947019043917605927e+02
2.265971705137751258e+02,2.397915115413255194e+01,2.598287416232315650e+02
8.823529411764707220e+01,2.040441176470588402e+02,1.446225490196078454e+02
1.264983277591973092e+02,7.376254180602006727e+01,1.008093645484949832e+02
2.460590425531914889e+02,2.116930851063829664e+02,2.301265957446808557e+02
1.159869281045751563e+02,4.074509803921569073e+01,1.188169934640522882e+02
2.021257142857142810e+02,2.218594285714285661e+02,2.802297142857142944e+02
1.668408408408408548e+02,5.173573573573574436e+01,1.753273273273273389e+02
9.159706959706960561e+01,6.277289377289378081e+01,8.150915750915750380e+01
1.340862068965517153e+02,4.036206896551723844e+01,1.572586206896551744e+02
8.130188679245281946e+01,6.945911949685535092e+01,6.682599580712788168e+01
2.781564356435643504e+02,2.164297029702970292e+02,2.448752475247524671e+02
1.987023498694516945e+02,1.853524804177544638e+01,2.571566579634464915e+02
1.902117863720073672e+02,1.939576427255985323e+02,1.749300184162062521e+02
1.033158783783783861e+02,1.913614864864864842e+02,1.123057432432432421e+02
3.097837837837838038e+02,2.057432432432432279e+02,2.710675675675675507e+02
1.724794007490636716e+02,6.705243445692883597e+01,1.525168539325842687e+02
1.749530791788856163e+02,2.189853372434017729e+02,2.080762463343108379e+02
3.325000000000000000e+02,4.875000000000000000e+01,2.329375000000000000e+02
3.185933660933661145e+02,4.611793611793612513e+01,2.534926289926289940e+02
2.055899280575539478e+02,3.008992805755394784e+01,2.360647482014388459e+02
7.506194690265488134e+01,2.817699115044248970e+01,9.335398230088495097e+01
1.780776699029126178e+02,6.831067961165049951e+01,3.078932038834951186e+02
1.365217391304347814e+02,8.208695652173912549e+01,2.756304347826086882e+02
1.308275862068965409e+02,5.538620689655172669e+01,2.677862068965517324e+02
1.198947368421052602e+02,9.552631578947367075e+01,2.638947368421052602e+02
1.135622317596566404e+02,1.432961373390558037e+02,2.885922746781116075e+02
1.006957983193277073e+02,6.939663865546219768e+01,2.340638655462184943e+02
2.789272608125819488e+02,6.454390563564874128e+01,1.988532110091743164e+02
1.670000000000000000e+02,1.730000000000000000e+02,3.260000000000000000e+02
1.865000000000000000e+02,2.220000000000000000e+02,3.300000000000000000e+02
1.811020408163265358e+02,2.187142857142857224e+02,3.289591836734693970e+02
3.158421052631579187e+02,6.531578947368421950e+01,1.945789473684210407e+02
3.125760869565217490e+02,5.745652173913043725e+01,1.999347826086956559e+02
1.707647058823529278e+02,9.062745098039215463e+01,9.900000000000000000e+01
1.566779661016949206e+02,7.155932203389829738e+01,1.367542372881355845e+02
1.791111111111111143e+02,7.922222222222222854e+01,1.476666666666666572e+02
