x,y,z
2.984399999999999977e+02,4.869999999999998863e+01,2.147400000000000091e+02
2.923673469387755404e+02,2.260306122448979522e+02,2.230000000000000000e+02
2.940000000000000000e+02,1.980000000000000000e+02,2.190000000000000000e+02
2.930000000000000000e+02,1.482857142857142776e+02,1.767857142857142776e+02
2.912857142857142776e+02,1.980000000000000000e+02,2.237142857142857224e+02
2.913333333333333144e+02,2.385000000000000000e+02,2.908333333333333144e+02
2.736987179487179560e+02,1.374487179487179560e+02,1.880833333333333428e+02
2.635555555555555429e+02,5.559259259259258101e+01,1.812222222222222285e+02
2.575945945945945823e+02,7.075675675675674370e+01,1.535135135135135158e+02
2.540000000000000000e+02,2.060000000000000000e+02,2.880000000000000000e+02
2.282500000000000000e+02,5.450000000000000000e+01,1.605000000000000000e+02
2.241954022988505812e+02,2.241724137931034306e+02,1.957701149425287497e+02
2.260000000000000000e+02,5.500000000000000000e+01,1.630000000000000000e+02
2.221200000000000045e+02,1.356399999999999864e+02,1.280399999999999920e+02
2.205000000000000000e+02,1.043750000000000000e+02,1.042500000000000000e+02
2.150000000000000000e+02,1.365000000000000000e+02,1.260000000000000000e+02
2.100344827586206975e+02,9.758620689655171532e+01,1.011034482758620641e+02
2.005000000000000000e+02,2.020000000000000000e+02,1.550000000000000000e+02
2.000000000000000000e+02,1.730000000000000000e+02,9.750000000000000000e+01
1.990000000000000000e+02,1.810000000000000000e+02,1.770000000000000000e+02
1.941515151515151558e+02,2.130530303030303116e+02,1.769924242424242493e+02
1.890697674418604777e+02,8.341860465116278078e+01,1.304418604651162923e+02
1.681111111111111143e+02,1.911111111111111143e+02,1.443333333333333428e+02
1.490000000000000000e+02,4.925000000000000000e+01,1.207500000000000000e+02
1.414499999999999886e+02,4.684999999999999432e+01,1.167999999999999972e+02
1.420000000000000000e+02,3.800000000000000000e+01,1.260000000000000000e+02
1.168537414965986159e+02,1.021360544217687050e+02,6.806122448979591866e+01
1.159734513274336223e+02,1.989557522123893705e+02,1.342477876106194685e+02
1.073571428571428328e+02,1.906428571428571388e+02,8.478571428571429180e+01
1.056666666666666856e+02,1.507222222222222285e+02,6.905555555555555713e+01
1.060000000000000000e+02,1.580000000000000000e+02,4.800000000000000000e+01
1.043999999999999773e+02,1.871999999999999886e+02,9.340000000000000568e+01
1.005384615384615472e+02,1.607692307692307736e+02,4.646153846153845990e+01
9.432258064516128115e+01,1.546451612903225623e+02,4.174193548387096797e+01
