x,y,z
1.845721393034826008e+02,1.920746268656716325e+02,1.857711442786069540e+02
3.055689655172413950e+02,3.444827586206895376e+01,2.780689655172413950e+02
1.348759689922480618e+02,1.836124031007751967e+02,1.421085271317829495e+02
2.167654723127035936e+02,2.237361563517915215e+02,3.032768729641693994e+02
2.824090909090908781e+02,2.254545454545454390e+02,3.050909090909090651e+02
2.678222222222221944e+02,4.762222222222223422e+01,2.249703703703703752e+02
2.789596153846154039e+02,4.169038461538460183e+01,2.676134615384615358e+02
2.031371708511941279e+02,4.615186772810778848e+01,1.839485609308022163e+02
2.534464285714285836e+02,1.921071428571428612e+02,2.220357142857142776e+02
1.356882352941176464e+02,4.182941176470589539e+01,1.387352941176470722e+02
1.037348993288590577e+02,1.961275167785234999e+02,1.309563758389261636e+02
1.327460317460317469e+02,1.856349206349206327e+02,1.589841269841269877e+02
1.561102941176470722e+02,4.111764705882353610e+01,1.662500000000000000e+02
2.554682539682539755e+02,5.568253968253966946e+01,2.104444444444444571e+02
6.903619909502265273e+01,1.944072398190045305e+02,1.045927601809954695e+02
1.944827586206896513e+02,1.798620689655172384e+02,1.822413793103448256e+02
1.105680272108843383e+02,2.095714285714285552e+02,1.638605442176870781e+02
9.314716312056737024e+01,6.487588652482270390e+01,7.681560283687943524e+01
8.683904619970195427e+01,7.385991058122206709e+01,6.584202682563338271e+01
2.536875000000000000e+02,2.237500000000000000e+02,2.818437500000000000e+02
3.539692307692307622e+02,5.036923076923076792e+01,2.607384615384615358e+02
1.823615023474178543e+02,2.088544600938967051e+02,2.538732394366197127e+02
3.013636363636363740e+02,2.238181818181818130e+02,2.799545454545454390e+02
2.824712793733681337e+02,3.902088772845954168e+01,2.795365535248041624e+02
2.291690283400809847e+02,1.934028340080971589e+02,2.051113360323886639e+02
1.655967741935483843e+02,3.579032258064515304e+01,2.138064516129032313e+02
2.607530434782608495e+02,2.154243478260869438e+02,2.879826086956521749e+02
2.920000000000000000e+02,6.000000000000000000e+01,2.300000000000000000e+02
1.493940677966101589e+02,2.073432203389830590e+02,2.258347457627118615e+02
1.585833333333333428e+02,1.864583333333333144e+02,1.624166666666666572e+02
1.409882352941176578e+02,5.269411764705881751e+01,1.379411764705882320e+02
1.127142857142857224e+02,3.542328042328043125e+01,1.300634920634920775e+02
3.086920903954802498e+02,3.601977401129943246e+01,2.922146892655367196e+02
2.318844936708860871e+02,4.842958860759492268e+01,2.034454113924050773e+02
1.404166666666666572e+02,1.755833333333333144e+02,1.409791666666666572e+02
6.212903225806451246e+01,1.815032258064516100e+02,7.020000000000000284e+01
1.683532423208191062e+02,5.439931740614335354e+01,1.682150170648464211e+02
1.530276774969915721e+02,1.983670276774969921e+02,1.724855595667870034e+02
3.781569965870306760e+01,1.956587030716723348e+02,6.784129692832765102e+01
1.978059701492537386e+02,2.207590618336886905e+02,2.406204690831556547e+02
2.909080000000000155e+02,2.185399999999999920e+02,3.142359999999999900e+02
2.891397174254317406e+02,4.700627943485085325e+01,2.304615384615384528e+02
