x,y,z
3.600000000000000000e+02,5.100000000000000000e+01,2.530000000000000000e+02
3.530000000000000000e+02,4.000000000000000000e+01,2.770000000000000000e+02
3.460000000000000000e+02,4.300000000000000000e+01,2.620000000000000000e+02
3.430000000000000000e+02,3.900000000000000000e+01,2.660000000000000000e+02
3.390000000000000000e+02,3.300000000000000000e+01,2.710000000000000000e+02
3.390000000000000000e+02,3.100000000000000000e+01,2.670000000000000000e+02
3.380000000000000000e+02,3.300000000000000000e+01,2.730000000000000000e+02
3.160000000000000000e+02,4.700000000000000000e+01,2.570000000000000000e+02
3.120000000000000000e+02,4.300000000000000000e+01,2.620000000000000000e+02
3.090000000000000000e+02,1.550000000000000000e+02,4.600000000000000000e+01
3.020000000000000000e+02,2.470000000000000000e+02,2.720000000000000000e+02
2.830000000000000000e+02,2.270000000000000000e+02,3.020000000000000000e+02
2.390000000000000000e+02,2.130000000000000000e+02,2.390000000000000000e+02
2.390000000000000000e+02,2.130000000000000000e+02,2.410000000000000000e+02
2.380000000000000000e+02,2.150000000000000000e+02,2.450000000000000000e+02
2.180000000000000000e+02,2.270000000000000000e+02,2.670000000000000000e+02
2.050000000000000000e+02,3.100000000000000000e+01,2.370000000000000000e+02
2.010000000000000000e+02,2.270000000000000000e+02,2.330000000000000000e+02
1.950000000000000000e+02,2.180000000000000000e+02,2.460000000000000000e+02
1.830000000000000000e+02,2.100000000000000000e+02,2.530000000000000000e+02
1.770000000000000000e+02,2.250000000000000000e+02,2.030000000000000000e+02
1.750000000000000000e+02,2.190000000000000000e+02,2.080000000000000000e+02
1.660000000000000000e+02,5.100000000000000000e+01,1.770000000000000000e+02
1.640000000000000000e+02,5.000000000000000000e+01,1.790000000000000000e+02
1.560000000000000000e+02,4.100000000000000000e+01,1.660000000000000000e+02
1.550000000000000000e+02,1.940000000000000000e+02,1.710000000000000000e+02
1.360000000000000000e+02,4.100000000000000000e+01,1.370000000000000000e+02
1.140000000000000000e+02,1.950000000000000000e+02,1.480000000000000000e+02
1.120000000000000000e+02,2.140000000000000000e+02,1.610000000000000000e+02
1.100000000000000000e+02,2.080000000000000000e+02,1.650000000000000000e+02
1.070000000000000000e+02,1.980000000000000000e+02,1.280000000000000000e+02
