x,y,z
2.760000000000000000e+02,1.630000000000000000e+02,3.290000000000000000e+02
2.720000000000000000e+02,1.460000000000000000e+02,3.370000000000000000e+02
2.670000000000000000e+02,1.020000000000000000e+02,4.180000000000000000e+02
2.630000000000000000e+02,1.050000000000000000e+02,3.100000000000000000e+02
2.630000000000000000e+02,9.000000000000000000e+01,3.070000000000000000e+02
2.588000000000000114e+02,2.120000000000000000e+02,5.599999999999999645e+00
2.600000000000000000e+02,1.030000000000000000e+02,3.080000000000000000e+02
2.517129629629629619e+02,1.755370370370370381e+02,3.433796296296296191e+02
2.560000000000000000e+02,9.000000000000000000e+01,2.590000000000000000e+02
2.545000000000000000e+02,9.325000000000000000e+01,2.597500000000000000e+02
2.540000000000000000e+02,1.730000000000000000e+02,3.450000000000000000e+02
2.505681818181818130e+02,1.425000000000000000e+02,3.283409090909090651e+02
2.512500000000000000e+02,1.390000000000000000e+02,3.247500000000000000e+02
2.490476190476190368e+02,1.200000000000000000e+02,2.616190476190475920e+02
2.500000000000000000e+02,1.420000000000000000e+02,3.320000000000000000e+02
2.500000000000000000e+02,1.205000000000000000e+02,3.620000000000000000e+02
2.500000000000000000e+02,1.035000000000000000e+02,2.620000000000000000e+02
2.481250000000000000e+02,1.080000000000000000e+02,2.622500000000000000e+02
2.480000000000000000e+02,1.750000000000000000e+02,3.350000000000000000e+02
2.480000000000000000e+02,1.560000000000000000e+02,3.360000000000000000e+02
2.476666666666666572e+02,1.476666666666666856e+02,3.356666666666666856e+02
2.480000000000000000e+02,1.470000000000000000e+02,3.330000000000000000e+02
2.480000000000000000e+02,1.180000000000000000e+02,3.630000000000000000e+02
2.480000000000000000e+02,8.500000000000000000e+01,3.030000000000000000e+02
2.421120689655172384e+02,1.685689655172413950e+02,3.331465517241379075e+02
2.460000000000000000e+02,1.585999999999999943e+02,3.366000000000000227e+02
2.460000000000000000e+02,1.770000000000000000e+02,3.360000000000000000e+02
2.460000000000000000e+02,1.765000000000000000e+02,3.385000000000000000e+02
2.450000000000000000e+02,1.550000000000000000e+02,3.430000000000000000e+02
2.430000000000000000e+02,1.800000000000000000e+02,3.500000000000000000e+02
2.437500000000000000e+02,1.575000000000000000e+02,2.957500000000000000e+02
2.440000000000000000e+02,1.460000000000000000e+02,3.390000000000000000e+02
2.440000000000000000e+02,1.230000000000000000e+02,4.020000000000000000e+02
2.430000000000000000e+02,1.660000000000000000e+02,3.280000000000000000e+02
2.409444444444444571e+02,1.617870370370370381e+02,3.454259259259259238e+02
2.430000000000000000e+02,1.500000000000000000e+02,2.840000000000000000e+02
2.381325966850828877e+02,1.476243093922651894e+02,3.657127071823204574e+02
2.365591397849462396e+02,1.021827956989247355e+02,3.739534050179211704e+02
2.410000000000000000e+02,1.660000000000000000e+02,3.280000000000000000e+02
2.383606557377049171e+02,1.344098360655737565e+02,3.619672131147540881e+02
2.400000000000000000e+02,1.045000000000000000e+02,3.922500000000000000e+02
2.400000000000000000e+02,1.870000000000000000e+02,2.480000000000000000e+02
2.343038348082595803e+02,1.792595870206489508e+02,3.030471976401179859e+02
2.400000000000000000e+02,1.780000000000000000e+02,3.455000000000000000e+02
2.395000000000000000e+02,1.405000000000000000e+02,3.650000000000000000e+02
2.369846153846153811e+02,1.364461538461538339e+02,3.781230769230769511e+02
2.386666666666666572e+02,1.983333333333333428e+02,2.550000000000000000e+02
2.358969072164948386e+02,1.488969072164948386e+02,3.253402061855670127e+02
2.380000000000000000e+02,1.760000000000000000e+02,3.460000000000000000e+02
2.380000000000000000e+02,1.750000000000000000e+02,3.480000000000000000e+02
2.380000000000000000e+02,1.690000000000000000e+02,2.905000000000000000e+02
2.358983050847457434e+02,1.603220338983050794e+02,3.541864406779661181e+02
2.380000000000000000e+02,1.390000000000000000e+02,3.740000000000000000e+02
2.347300000000000182e+02,1.841599999999999966e+02,2.895500000000000114e+02
2.358571428571428612e+02,1.732857142857142776e+02,3.608571428571428328e+02
