x,y,z
2.524000000000000057e+02,9.700000000000000000e+01,2.606000000000000227e+02
2.596666666666666856e+02,1.006666666666666714e+02,3.073333333333333144e+02
2.261052631578947398e+02,1.034210526315789451e+02,2.571052631578947398e+02
2.630000000000000000e+02,1.070000000000000000e+02,3.100000000000000000e+02
2.514545454545454390e+02,1.117272727272727337e+02,2.596363636363636260e+02
2.190000000000000000e+02,1.000000000000000000e+02,2.530000000000000000e+02
2.290000000000000000e+02,1.000000000000000000e+02,3.040000000000000000e+02
2.121904761904762040e+02,1.187142857142857082e+02,2.281666666666666572e+02
2.330000000000000000e+02,1.480000000000000000e+02,1.880000000000000000e+02
2.296666666666666856e+02,1.880000000000000000e+02,1.710000000000000000e+02
2.428888888888888857e+02,1.735555555555555429e+02,2.493333333333333428e+02
2.400000000000000000e+02,1.865000000000000000e+02,2.451666666666666572e+02
2.372549019607843093e+02,1.369803921568627629e+02,2.333529411764705799e+02
2.242500000000000000e+02,1.145000000000000000e+02,2.275000000000000000e+02
5.800000000000000000e+01,1.130000000000000000e+02,2.270000000000000000e+02
2.900000000000000000e+01,1.590000000000000000e+02,3.170000000000000000e+02
2.056571428571428442e+02,1.243142857142857167e+02,1.410857142857142890e+02
2.508333333333333428e+02,1.296666666666666856e+02,2.610000000000000000e+02
2.200000000000000000e+01,1.620000000000000000e+02,3.410000000000000000e+02
2.260000000000000000e+02,1.260000000000000000e+02,1.816666666666666572e+02
3.835000000000002274e+01,1.250999999999999943e+02,2.186500000000000057e+02
4.500000000000000000e+01,8.650000000000000000e+01,3.480000000000000000e+02
2.735000000000000000e+02,1.630000000000000000e+02,3.290000000000000000e+02
2.198750000000000000e+02,9.975000000000000000e+01,2.581875000000000000e+02
2.730000000000000000e+02,1.485000000000000000e+02,3.360000000000000000e+02
2.616666666666666856e+02,1.460000000000000000e+02,3.106666666666666856e+02
2.200000000000000000e+02,9.600000000000000000e+01,2.560000000000000000e+02
2.310000000000000000e+02,1.500000000000000000e+02,4.200000000000000000e+01
2.302222222222222285e+02,1.106666666666666714e+02,2.256111111111111143e+02
4.800000000000000000e+01,1.680000000000000000e+02,1.930000000000000000e+02
2.340000000000000000e+02,1.690000000000000000e+02,1.840000000000000000e+02
2.020000000000000000e+02,1.190000000000000000e+02,1.436666666666666572e+02
2.525000000000000000e+02,7.550000000000000000e+01,3.460000000000000000e+02
7.800000000000000000e+01,1.250000000000000000e+02,1.120000000000000000e+02
5.800000000000000000e+01,1.195000000000000000e+02,1.520000000000000000e+02
6.800000000000000000e+01,9.700000000000000000e+01,1.570000000000000000e+02
6.900000000000000000e+01,1.030000000000000000e+02,1.563333333333333428e+02
2.520000000000000000e+02,9.000000000000000000e+01,3.070000000000000000e+02
2.326250000000000000e+02,7.704166666666665719e+01,3.387916666666666856e+02
2.175000000000000000e+02,9.100000000000000000e+01,2.545000000000000000e+02
2.530000000000000000e+02,1.270000000000000000e+02,3.630000000000000000e+02
7.002068965517241850e+01,9.731724137931034591e+01,2.791862068965517096e+02
2.192500000000000000e+02,1.247500000000000000e+02,1.767500000000000000e+02
4.800000000000000000e+01,7.300000000000000000e+01,3.820000000000000000e+02
4.289999999999997726e+01,1.348000000000000114e+02,2.246999999999999886e+02
2.670000000000000000e+02,1.000000000000000000e+02,4.160000000000000000e+02
2.333333333333333144e+02,1.311111111111111143e+02,1.944444444444444287e+01
2.298571428571428612e+02,9.514285714285713880e+01,3.031428571428571672e+02
5.866666666666665719e+01,1.116666666666666714e+02,1.520000000000000000e+02
2.040000000000000000e+02,1.160000000000000000e+02,1.450000000000000000e+02
2.301666666666666856e+02,1.898333333333333428e+02,1.733333333333333428e+02
2.520000000000000000e+02,8.700000000000000000e+01,3.060000000000000000e+02
2.174692307692307622e+02,6.521538461538460751e+01,3.381769230769230603e+02
2.486857142857142833e+02,1.294285714285714448e+02,3.625714285714285552e+02
2.200000000000000000e+02,9.750000000000000000e+01,2.280000000000000000e+02
