x,y,z
2.370333333333333314e+02,1.522333333333333485e+02,2.665666666666666629e+02
2.313750000000000000e+02,1.658125000000000000e+02,9.306250000000000000e+01
2.250344827586206975e+02,1.716551724137931103e+02,1.883448275862068897e+02
2.240000000000000000e+02,1.670000000000000000e+02,1.880000000000000000e+02
2.240000000000000000e+02,1.650000000000000000e+02,1.880000000000000000e+02
2.216666666666666856e+02,1.633333333333333428e+02,1.850000000000000000e+02
2.080465116279069662e+02,1.129162790697674410e+02,1.860465116279069662e+02
2.040000000000000000e+02,9.466666666666667140e+01,1.856666666666666572e+02
1.987500000000000000e+02,1.827500000000000000e+02,1.895000000000000000e+02
6.600000000000000000e+01,9.600000000000000000e+01,1.580000000000000000e+02
6.600000000000000000e+01,9.300000000000000000e+01,1.580000000000000000e+02
5.818181818181818699e+01,1.720053475935828828e+02,1.997379679144385136e+02
2.217647058823530415e+01,1.500294117647058840e+02,3.546764705882353041e+02
2.500000000000000000e+01,1.480000000000000000e+02,3.600000000000000000e+02
