x,y,z
2.681927710843370960e+01,1.445963855421686617e+02,3.147590361445783174e+02
2.482854030501089255e+02,1.634749455337690733e+02,2.559694989106753837e+02
2.701744186046511231e+01,1.586162790697674438e+02,3.175581395348837077e+02
6.125000000000000000e+01,1.225000000000000000e+02,1.792500000000000000e+02
2.598483146067415532e+02,1.294775280898876417e+02,3.134101123595505669e+02
2.396842105263157805e+02,1.882763157894736992e+02,2.466184210526315894e+02
2.453393939393939434e+02,1.511393939393939263e+02,2.584848484848484986e+02
2.582500000000000000e+02,1.027500000000000000e+02,3.082500000000000000e+02
2.438436578171091469e+02,1.736843657817109090e+02,2.486666666666666572e+02
2.290000000000000000e+02,1.665000000000000000e+02,9.000000000000000000e+01
2.747619047619048160e+01,1.407976190476190368e+02,3.668690476190475920e+02
2.400000000000000000e+01,1.330000000000000000e+02,3.520000000000000000e+02
5.444444444444445708e+01,1.556931216931216966e+02,2.082486772486772395e+02
2.030000000000000000e+02,9.200000000000000000e+01,1.860000000000000000e+02
2.290000000000000000e+02,1.390000000000000000e+02,1.370000000000000000e+02
2.327022058823529278e+02,1.520257352941176521e+02,1.889448529411764639e+02
2.343310657596371698e+02,1.672267573696145178e+02,1.828775510204081627e+02
2.617663043478260647e+02,1.469076086956521863e+02,3.121521739130434980e+02
2.690532786885245855e+02,1.343893442622950829e+02,3.495177595628415474e+02
2.601494252873563369e+02,1.250996168582375532e+02,3.587777777777777715e+02
6.600000000000000000e+01,9.900000000000000000e+01,1.580000000000000000e+02
5.779069767441859540e+01,1.047325581395348877e+02,1.556279069767441854e+02
2.362111801242236027e+02,1.340434782608695627e+02,2.331863354037267015e+02
4.631190476190477057e+01,1.718380952380952351e+02,1.947238095238095354e+02
2.736565040650406218e+02,1.457378048780487916e+02,3.380223577235772154e+02
2.142302025782688588e+02,1.164972375690607720e+02,1.750534069981583798e+02
4.000000000000000000e+01,1.410000000000000000e+02,2.300000000000000000e+02
2.590000000000000000e+02,1.160000000000000000e+02,4.027500000000000000e+02
2.230000000000000000e+02,1.170000000000000000e+02,2.280000000000000000e+02
5.287912087912087600e+01,1.352893772893772848e+02,1.869743589743589780e+02
3.292655367231640184e+01,1.445367231638418275e+02,2.850847457627118615e+02
2.625714285714285552e+02,1.182142857142857082e+02,3.450000000000000000e+02
2.487818181818181813e+02,1.310077922077921926e+02,2.623896103896103682e+02
2.297046703296703356e+02,1.836909340659340728e+02,1.718708791208791240e+02
3.607499999999998863e+01,1.291999999999999886e+02,2.828500000000000227e+02
2.340000000000000000e+02,1.630000000000000000e+02,9.500000000000000000e+01
2.000000000000000000e+01,1.550000000000000000e+02,3.520000000000000000e+02
3.000000000000000000e+01,1.292500000000000000e+02,3.117500000000000000e+02
2.265204678362572963e+02,1.332192982456140271e+02,1.822953216374268948e+02
2.055000000000000000e+02,9.933333333333332860e+01,1.848333333333333428e+02
4.227272727272725206e+01,1.366363636363636260e+02,2.252727272727272805e+02
2.597391304347826235e+02,1.034434782608695684e+02,3.465652173913043725e+02
2.280000000000000000e+02,1.693333333333333428e+02,9.033333333333332860e+01
5.756521739130434412e+01,1.131304347826087024e+02,1.469347826086956559e+02
2.600992907801418141e+02,1.134539007092198517e+02,3.109361702127659441e+02
6.174358974358975161e+01,9.908547008547009227e+01,1.535555555555555429e+02
2.308163265306122298e+02,1.246632653061224545e+02,2.277602040816326507e+02
3.801630434782606471e+01,1.722798913043478137e+02,2.707472826086956275e+02
3.764130434782606471e+01,1.604347826086956559e+02,2.774945652173913118e+02
4.583960948396094182e+01,1.875006973500697427e+02,2.603612273361227381e+02
5.012809917355372136e+01,1.836570247933884161e+02,1.850619834710743703e+02
