x,y,z
3.100000000000000000e+01,1.380000000000000000e+02,2.840000000000000000e+02
2.440000000000000000e+02,1.540000000000000000e+02,2.600000000000000000e+02
3.500000000000000000e+01,1.160000000000000000e+02,2.790000000000000000e+02
2.320000000000000000e+02,1.450000000000000000e+02,1.860000000000000000e+02
2.230000000000000000e+02,1.250000000000000000e+02,1.790000000000000000e+02
3.000000000000000000e+01,1.510000000000000000e+02,3.170000000000000000e+02
2.280000000000000000e+02,1.060000000000000000e+02,2.250000000000000000e+02
4.300000000000000000e+01,1.390000000000000000e+02,2.280000000000000000e+02
2.130000000000000000e+02,1.060000000000000000e+02,1.730000000000000000e+02
5.900000000000000000e+01,1.090000000000000000e+02,1.470000000000000000e+02
2.350000000000000000e+02,1.270000000000000000e+02,2.340000000000000000e+02
5.400000000000000000e+01,1.000000000000000000e+02,2.300000000000000000e+02
3.300000000000000000e+01,1.180000000000000000e+02,2.120000000000000000e+02
2.590000000000000000e+02,8.300000000000000000e+01,2.580000000000000000e+02
2.460000000000000000e+02,1.440000000000000000e+02,2.600000000000000000e+02
2.280000000000000000e+02,1.040000000000000000e+02,2.240000000000000000e+02
3.600000000000000000e+01,1.360000000000000000e+02,2.840000000000000000e+02
5.700000000000000000e+01,9.700000000000000000e+01,2.260000000000000000e+02
2.300000000000000000e+02,1.450000000000000000e+02,1.850000000000000000e+02
6.100000000000000000e+01,8.200000000000000000e+01,2.250000000000000000e+02
3.200000000000000000e+01,3.600000000000000000e+01,3.860000000000000000e+02
2.500000000000000000e+02,5.200000000000000000e+01,2.990000000000000000e+02
2.500000000000000000e+02,5.800000000000000000e+01,2.990000000000000000e+02
