x,y,z
4.342034317230186957e+01,8.758854023079231865e+01,6.447037003566401836e+01
2.900000000000000000e+01,7.600000000000000000e+01,2.100000000000000000e+01
2.300000000000000000e+01,1.000000000000000000e+02,3.100000000000000000e+01
5.700000000000000000e+01,3.400000000000000000e+01,2.100000000000000000e+01
2.100000000000000000e+01,1.240000000000000000e+02,3.500000000000000000e+01
6.500000000000000000e+01,2.800000000000000000e+01,1.700000000000000000e+01
2.500000000000000000e+01,1.080000000000000000e+02,3.500000000000000000e+01
3.700000000000000000e+01,7.000000000000000000e+01,2.650000000000000000e+01
4.700000000000000000e+01,1.520000000000000000e+02,6.600000000000000000e+01
2.500000000000000000e+01,1.000000000000000000e+02,3.500000000000000000e+01
4.300000000000000000e+01,1.520000000000000000e+02,6.400000000000000000e+01
2.900000000000000000e+01,1.440000000000000000e+02,4.000000000000000000e+01
4.400000000000000000e+01,6.200000000000000000e+01,2.200000000000000000e+01
3.300000000000000000e+01,9.200000000000000000e+01,3.300000000000000000e+01
3.300000000000000000e+01,8.400000000000000000e+01,2.100000000000000000e+01
3.900000000000000000e+01,1.420000000000000000e+02,5.500000000000000000e+01
6.200000000000000000e+01,3.400000000000000000e+01,2.100000000000000000e+01
3.700000000000000000e+01,7.400000000000000000e+01,2.500000000000000000e+01
2.700000000000000000e+01,1.050000000000000000e+02,3.600000000000000000e+01
