x,y,z
6.000000000000000000e+01,9.700000000000000000e+01,8.400000000000000000e+01
4.400000000000000000e+01,8.400000000000000000e+01,6.700000000000000000e+01
1.600000000000000000e+01,1.390000000000000000e+02,4.000000000000000000e+01
6.400000000000000000e+01,2.900000000000000000e+01,4.900000000000000000e+01
2.400000000000000000e+01,1.460000000000000000e+02,5.300000000000000000e+01
4.400000000000000000e+01,1.490000000000000000e+02,7.500000000000000000e+01
2.700000000000000000e+01,1.510000000000000000e+02,6.500000000000000000e+01
4.600000000000000000e+01,3.500000000000000000e+01,2.800000000000000000e+01
7.400000000000000000e+01,3.800000000000000000e+01,6.400000000000000000e+01
5.700000000000000000e+01,8.200000000000000000e+01,7.400000000000000000e+01
3.700000000000000000e+01,1.270000000000000000e+02,6.800000000000000000e+01
4.400000000000000000e+01,1.470000000000000000e+02,8.200000000000000000e+01
1.300000000000000000e+01,1.240000000000000000e+02,4.200000000000000000e+01
6.000000000000000000e+01,2.800000000000000000e+01,4.400000000000000000e+01
7.200000000000000000e+01,3.100000000000000000e+01,5.250000000000000000e+01
1.833333333333332860e+01,7.466666666666667140e+01,3.033333333333333215e+01
1.300000000000000000e+01,1.140000000000000000e+02,4.200000000000000000e+01
2.800000000000000000e+01,8.800000000000000000e+01,4.300000000000000000e+01
1.400000000000000000e+01,9.000000000000000000e+01,3.500000000000000000e+01
4.550000000000000000e+01,2.900000000000000000e+01,3.800000000000000000e+01
3.200000000000000000e+01,1.480000000000000000e+02,6.800000000000000000e+01
2.700000000000000000e+01,1.510000000000000000e+02,6.300000000000000000e+01
7.200000000000000000e+01,9.000000000000000000e+01,8.800000000000000000e+01
3.625000000000000000e+01,7.400000000000000000e+01,4.350000000000000000e+01
4.000000000000000000e+01,9.800000000000000000e+01,6.000000000000000000e+01
4.400000000000000000e+01,1.010000000000000000e+02,6.700000000000000000e+01
3.900000000000000000e+01,9.000000000000000000e+01,5.500000000000000000e+01
4.400000000000000000e+01,1.030000000000000000e+02,6.800000000000000000e+01
3.400000000000000000e+01,3.700000000000000000e+01,2.400000000000000000e+01
4.400000000000000000e+01,7.400000000000000000e+01,5.500000000000000000e+01
6.700000000000000000e+01,7.400000000000000000e+01,7.100000000000000000e+01
2.200000000000000000e+01,1.460000000000000000e+02,5.300000000000000000e+01
5.100000000000000000e+01,1.270000000000000000e+02,8.300000000000000000e+01
2.550000000000000000e+01,1.480000000000000000e+02,5.600000000000000000e+01
7.000000000000000000e+00,1.190000000000000000e+02,3.966666666666666430e+01
8.300000000000000000e+01,8.800000000000000000e+01,8.400000000000000000e+01
6.700000000000000000e+01,4.200000000000000000e+01,4.800000000000000000e+01
8.100000000000000000e+01,3.400000000000000000e+01,7.200000000000000000e+01
4.100000000000000000e+01,1.100000000000000000e+02,6.200000000000000000e+01
5.100000000000000000e+01,5.900000000000000000e+01,4.000000000000000000e+01
3.879999999999999716e+01,3.359999999999999432e+01,2.719999999999999929e+01
3.200000000000000000e+01,8.600000000000000000e+01,4.300000000000000000e+01
4.400000000000000000e+01,8.100000000000000000e+01,5.600000000000000000e+01
6.700000000000000000e+01,3.100000000000000000e+01,4.400000000000000000e+01
3.200000000000000000e+01,9.000000000000000000e+01,4.300000000000000000e+01
4.100000000000000000e+01,2.800000000000000000e+01,2.800000000000000000e+01
4.400000000000000000e+01,1.100000000000000000e+02,6.800000000000000000e+01
4.350000000000000000e+01,7.300000000000000000e+01,4.250000000000000000e+01
3.500000000000000000e+01,3.500000000000000000e+01,2.400000000000000000e+01
7.000000000000000000e+00,1.270000000000000000e+02,3.950000000000000000e+01
6.000000000000000000e+00,1.190000000000000000e+02,4.200000000000000000e+01
