x,y,z
4.348455843420589417e+01,8.981146191039697158e+01,6.272567523976102422e+01
9.000000000000000000e+01,1.190000000000000000e+02,5.800000000000000000e+01
9.000000000000000000e+01,1.190000000000000000e+02,6.000000000000000000e+01
8.950000000000000000e+01,9.000000000000000000e+01,4.800000000000000000e+01
8.966666666666667140e+01,8.800000000000000000e+01,4.766666666666666430e+01
8.800000000000000000e+01,8.700000000000000000e+01,4.600000000000000000e+01
8.500000000000000000e+01,1.390000000000000000e+02,6.400000000000000000e+01
8.400000000000000000e+01,5.000000000000000000e+01,4.600000000000000000e+01
8.300000000000000000e+01,1.320000000000000000e+02,4.400000000000000000e+01
8.300000000000000000e+01,9.800000000000000000e+01,6.200000000000000000e+01
8.300000000000000000e+01,9.800000000000000000e+01,8.800000000000000000e+01
8.300000000000000000e+01,9.600000000000000000e+01,8.700000000000000000e+01
8.300000000000000000e+01,8.200000000000000000e+01,5.700000000000000000e+01
8.200000000000000000e+01,1.350000000000000000e+02,7.800000000000000000e+01
8.200000000000000000e+01,1.160000000000000000e+02,9.800000000000000000e+01
8.200000000000000000e+01,9.700000000000000000e+01,6.800000000000000000e+01
8.100000000000000000e+01,1.360000000000000000e+02,8.000000000000000000e+01
8.100000000000000000e+01,1.300000000000000000e+02,8.800000000000000000e+01
8.100000000000000000e+01,1.300000000000000000e+02,9.800000000000000000e+01
8.100000000000000000e+01,1.180000000000000000e+02,8.750000000000000000e+01
8.100000000000000000e+01,1.170000000000000000e+02,9.200000000000000000e+01
8.100000000000000000e+01,9.850000000000000000e+01,8.450000000000000000e+01
8.100000000000000000e+01,9.000000000000000000e+01,8.800000000000000000e+01
8.100000000000000000e+01,8.800000000000000000e+01,8.800000000000000000e+01
8.100000000000000000e+01,5.200000000000000000e+01,4.400000000000000000e+01
8.100000000000000000e+01,4.200000000000000000e+01,6.400000000000000000e+01
8.000000000000000000e+01,1.170000000000000000e+02,8.200000000000000000e+01
8.000000000000000000e+01,1.030000000000000000e+02,8.600000000000000000e+01
8.000000000000000000e+01,3.800000000000000000e+01,8.200000000000000000e+01
7.900000000000000000e+01,1.200000000000000000e+02,1.000000000000000000e+02
7.850000000000000000e+01,1.020000000000000000e+02,8.400000000000000000e+01
7.900000000000000000e+01,1.020000000000000000e+02,9.200000000000000000e+01
7.800000000000000000e+01,1.260000000000000000e+02,9.400000000000000000e+01
7.800000000000000000e+01,1.040000000000000000e+02,6.800000000000000000e+01
7.800000000000000000e+01,1.030000000000000000e+02,1.020000000000000000e+02
7.700000000000000000e+01,3.300000000000000000e+01,5.200000000000000000e+01
7.600000000000000000e+01,1.300000000000000000e+02,9.500000000000000000e+01
7.550000000000000000e+01,1.050000000000000000e+02,8.550000000000000000e+01
7.600000000000000000e+01,3.900000000000000000e+01,6.400000000000000000e+01
7.500000000000000000e+01,1.240000000000000000e+02,9.000000000000000000e+01
7.500000000000000000e+01,1.240000000000000000e+02,9.800000000000000000e+01
7.500000000000000000e+01,9.800000000000000000e+01,8.500000000000000000e+01
7.500000000000000000e+01,9.600000000000000000e+01,8.600000000000000000e+01
7.500000000000000000e+01,8.900000000000000000e+01,8.600000000000000000e+01
7.500000000000000000e+01,8.000000000000000000e+01,8.600000000000000000e+01
7.500000000000000000e+01,3.200000000000000000e+01,7.400000000000000000e+01
7.400000000000000000e+01,1.110000000000000000e+02,9.900000000000000000e+01
7.400000000000000000e+01,1.050000000000000000e+02,7.000000000000000000e+01
7.281818181818181301e+01,1.029090909090909065e+02,8.345454545454545325e+01
7.400000000000000000e+01,1.000000000000000000e+02,8.400000000000000000e+01
7.400000000000000000e+01,9.400000000000000000e+01,8.800000000000000000e+01
7.400000000000000000e+01,9.050000000000000000e+01,8.800000000000000000e+01
7.400000000000000000e+01,5.800000000000000000e+01,4.300000000000000000e+01
7.300000000000000000e+01,1.010000000000000000e+02,8.100000000000000000e+01
7.155555555555555713e+01,1.016666666666666714e+02,8.700000000000000000e+01
7.300000000000000000e+01,9.800000000000000000e+01,8.500000000000000000e+01
7.300000000000000000e+01,9.600000000000000000e+01,9.000000000000000000e+01
7.300000000000000000e+01,9.400000000000000000e+01,8.600000000000000000e+01
7.300000000000000000e+01,4.800000000000000000e+01,4.200000000000000000e+01
7.200000000000000000e+01,1.310000000000000000e+02,1.000000000000000000e+02
7.200000000000000000e+01,1.060000000000000000e+02,8.000000000000000000e+01
7.200000000000000000e+01,4.300000000000000000e+01,4.200000000000000000e+01
7.100000000000000000e+01,1.280000000000000000e+02,1.000000000000000000e+02
7.100000000000000000e+01,1.180000000000000000e+02,8.000000000000000000e+01
6.900000000000000000e+01,1.320000000000000000e+02,9.100000000000000000e+01
6.900000000000000000e+01,1.320000000000000000e+02,1.000000000000000000e+02
6.825000000000000000e+01,1.102500000000000000e+02,8.050000000000000000e+01
6.900000000000000000e+01,1.080000000000000000e+02,8.200000000000000000e+01
6.900000000000000000e+01,1.030000000000000000e+02,8.900000000000000000e+01
6.850000000000000000e+01,1.020000000000000000e+02,9.150000000000000000e+01
6.900000000000000000e+01,9.600000000000000000e+01,8.600000000000000000e+01
6.800000000000000000e+01,1.420000000000000000e+02,7.800000000000000000e+01
6.800000000000000000e+01,1.300000000000000000e+02,9.000000000000000000e+01
6.733333333333334281e+01,1.296666666666666572e+02,1.000000000000000000e+02
6.800000000000000000e+01,1.100000000000000000e+02,9.000000000000000000e+01
6.750000000000000000e+01,1.060000000000000000e+02,8.000000000000000000e+01
6.800000000000000000e+01,3.100000000000000000e+01,4.900000000000000000e+01
6.800000000000000000e+01,3.000000000000000000e+01,5.200000000000000000e+01
6.700000000000000000e+01,1.440000000000000000e+02,7.400000000000000000e+01
6.700000000000000000e+01,1.420000000000000000e+02,7.600000000000000000e+01
6.700000000000000000e+01,1.320000000000000000e+02,9.550000000000000000e+01
6.700000000000000000e+01,1.320000000000000000e+02,1.000000000000000000e+02
6.700000000000000000e+01,1.140000000000000000e+02,8.000000000000000000e+01
6.700000000000000000e+01,1.020000000000000000e+02,6.400000000000000000e+01
6.700000000000000000e+01,1.020000000000000000e+02,8.750000000000000000e+01
