x,y,z
1.387142857142857224e+02,1.632857142857142776e+02,1.012857142857142918e+02
1.213356643356643332e+02,1.034125874125874134e+02,2.500699300699300665e+01
3.577586206896552312e+01,1.120689655172413808e+02,3.650000000000000000e+01
3.520833333333334281e+01,7.331250000000000000e+01,6.443750000000000000e+01
3.066666666666665719e+01,6.100000000000000000e+01,9.366666666666667140e+01
1.267023809523809490e+02,2.636904761904762040e+01,1.203809523809523796e+02
3.190322580645161565e+01,1.250967741935483843e+02,4.109677419354838435e+01
1.396969696969696884e+02,8.584848484848484418e+01,5.718181818181817988e+01
1.866666666666665719e+01,1.495000000000000000e+02,9.833333333333332860e+01
5.440590405904059423e+01,4.377121771217713331e+01,7.628044280442804848e+01
1.317854785478547797e+02,5.271287128712870640e+01,7.760396039603961071e+01
1.221132075471698215e+02,2.578616352201257200e+01,1.094968553459119533e+02
1.348125000000000000e+02,9.863541666666667140e+01,4.097916666666666430e+01
1.274388489208633075e+02,1.133956834532374103e+02,2.687769784172661858e+01
1.061055555555555543e+02,1.196500000000000057e+02,1.688888888888888928e+01
4.304390243902439295e+01,8.910243902439025021e+01,3.820000000000000284e+01
5.374509803921569073e+01,1.083235294117647101e+02,2.074509803921568718e+01
1.288181818181818130e+02,1.003257575757575779e+02,3.162121212121212110e+01
3.954666666666665265e+01,5.003999999999999204e+01,8.917333333333333201e+01
4.941729323308270239e+01,9.217669172932330923e+01,3.040225563909774564e+01
4.608139534883720501e+01,7.595348837209303383e+01,4.510465116279069520e+01
3.700000000000000000e+01,1.244776119402985017e+02,3.164925373134328268e+01
3.219999999999998863e+01,8.579999999999999716e+01,5.779999999999999716e+01
1.153346303501945442e+02,9.533073929961089732e+01,2.350194552529183056e+01
1.287699530516431992e+02,8.893427230046948750e+01,3.812676056338028019e+01
1.144687500000000000e+02,1.898125000000000000e+02,9.175000000000000000e+01
4.426339285714286120e+01,6.329464285714286120e+01,6.127678571428571530e+01
1.337500000000000000e+02,1.115694444444444429e+02,3.473611111111111427e+01
1.290754716981132049e+02,2.711320754716982151e+01,1.278301886792452819e+02
1.398156424581005695e+02,6.159776536312850226e+01,8.020111731843574887e+01
5.200955414012739197e+01,7.942038216560510477e+01,3.621656050955414230e+01
6.594650205761317352e+01,1.175761316872427926e+02,1.657201646090534908e+01
7.033879781420765198e+01,2.536065573770491710e+01,1.002732240437158424e+02
3.412000000000000455e+01,6.168000000000000682e+01,8.284000000000000341e+01
7.446180555555555713e+01,3.753125000000000000e+01,7.349305555555555713e+01
1.364848484848484986e+02,1.234242424242424221e+02,3.912121212121212466e+01
4.552500000000000568e+01,4.079374999999998863e+01,9.669374999999999432e+01
4.142786069651739922e+01,4.165174129353232502e+01,1.083781094527363251e+02
4.151351351351351582e+01,1.136216216216216282e+02,2.854054054054054035e+01
4.410126582278481067e+01,5.129746835443037867e+01,7.850000000000000000e+01
4.999253731343283391e+01,4.205223880597014841e+01,8.594776119402985159e+01
1.270252365930599296e+02,5.475394321766560779e+01,6.757097791798106812e+01
1.354129032258064456e+02,6.270967741935484696e+01,7.037419354838709751e+01
5.966288951841359278e+01,3.650991501416430651e+01,8.399150141643059442e+01
1.319473684210526301e+02,4.375877192982454744e+01,9.559649122807017818e+01
1.329681818181818187e+02,7.545909090909091788e+01,5.351818181818181586e+01
2.150000000000000000e+01,1.555000000000000000e+02,9.200000000000000000e+01
6.966575342465753806e+01,3.373424657534246762e+01,8.233424657534246194e+01
1.862500000000000000e+01,1.437500000000000000e+02,1.152500000000000000e+02
6.925797872340424988e+01,4.388297872340424988e+01,6.560372340425531945e+01
5.957549857549857109e+01,4.707407407407407618e+01,6.654985754985754909e+01
1.142091503267973849e+02,2.266666666666665719e+01,1.071437908496732092e+02
3.569999999999998863e+01,5.075000000000000000e+01,1.013499999999999943e+02
7.667680608365019168e+01,1.847528517110265511e+01,1.070874524714828908e+02
1.199230769230769198e+02,7.056508875739643827e+01,4.267751479289940875e+01
5.560264900662251364e+01,9.589403973509934076e+01,2.439072847682119161e+01
3.931132075471697362e+01,6.133962264150943611e+01,7.108490566037735903e+01
3.716666666666665719e+01,8.669047619047618980e+01,4.857142857142856940e+01
1.274207920792079278e+02,7.792079207920792783e+01,4.508415841584158557e+01
4.239285714285713880e+01,1.014365079365079367e+02,3.326190476190475920e+01
5.425773195876288924e+01,5.613402061855668990e+01,5.912714776632302716e+01
4.977165354330708169e+01,6.599212598425197029e+01,5.168110236220472586e+01
6.313304721030043254e+01,8.884978540772532085e+01,2.291416309012875629e+01
6.449497487437186294e+01,3.989949748743717350e+01,7.404020100502512491e+01
1.251979865771812115e+02,6.718120805369127879e+01,5.123825503355704569e+01
6.404347826086956275e+01,5.119999999999998863e+01,5.784057971014492949e+01
1.235621621621621671e+02,3.614054054054054177e+01,9.303783783783784145e+01
4.034013605442177663e+01,7.419047619047620401e+01,5.457142857142856940e+01
5.946355685131194946e+01,5.940524781341107996e+01,5.031486880466472655e+01
1.391694915254237230e+02,5.233898305084744607e+01,9.967796610169492055e+01
1.088275862068965552e+02,9.929885057471264531e+01,1.898850574712643535e+01
4.848305084745763338e+01,1.042542372881355988e+02,2.638983050847457790e+01
4.898214285714286120e+01,5.321428571428572241e+01,6.817857142857143060e+01
5.754029850746267982e+01,8.395223880597015409e+01,2.923582089552238727e+01
7.538688524590163809e+01,2.863606557377048034e+01,9.039344262295081478e+01
1.096639344262295026e+02,3.540163934426229275e+01,8.105464480874316280e+01
1.214370629370629331e+02,8.136713286713288085e+01,3.581818181818182012e+01
7.976351351351351582e+01,2.430743243243242091e+01,9.822635135135135442e+01
1.433437500000000000e+02,6.200000000000000000e+01,9.225000000000000000e+01
3.300000000000000000e+01,5.300000000000000000e+01,1.130000000000000000e+02
1.343157894736842195e+02,8.718713450292398193e+01,4.688304093567251130e+01
5.540076335877863301e+01,3.542748091603053240e+01,9.389694656488549640e+01
7.985185185185184764e+01,3.204526748971193228e+01,8.113580246913579685e+01
6.632091690544412188e+01,1.762464183381089811e+01,1.209756446991404033e+02
1.406666666666666572e+02,9.833333333333332860e+01,5.100000000000000000e+01
2.788888888888888573e+01,1.705555555555555429e+02,9.504444444444445139e+01
8.423795180722891018e+01,3.739457831325302095e+01,7.231927710843373802e+01
6.075308641975308888e+01,1.002839506172839492e+02,1.908641975308642103e+01
1.222314285714285802e+02,5.759428571428571786e+01,5.826857142857142691e+01
1.377766990291262061e+02,7.447572815533979451e+01,6.283495145631067658e+01
1.098673469387755119e+02,2.761904761904762040e+01,9.878231292517007489e+01
7.945147679324894341e+01,4.255274261603375408e+01,6.466666666666667140e+01
6.913333333333333997e+01,5.551200000000000045e+01,4.920000000000000284e+01
1.186666666666666572e+02,4.956047197640117474e+01,6.597640117994100706e+01
6.060389610389610482e+01,2.862987012987014168e+01,1.018311688311688243e+02
4.577922077922077904e+01,1.174675324675324646e+02,2.341558441558441572e+01
1.073881118881118937e+02,5.661538461538461320e+01,4.875874125874126008e+01
1.296363636363636260e+02,1.746060606060606233e+02,1.165757575757575779e+02
1.305873786407767057e+02,6.470873786407767625e+01,6.049029126213591923e+01
6.457073170731707989e+01,6.382926829268294000e+01,4.205365853658536679e+01
1.506758620689655288e+02,7.768275862068966831e+01,1.097793103448275929e+02
7.944400000000000261e+01,5.378800000000001091e+01,4.929599999999999937e+01
1.359898648648648702e+02,5.152364864864864558e+01,8.804729729729729115e+01
1.222037037037036953e+02,9.191975308641974607e+01,2.969444444444444287e+01
6.519804400977994874e+01,3.093887530562346910e+01,9.202689486552567644e+01
1.087147058823529449e+02,3.949117647058824332e+01,7.243529411764706083e+01
1.349075144508670405e+02,1.664624277456647405e+02,1.168439306358381486e+02
2.374683544303798044e+01,1.538354430379746987e+02,1.219367088607594951e+02
5.518098159509202105e+01,6.917484662576686105e+01,4.313803680981595079e+01
2.550000000000000000e+01,7.097142857142856087e+01,1.319571428571428555e+02
1.135608974358974308e+02,3.227884615384616041e+01,9.014423076923077360e+01
1.337358490566037688e+02,1.692169811320754889e+02,1.092641509433962312e+02
5.012121212121212466e+01,3.384848484848484418e+01,1.077272727272727337e+02
