x,y,z
6.290401785714286120e+01,1.410491071428572241e+01,1.301852678571428612e+02
1.187859154929577414e+02,7.418873239436619826e+01,4.098591549295774428e+01
3.379331941544884899e+01,3.369519832985386643e+01,1.051670146137787043e+02
7.722580645161289681e+01,8.594470046082960835e+00,1.260645161290322562e+02
8.144545454545455243e+01,7.756818181818175617e+00,1.139363636363636374e+02
7.744158878504673282e+01,1.000467289719625796e+01,9.367289719626168676e+01
1.315753768844220986e+02,7.602010050251256246e+01,6.882160804020099931e+01
4.941333333333332689e+01,2.469111111111111256e+01,6.867111111111111654e+01
4.552097130242825074e+01,3.313024282560706979e+01,4.964679911699779069e+01
1.241424731182795682e+02,6.674731182795699169e+01,4.935752688172043179e+01
1.005203619909502208e+02,1.024434389140270696e+01,1.484479638009049722e+02
5.785776805251640553e+01,1.562144420131289735e+01,1.086455142231947519e+02
1.326887755102040956e+02,6.384693877551021046e+01,6.772193877551021046e+01
1.357219251336898367e+02,5.659090909090909349e+01,7.683422459893047574e+01
1.446060606060605949e+02,6.441873278236914757e+01,1.181322314049586737e+02
1.433039513677811669e+02,4.742857142857143060e+01,1.263161094224924028e+02
8.140585774058577329e+01,1.008786610878661349e+01,1.462426778242677869e+02
2.202409638554217963e+01,4.873493975903613773e+01,1.101686746987951864e+02
1.413468354430379748e+02,6.613417721518987946e+01,9.720000000000000284e+01
1.410245901639344197e+02,5.477322404371584241e+01,9.657377049180327333e+01
4.377281947261663220e+01,2.645030425963489051e+01,8.024137931034482563e+01
1.436140350877192873e+02,6.852631578947368496e+01,1.465087719298245474e+02
1.338963963963963977e+02,8.729504504504504325e+01,9.014189189189188767e+01
8.961016949152542566e+01,1.028813559322034621e+01,1.511610169491525539e+02
9.706000000000000227e+01,9.150000000000005684e+00,1.000425000000000040e+02
1.438735632183908137e+02,5.337356321839079953e+01,1.167011494252873547e+02
7.974418604651162923e+01,2.007235142118862825e+01,5.333850129198966528e+01
8.958530805687203724e+01,9.680094786729853240e+00,9.124170616113744359e+01
8.130712530712530395e+01,1.164373464373463207e+01,8.235380835380834696e+01
9.363374485596708041e+01,8.543209876543215842e+00,1.426296296296296191e+02
1.333564814814814667e+02,8.172916666666665719e+01,7.904861111111111427e+01
5.731476323119777305e+01,2.074930362116991489e+01,1.436796657381615603e+02
3.821782178217821979e+01,2.971485148514851460e+01,9.278613861386138240e+01
3.441532258064516725e+01,3.578629032258064058e+01,7.252217741935483275e+01
1.284805194805194901e+02,7.100000000000000000e+01,5.886493506493506800e+01
1.156891191709844549e+02,8.678238341968912550e+01,4.243523316062176320e+01
1.427455357142857224e+02,7.574553571428570820e+01,1.401830357142857224e+02
9.347277227722771897e+01,7.646039603960389286e+00,1.112227722772277190e+02
1.113306010928961740e+02,8.304371584699453024e+01,3.335519125683060082e+01
1.360665024630541780e+02,6.831034482758620641e+01,7.764778325123153024e+01
1.009800498753117211e+02,8.219451371571068421e+00,1.203940149625935163e+02
1.361270207852194005e+02,9.169284064665126266e+01,1.232817551963048430e+02
1.159127659574468083e+02,1.107489361702127724e+02,8.567446808510638334e+01
1.270419580419580399e+02,8.995104895104896059e+01,7.074592074592074198e+01
1.081682692307692264e+02,1.002163461538461604e+02,4.475961538461538680e+01
8.613471502590672912e+01,7.554404145077711519e+00,1.347953367875647643e+02
1.450817438692098165e+02,5.731062670299726847e+01,1.272942779291553137e+02
7.315000000000000568e+01,2.945749999999999602e+01,3.508500000000000085e+01
4.025159914712153864e+01,3.343283582089551942e+01,6.074413646055437255e+01
1.008596491228070136e+02,1.238997493734335791e+02,9.043358395989974952e+01
9.001604278074866272e+01,7.064171122994650887e+00,1.226256684491978604e+02
4.285458167330676815e+01,2.570318725099600954e+01,1.133187250996015933e+02
5.442699115044247549e+01,2.485619469026548245e+01,5.765265486725663635e+01
5.358558558558559071e+01,1.914414414414414978e+01,8.826576576576576372e+01
7.236641221374046040e+01,1.137404580152670519e+01,1.390178117048345996e+02
5.296894409937888781e+01,1.879296066252588560e+01,1.216211180124223574e+02
1.380864197530864317e+02,7.336790123456789559e+01,8.810123456790122987e+01
1.360833333333333428e+02,8.933333333333334281e+01,1.439166666666666572e+02
2.467264573991030829e+01,4.439013452914798563e+01,9.769955156950672404e+01
1.255847826086956616e+02,1.020673913043478365e+02,9.319347826086956843e+01
1.424824355971896921e+02,7.732318501170959735e+01,1.199227166276346566e+02
1.113333333333333428e+02,6.333333333333332860e+01,3.233333333333333570e+01
1.446455696202531556e+02,7.026265822784810666e+01,1.293639240506329031e+02
1.391915422885572298e+02,6.098756218905472792e+01,8.685323383084576676e+01
1.434439024390243844e+02,5.940243902439024737e+01,1.070780487804878049e+02
6.810287081339713211e+01,2.059090909090909349e+01,5.495454545454545325e+01
9.776111111111111995e+01,7.619444444444440023e+00,1.317611111111111200e+02
1.056457286432160743e+02,9.529648241206029979e+01,3.516582914572864382e+01
5.871612903225806690e+01,1.808817204301075776e+01,7.658494623655913358e+01
9.285263157894736707e+01,1.245526315789473415e+01,8.046052631578947967e+01
5.912585812356979886e+01,2.652173913043478137e+01,4.696338672768878553e+01
6.754255319148936110e+01,1.125531914893616658e+01,1.174617021276595779e+02
1.256745843230403779e+02,8.414964370546317696e+01,6.041330166270783764e+01
9.428799999999999670e+01,4.175600000000000023e+01,2.732400000000000162e+01
5.002992518703241842e+01,3.496508728179550474e+01,3.935660847880298974e+01
6.378703703703703809e+01,1.869907407407407618e+01,6.551620370370370949e+01
1.083752860411899235e+02,1.065080091533180848e+02,5.541647597254004864e+01
1.385791855203619889e+02,8.550678733031674028e+01,1.108687782805429833e+02
6.813832199546484958e+01,1.349886621315192770e+01,8.487981859410430729e+01
