x,y,z
7.600000000000000000e+01,5.200000000000000000e+01,1.700000000000000000e+01
9.600000000000000000e+01,5.200000000000000000e+01,2.300000000000000000e+01
9.000000000000000000e+01,4.700000000000000000e+01,2.300000000000000000e+01
1.050000000000000000e+02,3.500000000000000000e+01,4.400000000000000000e+01
1.390000000000000000e+02,4.300000000000000000e+01,1.490000000000000000e+02
8.900000000000000000e+01,7.600000000000000000e+01,1.600000000000000000e+01
6.400000000000000000e+01,5.200000000000000000e+01,1.800000000000000000e+01
1.040000000000000000e+02,6.000000000000000000e+01,2.600000000000000000e+01
8.800000000000000000e+01,8.700000000000000000e+01,1.800000000000000000e+01
5.300000000000000000e+01,5.200000000000000000e+01,2.100000000000000000e+01
9.700000000000000000e+01,6.800000000000000000e+01,1.900000000000000000e+01
7.400000000000000000e+01,4.300000000000000000e+01,2.100000000000000000e+01
1.110000000000000000e+02,6.200000000000000000e+01,3.300000000000000000e+01
1.430000000000000000e+02,6.100000000000000000e+01,1.510000000000000000e+02
9.700000000000000000e+01,7.800000000000000000e+01,2.000000000000000000e+01
6.400000000000000000e+01,4.300000000000000000e+01,2.200000000000000000e+01
9.300000000000000000e+01,9.000000000000000000e+01,2.200000000000000000e+01
5.200000000000000000e+01,4.600000000000000000e+01,2.500000000000000000e+01
4.000000000000000000e+01,4.600000000000000000e+01,3.400000000000000000e+01
1.300000000000000000e+02,9.700000000000000000e+01,1.390000000000000000e+02
1.350000000000000000e+02,8.900000000000000000e+01,1.430000000000000000e+02
2.200000000000000000e+01,5.000000000000000000e+01,7.800000000000000000e+01
1.600000000000000000e+01,5.900000000000000000e+01,9.300000000000000000e+01
