x,y,z
1.210000000000000000e+02,1.100000000000000000e+02,1.280000000000000000e+02
1.200000000000000000e+02,1.120000000000000000e+02,1.170000000000000000e+02
1.070000000000000000e+02,1.220000000000000000e+02,1.270000000000000000e+02
1.060000000000000000e+02,1.140000000000000000e+02,6.700000000000000000e+01
9.700000000000000000e+01,1.260000000000000000e+02,9.200000000000000000e+01
5.300000000000000000e+01,2.500000000000000000e+01,1.450000000000000000e+02
4.100000000000000000e+01,3.800000000000000000e+01,1.480000000000000000e+02
3.100000000000000000e+01,4.200000000000000000e+01,1.340000000000000000e+02
2.800000000000000000e+01,4.100000000000000000e+01,1.070000000000000000e+02
2.700000000000000000e+01,4.400000000000000000e+01,1.200000000000000000e+02
2.500000000000000000e+01,5.200000000000000000e+01,1.360000000000000000e+02
2.400000000000000000e+01,4.600000000000000000e+01,9.800000000000000000e+01
2.200000000000000000e+01,5.300000000000000000e+01,1.250000000000000000e+02
