x,y,z
5.420000000000000000e+02,3.500000000000000000e+02,5.800000000000000000e+02
5.400000000000000000e+02,3.510000000000000000e+02,5.880000000000000000e+02
5.450000000000000000e+02,3.430000000000000000e+02,5.790000000000000000e+02
5.430000000000000000e+02,3.430000000000000000e+02,5.870000000000000000e+02
5.460000000000000000e+02,3.350000000000000000e+02,5.850000000000000000e+02
5.510000000000000000e+02,3.230000000000000000e+02,5.760000000000000000e+02
5.500000000000000000e+02,3.250000000000000000e+02,5.840000000000000000e+02
5.480000000000000000e+02,3.270000000000000000e+02,5.920000000000000000e+02
5.530000000000000000e+02,3.140000000000000000e+02,5.750000000000000000e+02
5.520000000000000000e+02,3.150000000000000000e+02,5.830000000000000000e+02
5.510000000000000000e+02,3.180000000000000000e+02,5.910000000000000000e+02
5.540000000000000000e+02,3.070000000000000000e+02,5.810000000000000000e+02
5.540000000000000000e+02,3.090000000000000000e+02,5.900000000000000000e+02
5.530000000000000000e+02,3.110000000000000000e+02,5.970000000000000000e+02
5.540000000000000000e+02,2.970000000000000000e+02,5.810000000000000000e+02
5.540000000000000000e+02,3.000000000000000000e+02,5.890000000000000000e+02
5.540000000000000000e+02,3.030000000000000000e+02,5.970000000000000000e+02
5.530000000000000000e+02,3.040000000000000000e+02,6.040000000000000000e+02
5.570000000000000000e+02,2.890000000000000000e+02,5.800000000000000000e+02
5.550000000000000000e+02,2.920000000000000000e+02,5.880000000000000000e+02
5.550000000000000000e+02,2.930000000000000000e+02,5.960000000000000000e+02
5.540000000000000000e+02,2.960000000000000000e+02,6.040000000000000000e+02
5.570000000000000000e+02,2.760000000000000000e+02,5.710000000000000000e+02
5.570000000000000000e+02,2.800000000000000000e+02,5.780000000000000000e+02
5.560000000000000000e+02,2.810000000000000000e+02,5.870000000000000000e+02
5.560000000000000000e+02,2.840000000000000000e+02,5.950000000000000000e+02
5.550000000000000000e+02,2.860000000000000000e+02,6.030000000000000000e+02
5.570000000000000000e+02,2.700000000000000000e+02,5.790000000000000000e+02
5.570000000000000000e+02,2.730000000000000000e+02,5.870000000000000000e+02
5.560000000000000000e+02,2.760000000000000000e+02,5.950000000000000000e+02
5.560000000000000000e+02,2.780000000000000000e+02,6.020000000000000000e+02
5.570000000000000000e+02,2.600000000000000000e+02,5.780000000000000000e+02
5.570000000000000000e+02,2.630000000000000000e+02,5.850000000000000000e+02
5.560000000000000000e+02,2.660000000000000000e+02,5.930000000000000000e+02
5.560000000000000000e+02,2.680000000000000000e+02,6.010000000000000000e+02
5.570000000000000000e+02,2.500000000000000000e+02,5.770000000000000000e+02
5.570000000000000000e+02,2.530000000000000000e+02,5.850000000000000000e+02
5.550000000000000000e+02,2.560000000000000000e+02,5.930000000000000000e+02
5.560000000000000000e+02,2.590000000000000000e+02,6.010000000000000000e+02
5.540000000000000000e+02,2.390000000000000000e+02,5.760000000000000000e+02
5.540000000000000000e+02,2.430000000000000000e+02,5.850000000000000000e+02
5.540000000000000000e+02,2.460000000000000000e+02,5.920000000000000000e+02
5.540000000000000000e+02,2.490000000000000000e+02,6.010000000000000000e+02
5.530000000000000000e+02,2.300000000000000000e+02,5.770000000000000000e+02
5.530000000000000000e+02,2.330000000000000000e+02,5.840000000000000000e+02
5.530000000000000000e+02,2.360000000000000000e+02,5.910000000000000000e+02
5.530000000000000000e+02,2.400000000000000000e+02,5.990000000000000000e+02
5.500000000000000000e+02,2.240000000000000000e+02,5.840000000000000000e+02
5.510000000000000000e+02,2.280000000000000000e+02,5.920000000000000000e+02
5.520000000000000000e+02,2.310000000000000000e+02,5.990000000000000000e+02
5.480000000000000000e+02,2.150000000000000000e+02,5.840000000000000000e+02
5.490000000000000000e+02,2.170000000000000000e+02,5.920000000000000000e+02
5.490000000000000000e+02,2.210000000000000000e+02,5.980000000000000000e+02
5.450000000000000000e+02,2.090000000000000000e+02,5.920000000000000000e+02
5.470000000000000000e+02,2.120000000000000000e+02,5.980000000000000000e+02
5.420000000000000000e+02,2.000000000000000000e+02,5.910000000000000000e+02
5.420000000000000000e+02,2.030000000000000000e+02,5.990000000000000000e+02
5.380000000000000000e+02,1.880000000000000000e+02,5.840000000000000000e+02
5.390000000000000000e+02,1.920000000000000000e+02,5.910000000000000000e+02
5.390000000000000000e+02,1.940000000000000000e+02,5.990000000000000000e+02
5.350000000000000000e+02,1.830000000000000000e+02,5.920000000000000000e+02
5.360000000000000000e+02,1.860000000000000000e+02,6.000000000000000000e+02
5.330000000000000000e+02,1.770000000000000000e+02,5.980000000000000000e+02
