x,y,z
5.420000000000000000e+02,3.500000000000000000e+02,5.800000000000000000e+02
5.400000000000000000e+02,3.510000000000000000e+02,5.880000000000000000e+02
5.450000000000000000e+02,3.430000000000000000e+02,5.790000000000000000e+02
5.430000000000000000e+02,3.430000000000000000e+02,5.870000000000000000e+02
5.460000000000000000e+02,3.350000000000000000e+02,5.850000000000000000e+02
5.500000000000000000e+02,3.250000000000000000e+02,5.840000000000000000e+02
5.480000000000000000e+02,3.270000000000000000e+02,5.920000000000000000e+02
5.520000000000000000e+02,3.150000000000000000e+02,5.830000000000000000e+02
5.510000000000000000e+02,3.180000000000000000e+02,5.910000000000000000e+02
5.540000000000000000e+02,3.070000000000000000e+02,5.810000000000000000e+02
5.530000000000000000e+02,3.110000000000000000e+02,5.970000000000000000e+02
5.540000000000000000e+02,3.030000000000000000e+02,5.970000000000000000e+02
5.530000000000000000e+02,3.040000000000000000e+02,6.040000000000000000e+02
5.540000000000000000e+02,2.960000000000000000e+02,6.040000000000000000e+02
5.570000000000000000e+02,2.760000000000000000e+02,5.710000000000000000e+02
5.550000000000000000e+02,2.860000000000000000e+02,6.030000000000000000e+02
5.560000000000000000e+02,2.680000000000000000e+02,6.010000000000000000e+02
5.560000000000000000e+02,2.590000000000000000e+02,6.010000000000000000e+02
5.540000000000000000e+02,2.430000000000000000e+02,5.850000000000000000e+02
5.540000000000000000e+02,2.460000000000000000e+02,5.920000000000000000e+02
5.540000000000000000e+02,2.490000000000000000e+02,6.010000000000000000e+02
5.530000000000000000e+02,2.330000000000000000e+02,5.840000000000000000e+02
5.530000000000000000e+02,2.360000000000000000e+02,5.910000000000000000e+02
5.530000000000000000e+02,2.400000000000000000e+02,5.990000000000000000e+02
5.500000000000000000e+02,2.240000000000000000e+02,5.840000000000000000e+02
5.510000000000000000e+02,2.280000000000000000e+02,5.920000000000000000e+02
5.520000000000000000e+02,2.310000000000000000e+02,5.990000000000000000e+02
5.480000000000000000e+02,2.150000000000000000e+02,5.840000000000000000e+02
5.490000000000000000e+02,2.170000000000000000e+02,5.920000000000000000e+02
5.490000000000000000e+02,2.210000000000000000e+02,5.980000000000000000e+02
5.430000000000000000e+02,1.980000000000000000e+02,5.690000000000000000e+02
5.450000000000000000e+02,2.020000000000000000e+02,5.760000000000000000e+02
5.450000000000000000e+02,2.050000000000000000e+02,5.840000000000000000e+02
5.450000000000000000e+02,2.090000000000000000e+02,5.920000000000000000e+02
5.470000000000000000e+02,2.120000000000000000e+02,5.980000000000000000e+02
5.410000000000000000e+02,1.900000000000000000e+02,5.690000000000000000e+02
5.420000000000000000e+02,1.920000000000000000e+02,5.760000000000000000e+02
5.420000000000000000e+02,1.960000000000000000e+02,5.840000000000000000e+02
5.420000000000000000e+02,2.000000000000000000e+02,5.910000000000000000e+02
5.420000000000000000e+02,2.030000000000000000e+02,5.990000000000000000e+02
5.380000000000000000e+02,1.840000000000000000e+02,5.760000000000000000e+02
5.380000000000000000e+02,1.880000000000000000e+02,5.840000000000000000e+02
5.390000000000000000e+02,1.920000000000000000e+02,5.910000000000000000e+02
5.390000000000000000e+02,1.940000000000000000e+02,5.990000000000000000e+02
5.320000000000000000e+02,1.710000000000000000e+02,5.690000000000000000e+02
5.340000000000000000e+02,1.750000000000000000e+02,5.770000000000000000e+02
5.340000000000000000e+02,1.790000000000000000e+02,5.850000000000000000e+02
5.350000000000000000e+02,1.830000000000000000e+02,5.920000000000000000e+02
5.360000000000000000e+02,1.860000000000000000e+02,6.000000000000000000e+02
5.280000000000000000e+02,1.670000000000000000e+02,5.760000000000000000e+02
5.290000000000000000e+02,1.710000000000000000e+02,5.840000000000000000e+02
5.310000000000000000e+02,1.730000000000000000e+02,5.920000000000000000e+02
5.330000000000000000e+02,1.770000000000000000e+02,5.980000000000000000e+02
5.250000000000000000e+02,1.610000000000000000e+02,5.840000000000000000e+02
5.260000000000000000e+02,1.650000000000000000e+02,5.910000000000000000e+02
5.280000000000000000e+02,1.690000000000000000e+02,6.010000000000000000e+02
5.210000000000000000e+02,1.570000000000000000e+02,5.930000000000000000e+02
5.220000000000000000e+02,1.610000000000000000e+02,6.000000000000000000e+02
5.100000000000000000e+02,1.380000000000000000e+02,5.700000000000000000e+02
5.170000000000000000e+02,1.540000000000000000e+02,6.000000000000000000e+02
5.090000000000000000e+02,1.410000000000000000e+02,5.930000000000000000e+02
5.100000000000000000e+02,1.450000000000000000e+02,6.010000000000000000e+02
5.010000000000000000e+02,1.310000000000000000e+02,5.860000000000000000e+02
5.030000000000000000e+02,1.350000000000000000e+02,5.940000000000000000e+02
5.050000000000000000e+02,1.370000000000000000e+02,6.010000000000000000e+02
4.980000000000000000e+02,1.320000000000000000e+02,6.010000000000000000e+02
4.910000000000000000e+02,1.240000000000000000e+02,6.010000000000000000e+02
3.710000000000000000e+02,6.200000000000000000e+01,6.060000000000000000e+02
2.790000000000000000e+02,5.400000000000000000e+01,5.810000000000000000e+02
2.800000000000000000e+02,5.700000000000000000e+01,5.950000000000000000e+02
2.710000000000000000e+02,5.900000000000000000e+01,5.970000000000000000e+02
2.780000000000000000e+02,6.100000000000000000e+01,6.040000000000000000e+02
2.700000000000000000e+02,6.200000000000000000e+01,6.050000000000000000e+02
2.600000000000000000e+02,6.500000000000000000e+01,6.070000000000000000e+02
