x,y,z
4.126666666666666856e+02,7.150000000000000000e+01,4.423333333333333144e+02
4.360000000000000000e+02,1.055517241379310462e+02,3.559655172413793025e+02
3.428999999999999773e+02,8.766666666666668561e+01,3.506000000000000227e+02
1.843541666666666288e+02,1.168750000000000000e+02,6.102083333333333712e+02
1.440769230769230944e+02,1.300769230769230944e+02,3.914615384615384528e+02
2.091999999999999886e+02,9.580000000000001137e+01,6.040000000000000000e+02
1.991111111111110858e+02,1.044444444444444571e+02,6.233888888888889142e+02
1.130909090909091219e+02,1.551818181818181870e+02,3.999090909090909349e+02
4.240357142857142776e+02,7.632142857142855519e+01,4.415357142857142776e+02
5.805702479338842750e+02,3.379752066115702291e+02,3.621157024793388359e+02
5.785384615384615472e+02,2.593846153846153584e+02,3.811538461538461320e+02
2.028846153846153584e+02,1.043846153846153584e+02,6.061923076923077360e+02
1.958571428571428328e+02,1.120000000000000000e+02,6.099428571428571786e+02
1.242222222222221717e+02,1.472222222222222285e+02,3.923333333333333144e+02
5.460000000000000000e+02,1.853333333333333144e+02,3.826666666666666856e+02
5.809230769230769056e+02,3.728461538461538112e+02,3.645384615384615472e+02
3.303999999999999773e+02,8.339999999999997726e+01,3.523999999999999773e+02
1.879259259259259238e+02,1.109629629629629903e+02,6.270740740740740193e+02
5.744375000000000000e+02,3.433125000000000000e+02,3.443125000000000000e+02
4.670000000000000000e+02,9.800000000000000000e+01,4.350000000000000000e+02
1.799565217391303804e+02,1.136521739130434980e+02,5.816086956521738784e+02
5.651499999999999773e+02,2.196999999999999886e+02,3.818750000000000000e+02
2.392325581395348877e+02,6.906976744186044925e+01,5.703720930232558430e+02
5.195142857142857338e+02,2.213714285714285666e+02,2.611142857142856997e+02
5.809692307692307622e+02,3.110076923076923094e+02,3.584769230769230717e+02
6.068799999999999955e+02,4.295466666666666242e+02,5.378933333333333167e+02
5.795175438596490949e+02,3.001228070175438347e+02,3.564561403508772059e+02
5.690249999999999773e+02,3.247749999999999773e+02,3.285249999999999773e+02
5.210000000000000000e+02,4.605799999999999841e+02,1.782199999999999989e+02
5.670517241379310462e+02,3.175172413793103487e+02,3.281551724137930819e+02
5.764418604651162923e+02,3.266279069767441570e+02,3.480000000000000000e+02
5.961463414634146147e+02,2.422195121951219789e+02,4.714390243902439011e+02
4.000000000000000000e+02,1.207500000000000000e+02,2.708750000000000000e+02
5.261315789473684390e+02,3.473771929824561084e+02,1.496491228070175339e+02
6.016025641025640880e+02,4.434102564102564088e+02,5.393076923076922640e+02
3.790000000000000000e+02,9.150000000000000000e+01,3.445000000000000000e+02
7.033333333333337123e+01,2.140000000000000000e+02,4.106666666666666856e+02
5.802076923076923549e+02,3.229384615384615245e+02,3.593692307692307963e+02
5.512352941176470722e+02,1.656176470588235361e+02,4.422205882352941444e+02
1.963695652173913118e+02,1.082826086956521863e+02,5.951956521739130039e+02
5.657826086956522431e+02,3.054347826086956275e+02,3.248695652173913118e+02
3.682777777777777715e+02,8.772222222222222854e+01,3.482777777777777715e+02
3.046428571428571672e+02,8.057142857142855519e+01,3.771428571428571672e+02
5.222959183673469852e+02,3.366428571428571104e+02,1.488265306122449090e+02
5.885833333333333712e+02,4.108333333333333712e+02,3.925000000000000000e+02
2.520000000000000000e+02,7.900000000000000000e+01,4.400000000000000000e+02
2.268333333333333144e+02,1.001666666666666856e+02,3.333333333333333144e+02
5.758333333333333712e+02,2.445000000000000000e+02,3.828333333333333144e+02
5.716792452830188722e+02,3.337547169811321055e+02,3.283396226415094361e+02
5.704851485148515167e+02,2.605247524752475101e+02,3.530099009900990268e+02
4.770000000000000000e+02,1.286666666666666856e+02,3.523333333333333144e+02
2.045000000000000000e+02,1.003333333333333144e+02,5.911666666666666288e+02
2.200000000000000000e+02,7.600000000000000000e+01,5.730000000000000000e+02
4.710000000000000000e+02,1.040000000000000000e+02,4.160000000000000000e+02
3.120909090909090651e+02,8.118181818181818699e+01,3.749090909090909349e+02
4.826000000000000227e+02,1.161999999999999886e+02,3.994666666666666401e+02
6.048270676691729477e+02,3.190075187969924855e+02,4.781353383458646817e+02
4.471250000000000000e+02,1.090000000000000000e+02,3.540000000000000000e+02
2.294622641509433834e+02,7.153773584905661664e+01,5.728113207547170305e+02
3.917333333333333485e+02,9.433333333333331439e+01,3.440000000000000000e+02
2.133230769230769397e+02,8.032307692307693969e+01,5.726153846153846416e+02
6.136629213483146259e+02,4.243707865168539684e+02,5.528764044943819727e+02
4.987164179104477739e+02,1.894925373134328197e+02,2.661940298507462899e+02
4.690769230769230944e+02,1.233461538461538680e+02,3.504230769230769056e+02
1.712857142857143344e+02,1.204285714285714448e+02,6.110000000000000000e+02
1.683999999999999773e+02,1.131999999999999886e+02,5.715000000000000000e+02
1.658235294117647527e+02,1.185294117647058556e+02,5.855294117647058556e+02
1.480000000000000000e+02,1.230000000000000000e+02,5.740000000000000000e+02
1.491428571428571104e+02,1.189285714285714448e+02,5.444285714285714448e+02
1.656666666666666288e+02,1.100000000000000000e+02,5.546666666666666288e+02
1.660000000000000000e+02,1.070000000000000000e+02,5.390000000000000000e+02
1.406666666666666288e+02,1.253333333333333144e+02,5.460000000000000000e+02
2.501572965838408891e+02,6.308353107776872548e+01,5.668107705006761989e+02
2.220000000000000000e+02,7.580769230769232081e+01,5.599230769230769056e+02
2.363333333333333144e+02,7.350000000000000000e+01,5.576666666666666288e+02
2.145970149253731165e+02,7.961194029850747711e+01,5.607910447761194064e+02
2.076923076923076792e+02,8.130769230769232081e+01,5.474615384615384528e+02
2.426666666666666856e+02,6.933333333333331439e+01,5.530000000000000000e+02
2.379767441860465169e+02,7.109302325581393234e+01,5.407209302325580893e+02
2.171499999999999773e+02,7.810000000000002274e+01,5.447999999999999545e+02
2.484166666666666856e+02,6.733333333333331439e+01,5.365833333333333712e+02
2.148333333333333144e+02,8.016666666666668561e+01,5.310000000000000000e+02
2.294166666666666856e+02,7.383333333333331439e+01,5.427500000000000000e+02
2.242857142857142776e+02,7.528571428571427759e+01,5.302857142857143344e+02
2.457500000000000000e+02,7.075000000000000000e+01,5.217500000000000000e+02
