x,y,z
1.681333333333333258e+02,1.107166666666666401e+02,4.724833333333333485e+02
6.089877300613496800e+02,4.706748466257668611e+02,6.431349693251534063e+02
6.201064638783269629e+02,4.520418250950570496e+02,6.431064638783269629e+02
2.735087719298245474e+02,8.603508771929824661e+01,3.652456140350877263e+02
3.889034749034748870e+02,6.591891891891890509e+01,4.463436293436293454e+02
2.590217391304348098e+02,8.306521739130437254e+01,3.818260869565217490e+02
2.528113207547169736e+02,7.986792452830189859e+01,4.196226415094339472e+02
3.000489130434782510e+02,9.234782608695650197e+01,3.245000000000000000e+02
1.731896551724138362e+02,1.118103448275862206e+02,3.798275862068965694e+02
2.690048076923076792e+02,8.177884615384613198e+01,3.830432692307692264e+02
2.613999999999999773e+02,6.519999999999998863e+01,7.845000000000000000e+02
1.843286852589641285e+02,1.169840637450199097e+02,6.102430278884462496e+02
3.989311475409836021e+02,6.634754098360656371e+01,4.449836065573770725e+02
3.239462102689486755e+02,8.002933985330071209e+01,3.719242053789731131e+02
3.287210300429184713e+02,4.826609442060089350e+01,5.359527896995708716e+02
3.887797927461139693e+02,8.804404145077722887e+01,3.609430051813471323e+02
2.982083333333333144e+02,8.941071428571427759e+01,3.418869047619047592e+02
2.894478260869565247e+02,9.231739130434783647e+01,3.256608695652174106e+02
2.430000000000000000e+02,7.200000000000000000e+01,7.580000000000000000e+02
1.992086330935251794e+02,1.022494004796163267e+02,5.801342925659472485e+02
4.363021276595744666e+02,1.050276595744680890e+02,3.558382978723404335e+02
3.165084175084174944e+02,8.073400673400675487e+01,3.598383838383838338e+02
4.131196581196581405e+02,7.094017094017095815e+01,4.419081196581196309e+02
2.412765957446808329e+02,7.257446808510638903e+01,7.670638297872339990e+02
3.048666666666666742e+02,9.473333333333334849e+01,3.041333333333333258e+02
3.427609756097560876e+02,8.710243902439026442e+01,3.500975609756097811e+02
2.382256097560975832e+02,9.767073170731708842e+01,3.340914634146341200e+02
3.800670391061452733e+02,9.830726256983240319e+01,3.272234636871508542e+02
1.955031055900620913e+02,1.115507246376811850e+02,6.098074534161490874e+02
2.883695652173913118e+02,8.050000000000000000e+01,3.787260869565217263e+02
2.690277777777777715e+02,6.333333333333337123e+01,7.829722222222221717e+02
2.814337349397590629e+02,8.331927710843370960e+01,3.620301204819277245e+02
2.782178217821781914e+02,8.123762376237624494e+01,3.844504950495049229e+02
1.509791122715404299e+02,1.235535248041775276e+02,3.881618798955613556e+02
4.447263843648208876e+02,9.681107491856676006e+01,3.890293159609120721e+02
1.589014084507042526e+02,1.155492957746478737e+02,4.768239436619718390e+02
1.435446153846154402e+02,1.295230769230769283e+02,3.910430769230769101e+02
3.112500000000000000e+02,5.875000000000000000e+01,8.142500000000000000e+02
4.262453987730061158e+02,9.981595092024537053e+01,3.566134969325153179e+02
2.028823529411764639e+02,1.042085561497326012e+02,6.063395721925134012e+02
4.011246458923512819e+02,9.054107648725209856e+01,3.587620396600566437e+02
4.532412698412698546e+02,1.011428571428571672e+02,3.871968253968253748e+02
1.632076923076923549e+02,1.179730769230769170e+02,3.817384615384615358e+02
6.140069686411150087e+02,4.616829268292682968e+02,6.417526132404180998e+02
4.116135831381732828e+02,9.468384074941451445e+01,3.570023419203747039e+02
1.445555555555555429e+02,1.256666666666666856e+02,5.135555555555555429e+02
2.878210526315789366e+02,8.850000000000000000e+01,3.431842105263157805e+02
2.967857142857142776e+02,5.785714285714288962e+01,7.984523809523809632e+02
2.086264367816091863e+02,9.496264367816092999e+01,6.037586206896551175e+02
2.700784557907845738e+02,7.792029887920301690e+01,4.179825653798256440e+02
3.410883392226148203e+02,7.982685512367493175e+01,3.677067137809187329e+02
3.066311111111111245e+02,8.706666666666666288e+01,3.403288888888889119e+02
3.334104046242774757e+02,9.283815028901733513e+01,3.166878612716762973e+02
4.244603174603174693e+02,7.562301587301584505e+01,4.414563492063492163e+02
3.256930693069306813e+02,9.527227722772278184e+01,2.996287128712871208e+02
3.410093167701863308e+02,9.755279503105589356e+01,2.967577639751552852e+02
5.810509259259258670e+02,3.377777777777777715e+02,3.618101851851851620e+02
5.742919075144508270e+02,3.433092485549133244e+02,3.443988439306358487e+02
5.461688888888888869e+02,1.852822222222222308e+02,3.825400000000000205e+02
4.699385826771653569e+02,1.118314960629921302e+02,3.855606299212598174e+02
2.347272727272727479e+02,7.513636363636362603e+01,7.586818181818181301e+02
1.885841836734693970e+02,1.081428571428571672e+02,5.787244897959183163e+02
3.303305785123966984e+02,8.345661157024795784e+01,3.523801652892561833e+02
2.490140845070422415e+02,6.745070422535212629e+01,7.674084507042254018e+02
1.238563535911602003e+02,1.468867403314916942e+02,3.920580110497237456e+02
2.929530026109660525e+02,7.331070496083549415e+01,4.158407310704960764e+02
5.794311377245509220e+02,2.590339321357285485e+02,3.803912175648702600e+02
5.652971887550201018e+02,2.196385542168674760e+02,3.817630522088353473e+02
3.652658959537572514e+02,1.043583815028901540e+02,2.939421965317919216e+02
3.108851351351351582e+02,9.139864864864864558e+01,3.188581081081081265e+02
2.033439153439153415e+02,9.166137566137564363e+01,5.763227513227512873e+02
4.619444444444445708e+01,3.350763888888889142e+02,4.624027777777777715e+02
1.349842519685039406e+02,1.326299212598425470e+02,5.597007874015747575e+02
1.879090909090909349e+02,1.104111570247933969e+02,6.269318181818181301e+02
4.272065217391304373e+02,1.241739130434782510e+02,3.029565217391304373e+02
1.797324561403509051e+02,1.132850877192982466e+02,5.816250000000000000e+02
2.986872727272727275e+02,7.699272727272727934e+01,3.950763636363636238e+02
2.772812500000000000e+02,8.803125000000000000e+01,3.450625000000000000e+02
5.195376782077393045e+02,2.213503054989816974e+02,2.610386965376782200e+02
5.809394812680114910e+02,3.110720461095100973e+02,3.583659942363112236e+02
5.259380530973451187e+02,3.473141592920353560e+02,1.498495575221238880e+02
3.017762096774193310e+02,8.292338709677420638e+01,3.597177419354838435e+02
1.979926739926739856e+02,9.908791208791211602e+01,3.759853479853479712e+02
4.301350114416475776e+02,9.116933638443936161e+01,3.881556064073226366e+02
1.864880000000000564e+02,1.047359999999999900e+02,3.802479999999999905e+02
3.145277777777777715e+02,9.350000000000000000e+01,3.012222222222222285e+02
1.300000000000000000e+02,1.378823529411764639e+02,5.135294117647058556e+02
3.211320754716981014e+02,9.086477987421380931e+01,3.166729559748427505e+02
3.550031152647974864e+02,8.612461059190030710e+01,3.487788161993769336e+02
2.392936096718480030e+02,6.833851468048356992e+01,5.703091537132987696e+02
2.877629629629629449e+02,5.748148148148152359e+01,7.880592592592593064e+02
5.961959334565618747e+02,2.421811460258779789e+02,4.714399260628465527e+02
3.518627450980392268e+02,1.003464052287581580e+02,2.917516339869280841e+02
2.651272727272727252e+02,5.790909090909087809e+01,7.658181818181818699e+02
3.382471910112359410e+02,7.413483146067414964e+01,4.044157303370786281e+02
5.027330827067669361e+02,4.840451127819549129e+02,1.657518796992481214e+02
4.396732673267326845e+02,8.637623762376239256e+01,4.235379537953795648e+02
5.801723768736617330e+02,3.530663811563168792e+02,3.642965738758030056e+02
1.100649526387009018e+02,1.578958051420838729e+02,3.993924221921515709e+02
8.017460317460313490e+01,1.939015873015873126e+02,4.055206349206349046e+02
4.208455696202531726e+02,8.705569620253163521e+01,3.907291139240506368e+02
3.788863109048724027e+02,9.135266821345709332e+01,3.443016241299304170e+02
3.738116591928251182e+02,8.462331838565023645e+01,3.633348281016442343e+02
5.385869565217387844e+01,2.636195652173913118e+02,4.696250000000000000e+02
5.213174603174603590e+02,4.609814814814814667e+02,1.778544973544973686e+02
4.888888888888891415e+01,2.876999999999999886e+02,4.743500000000000227e+02
3.324786885245901544e+02,6.739344262295082899e+01,4.221180327868852373e+02
3.702092198581560183e+02,9.542198581560285220e+01,3.287127659574468339e+02
2.565930232558139323e+02,9.793023255813955075e+01,2.990697674418604493e+02
4.676680851063829891e+02,9.704468085106384478e+01,4.344234042553191557e+02
5.800984375000000455e+02,2.999671875000000227e+02,3.560718749999999773e+02
5.701982758620689538e+02,2.605620689655172555e+02,3.530775862068965694e+02
5.756445672191528047e+02,2.444511970534069860e+02,3.827955801104972124e+02
2.480445859872611436e+02,9.250955414012736355e+01,3.457898089171974334e+02
3.459946236559139834e+02,9.438172043010752077e+01,3.149731182795699169e+02
2.422739130434782737e+02,9.861739130434784784e+01,3.143391304347825894e+02
3.376868131868131968e+02,6.161538461538464162e+01,4.566208791208791240e+02
1.394967741935483900e+02,1.266064516129032427e+02,5.592838709677419047e+02
3.489250000000000114e+02,8.460000000000002274e+01,3.678500000000000227e+02
3.052522522522522763e+02,2.296936936936937173e+02,2.636936936936936959e+01
2.744297407912687845e+02,7.904774897680766799e+01,4.004597544338335524e+02
6.980974477958238822e+01,2.139675174013921151e+02,4.106334106728538131e+02
3.612444444444444684e+02,9.728888888888889142e+01,3.115301587301587460e+02
5.805926470588235588e+02,3.229426470588235247e+02,3.591544117647058556e+02
5.512190847127556026e+02,1.658894839337877443e+02,4.414016553067186237e+02
5.695933926302413965e+02,3.258856416772554212e+02,3.281931385006353139e+02
3.126081871345029413e+02,7.578654970760231890e+01,3.922251461988304300e+02
3.316638297872340218e+02,1.025021276595744553e+02,2.782085106382978665e+02
2.182571428571428669e+02,7.745714285714285552e+01,7.280000000000000000e+02
4.934545454545457233e+01,2.586436363636363467e+02,3.689599999999999795e+02
3.171864406779661181e+02,7.091525423728813848e+01,4.103898305084745743e+02
5.902109589041095887e+02,3.934273972602740059e+02,3.916931506849314815e+02
3.124724770642201861e+02,4.781651376146794519e+01,5.396238532110091910e+02
4.581861042183622885e+02,9.085111662531016918e+01,4.356650124069478807e+02
2.850000000000000000e+02,6.012500000000000000e+01,7.997500000000000000e+02
3.085000000000000000e+02,7.285937500000000000e+01,4.125625000000000000e+02
3.684344978165938755e+02,8.722707423580783370e+01,3.481179039301309786e+02
4.406094276094275983e+02,8.275420875420877564e+01,4.392087542087542147e+02
6.046992248062015278e+02,3.191193798449612586e+02,4.783596899224806407e+02
1.842558139534884276e+02,1.044186046511628092e+02,4.291744186046511800e+02
2.582703639514731435e+02,7.525129982668977391e+01,4.540693240901213130e+02
3.726439024390243731e+02,7.355609756097561558e+01,3.979609756097560762e+02
5.228555078683833699e+02,3.365150214592274551e+02,1.486938483547925500e+02
5.858288888888888550e+02,4.016966666666666583e+02,3.618899999999999864e+02
5.849295478443743832e+02,2.773753943217665778e+02,3.848391167192428952e+02
3.456315789473684390e+02,6.734736842105263577e+01,4.198105263157894456e+02
2.043251748251748268e+02,1.000804195804195729e+02,5.911048951048951494e+02
5.523007117437722400e+02,1.966334519572953923e+02,3.795498220640569116e+02
4.297947214076248201e+01,3.879090909090908781e+02,3.495190615835776953e+02
2.625372881355932009e+02,7.626949152542374577e+01,4.364864406779661294e+02
1.406327077747989733e+02,1.258659517426273737e+02,5.460509383378016537e+02
3.483378378378378102e+02,7.148648648648651260e+01,4.014797297297297405e+02
9.710666666666668334e+01,1.709166666666666856e+02,4.011166666666666742e+02
2.188552631578947398e+02,7.963815789473682116e+01,7.369671052631579187e+02
1.149210526315789593e+02,1.523157894736842195e+02,5.148157894736841627e+02
2.724781609195402439e+02,5.993793103448274451e+01,5.342574712643678367e+02
6.079760589318600523e+02,4.327697974217311412e+02,5.510883977900552964e+02
2.829270072992700875e+02,2.254890510948904989e+02,3.086861313868613266e+01
4.297500000000000000e+02,8.601420454545456096e+01,4.055909090909090651e+02
5.833528428093645744e+02,4.297441471571906391e+02,4.135551839464882846e+02
6.083557978196233762e+02,4.265807730426164426e+02,5.379910802775025331e+02
8.970486111111108585e+01,1.808020833333333144e+02,4.027152777777777715e+02
4.831818181818186986e+01,3.261136363636363740e+02,4.780681818181818130e+02
1.634557522123893705e+02,1.246283185840707688e+02,6.183097345132742930e+02
1.611005917159762930e+02,1.488461538461538680e+02,1.833905325443786865e+02
1.824060606060605778e+02,1.166000000000000227e+02,2.901212121212121247e+02
5.467924528301887221e+01,2.556981132075471805e+02,4.688679245283018986e+02
5.992325581395348308e+02,4.472170542635658990e+02,5.394341085271317979e+02
1.225482456140350678e+02,1.438815789473684390e+02,4.815964912280701924e+02
1.316996805111821232e+02,1.384057507987220674e+02,3.906964856230031842e+02
5.665692821368947989e+02,3.052454090150250181e+02,3.243405676126878348e+02
3.105040000000000191e+02,6.734399999999999409e+01,4.443600000000000136e+02
6.039408866995074732e+01,2.289359605911329822e+02,3.778472906403940783e+02
4.712483801295896342e+02,1.034298056155507766e+02,4.159265658747300449e+02
4.473029702970296739e+02,1.088871287128712879e+02,3.539029702970296967e+02
3.154660194174757066e+02,2.302184466019417641e+02,2.633495145631068013e+01
2.349736842105263008e+02,9.462865497076023757e+01,3.494152046783625565e+02
4.310000000000000000e+02,1.144098360655737565e+02,3.226721311475409948e+02
2.459944751381215724e+02,7.833149171270719080e+01,4.583756906077347821e+02
5.909595782073813552e+02,2.302530755711775328e+02,4.741159929701230453e+02
2.918780487804878021e+02,9.283739837398371719e+01,3.056829268292682968e+02
2.293418230563002567e+02,7.134852546916891924e+01,5.727761394101876249e+02
2.102500000000000000e+02,8.225000000000000000e+01,5.162500000000000000e+02
2.099929577464788508e+02,9.300000000000000000e+01,5.895281690140844830e+02
5.334306569343061710e+01,2.502773722627737243e+02,3.668467153284671554e+02
3.916325459317585569e+02,9.417322834645671037e+01,3.437742782152230916e+02
5.173621621621621216e+02,1.297567567567567721e+02,4.463387387387387548e+02
2.814263565891473036e+02,5.456847545219636686e+01,5.452971576227390642e+02
5.895754527162978320e+02,4.737746478873239084e+02,5.394124748490945649e+02
4.832244444444444298e+02,1.158177777777777919e+02,3.994377777777777965e+02
1.518243243243243796e+02,1.173243243243243228e+02,5.122229729729730252e+02
7.437606837606836052e+01,2.043789173789173788e+02,4.077435897435897232e+02
4.512105263157894797e+02,7.948872180451127178e+01,4.701328320802005010e+02
2.084264705882353041e+02,8.360294117647060830e+01,7.262205882352941444e+02
7.818376068376073817e+01,1.985726495726495955e+02,3.730000000000000000e+02
5.848023450586264289e+02,2.014472361809044969e+02,5.057705192629815656e+02
4.538256070640176176e+02,7.505298013245032962e+01,4.994282560706402023e+02
2.270375939849624274e+02,7.434586466165416141e+01,7.388646616541353751e+02
8.014642857142860066e+01,1.934035714285714107e+02,3.550035714285714334e+02
4.737142857142857224e+02,5.514285714285711038e+01,8.195714285714285552e+02
8.167692307692311715e+01,2.035487179487179219e+02,5.300051282051282442e+02
2.661921568627450938e+02,2.066980392156862649e+02,4.421176470588235219e+01
4.810094562647753946e+02,1.092718676122931356e+02,4.169125295508274007e+02
3.079347471451876004e+02,7.991517128874386344e+01,3.760146818923328169e+02
5.761902792140641623e+02,3.229420889348500623e+02,3.473877973112719815e+02
2.778759936406995052e+02,6.922098569157390102e+01,4.510906200317965045e+02
3.030000000000000000e+02,1.050000000000000000e+02,2.490000000000000000e+02
5.911088295687884511e+02,4.191149897330595877e+02,4.119199178644763606e+02
2.268637681159420367e+02,9.884637681159421163e+01,3.326289855072463979e+02
1.713246753246753542e+02,1.199415584415584135e+02,6.109826839826839660e+02
2.525968586387434698e+02,9.557068062827227095e+01,3.136649214659685754e+02
4.961872909699002321e+01,2.567859531772575110e+02,3.826655518394649107e+02
2.481811320754716803e+02,9.396603773584905639e+01,3.283811320754717258e+02
5.091250000000000000e+02,7.075000000000000000e+01,8.162500000000000000e+02
4.772289156626504791e+01,3.435903614457831736e+02,4.624457831325300958e+02
2.373000000000000114e+02,8.010000000000002274e+01,4.228000000000000114e+02
2.863984375000000000e+02,5.578515625000000000e+01,5.290703125000000000e+02
1.033999999999999773e+02,1.690000000000000000e+02,5.223714285714286234e+02
5.340435571687839911e+02,1.454482758620689538e+02,4.422468239564428245e+02
8.693227091633468717e+01,1.855378486055776648e+02,3.531752988047808799e+02
2.630500000000000114e+02,6.075000000000000000e+01,7.750499999999999545e+02
6.016888045540797521e+02,2.551935483870967687e+02,4.707666034155597572e+02
1.931915584415584135e+02,1.123863636363636260e+02,2.882467532467532578e+02
2.968179012345678984e+02,4.970987654320992988e+01,5.434074074074073906e+02
2.099666666666666401e+02,2.171666666666666856e+02,5.571666666666666856e+01
2.986081730769230944e+02,6.748798076923077360e+01,4.481658653846153584e+02
2.146250000000000000e+02,9.431250000000000000e+01,3.875000000000000000e+02
8.523863636363637397e+01,1.950909090909090651e+02,4.934204545454545610e+02
5.495590682196339003e+02,1.590898502495840034e+02,4.587886855241264357e+02
5.901854304635761537e+02,4.073785871964680041e+02,3.926898454746136622e+02
5.253453815261043474e+02,1.722891566265060419e+02,3.500401606425702994e+02
2.014076433121019249e+02,9.976560509554138889e+01,6.216203821656050650e+02
6.155581967213114467e+02,4.199770491803278674e+02,5.531557377049180104e+02
1.266160714285714448e+02,1.394107142857142776e+02,5.458750000000000000e+02
5.258891013384320559e+02,1.383001912045888844e+02,4.443059273422562114e+02
3.502947761194029681e+02,6.042910447761198611e+01,4.569141791044776255e+02
6.606329113924050489e+01,2.164493670886075734e+02,3.752310126582278258e+02
4.402680115273774959e+02,1.186628242074928039e+02,3.220345821325648217e+02
3.719163636363636556e+02,1.009709090909091174e+02,3.089490909090908985e+02
6.250560875512995835e+02,3.393160054719562595e+02,5.503419972640218703e+02
5.399878682842287390e+02,4.832027729636048434e+02,3.125272963604852521e+02
6.727131782945741634e+01,2.123565891472867975e+02,3.574767441860465169e+02
3.883799342105263008e+02,1.757039473684210407e+02,9.828947368421052033e+01
4.199293785310734393e+02,8.140960451977400680e+01,4.094519774011299660e+02
2.086704545454545610e+02,9.561363636363637397e+01,3.916931818181818130e+02
2.565149700598802269e+02,2.075688622754490780e+02,4.610179640718563121e+01
2.510892561983471296e+02,6.293553719008264125e+01,5.654280991735537327e+02
2.324328358208955478e+02,1.020746268656716325e+02,3.001940298507462899e+02
4.532757847533632685e+02,9.811883408071747681e+01,4.026771300448430679e+02
4.713986013986016133e+01,3.162797202797202658e+02,4.780069930069930138e+02
1.129233449477352451e+02,1.546445993031358626e+02,4.830627177700348511e+02
4.091194029850746006e+02,1.201671641791044749e+02,2.884268656716417922e+02
1.596628959276017667e+02,1.191176470588235361e+02,4.022760180995475139e+02
