x,y,z
4.252592592592592382e+02,1.017037037037036953e+02,3.581111111111110858e+02
4.353249999999999886e+02,1.068249999999999886e+02,3.566999999999999886e+02
3.405438596491227941e+02,9.947368421052630083e+01,2.983157894736842195e+02
3.887692307692307736e+02,6.653846153846154721e+01,4.465384615384615472e+02
4.005000000000000000e+02,9.200000000000000000e+01,3.600000000000000000e+02
3.163999999999999773e+02,8.219999999999998863e+01,3.606000000000000227e+02
2.875454545454545610e+02,9.027272727272725206e+01,3.441818181818181870e+02
6.155000000000000000e+02,4.630000000000000000e+02,6.415000000000000000e+02
2.887500000000000000e+02,9.450000000000000000e+01,3.267500000000000000e+02
1.951710526315789593e+02,1.103552631578947398e+02,6.094473684210526017e+02
1.993750000000000000e+02,1.014375000000000000e+02,5.801250000000000000e+02
6.104545454545454959e+02,4.723636363636363740e+02,6.435454545454545041e+02
4.430000000000000000e+02,9.850000000000000000e+01,3.905000000000000000e+02
4.352857142857142776e+02,8.200000000000000000e+01,4.402857142857142776e+02
3.766304347826086882e+02,8.717391304347825098e+01,3.635869565217391255e+02
5.790363636363636033e+02,3.558181818181818130e+02,3.668181818181818130e+02
4.110631578947368325e+02,9.576842105263159510e+01,3.577157894736841968e+02
4.130000000000000000e+02,7.157142857142855519e+01,4.424285714285714448e+02
3.330365853658536821e+02,9.429268292682928632e+01,3.174390243902439011e+02
3.883750000000000000e+02,8.937500000000000000e+01,3.619375000000000000e+02
1.516052631578946830e+02,1.240263157894736992e+02,3.887894736842105203e+02
3.425614035087719458e+02,8.789473684210526017e+01,3.506315789473684390e+02
5.447708333333333712e+02,1.855833333333333144e+02,3.831875000000000000e+02
6.220000000000000000e+02,4.530000000000000000e+02,6.440000000000000000e+02
1.138181818181818699e+02,1.553636363636363740e+02,4.000454545454545610e+02
1.442000000000000455e+02,1.299333333333333371e+02,3.914666666666666401e+02
1.842477064220183820e+02,1.161467889908257121e+02,6.103027522935780098e+02
2.025189873417721742e+02,1.033291139240506595e+02,6.063544303797468729e+02
1.068333333333333712e+02,1.614166666666666856e+02,3.992500000000000000e+02
5.777142857142856656e+02,2.593174603174603021e+02,3.818412698412698205e+02
4.200000000000000000e+02,8.900000000000000000e+01,3.920000000000000000e+02
3.685454545454545610e+02,8.527272727272725206e+01,3.649090909090909349e+02
5.181196581196580837e+02,2.219145299145299077e+02,2.620256410256410504e+02
4.238285714285714221e+02,7.645714285714285552e+01,4.418000000000000114e+02
4.287500000000000000e+02,9.350000000000000000e+01,3.895000000000000000e+02
5.801973684210526017e+02,3.377697368421052602e+02,3.623355263157894797e+02
3.240000000000000000e+02,8.079166666666668561e+01,3.725416666666666856e+02
5.801538461538461888e+02,3.728461538461538112e+02,3.646923076923076792e+02
3.457166666666666401e+02,9.656666666666666288e+01,3.156833333333333371e+02
5.644117647058823195e+02,2.198161764705882320e+02,3.824411764705882320e+02
5.497009345794392630e+02,1.664953271028037420e+02,4.431214953271028207e+02
3.995384615384615472e+02,1.222307692307692264e+02,2.716666666666666856e+02
3.300510204081632537e+02,8.510204081632650741e+01,3.532142857142857224e+02
2.820000000000000000e+02,7.047058823529414440e+01,4.520882352941176237e+02
4.754054054054054177e+02,1.299594594594594810e+02,3.535810810810810949e+02
3.520000000000000000e+02,1.015000000000000000e+02,2.930000000000000000e+02
3.781666666666666856e+02,9.277777777777777146e+01,3.450111111111111200e+02
5.841212121212121247e+02,2.803333333333333144e+02,3.856666666666666856e+02
3.655000000000000000e+02,1.050000000000000000e+02,2.945000000000000000e+02
4.458999999999999773e+02,1.109428571428571217e+02,3.554714285714285893e+02
3.546857142857143117e+02,8.748571428571426623e+01,3.493857142857143003e+02
4.440666666666666629e+02,8.546666666666664014e+01,4.390666666666666629e+02
5.248928571428571104e+02,3.472357142857142662e+02,1.504357142857142833e+02
5.739318181818182438e+02,3.432045454545454959e+02,3.444545454545454390e+02
3.608490566037735903e+02,9.886792452830189859e+01,3.125471698113207708e+02
3.324117647058823763e+02,6.882352941176469585e+01,4.230588235294117680e+02
5.824814814814815236e+02,2.737777777777777715e+02,3.860740740740740762e+02
3.698913043478260647e+02,9.678260869565218627e+01,3.295434782608695627e+02
3.318481012658227769e+02,1.041012658227847965e+02,2.790632911392405049e+02
5.504561403508771491e+02,1.971578947368420813e+02,3.806666666666666856e+02
5.803150684931506476e+02,3.107397260273972392e+02,3.589178082191780845e+02
5.754693877551020478e+02,3.261224489795918089e+02,3.486632653061224687e+02
2.088636363636363740e+02,9.440909090909093493e+01,6.039090909090908781e+02
3.676491228070175339e+02,8.885964912280701355e+01,3.491754385964912331e+02
5.790153846153846189e+02,2.999307692307692150e+02,3.570846153846154039e+02
4.968598130841121474e+02,1.907102803738317789e+02,2.671775700934579163e+02
1.986444444444444457e+02,1.032444444444444684e+02,6.234222222222222172e+02
5.792407407407407618e+02,3.226759259259259238e+02,3.600925925925926094e+02
5.684285714285714448e+02,3.246285714285714334e+02,3.287714285714285438e+02
3.413636363636363740e+02,8.190909090909093493e+01,3.687272727272727479e+02
4.678181818181818130e+02,1.247024793388429771e+02,3.516611570247933969e+02
5.953378378378378102e+02,2.422837837837838038e+02,4.718108108108108354e+02
5.702048192771084132e+02,3.335662650602409940e+02,3.289638554216867306e+02
5.803999999999999773e+02,3.492181818181818471e+02,3.623090909090909122e+02
9.900000000000000000e+01,1.716666666666666856e+02,4.016666666666666856e+02
5.745779816513761489e+02,2.442568807339449677e+02,3.835871559633027346e+02
3.723725490196078454e+02,7.523529411764707220e+01,3.986666666666666856e+02
5.689856115107913865e+02,2.606474820143885154e+02,3.535467625899280506e+02
8.000000000000000000e+01,1.995000000000000000e+02,3.740000000000000000e+02
2.270909090909090651e+02,1.015454545454545610e+02,3.340909090909090651e+02
