x,y,z
6.480000000000000000e+02,3.570000000000000000e+02,6.730000000000000000e+02
6.470000000000000000e+02,3.170000000000000000e+02,6.800000000000000000e+02
5.650000000000000000e+02,3.570000000000000000e+02,2.840000000000000000e+02
5.510000000000000000e+02,4.420000000000000000e+02,2.400000000000000000e+02
5.310000000000000000e+02,2.460000000000000000e+02,2.490000000000000000e+02
5.170000000000000000e+02,2.320000000000000000e+02,2.300000000000000000e+02
3.240000000000000000e+02,8.000000000000000000e+01,3.720000000000000000e+02
3.210000000000000000e+02,3.500000000000000000e+01,7.110000000000000000e+02
3.060000000000000000e+02,3.900000000000000000e+01,7.180000000000000000e+02
3.010000000000000000e+02,9.000000000000000000e+01,3.240000000000000000e+02
2.810000000000000000e+02,8.200000000000000000e+01,3.620000000000000000e+02
1.070000000000000000e+02,2.120000000000000000e+02,6.900000000000000000e+02
1.050000000000000000e+02,2.120000000000000000e+02,6.890000000000000000e+02
6.900000000000000000e+01,2.130000000000000000e+02,4.270000000000000000e+02
5.800000000000000000e+01,2.460000000000000000e+02,4.840000000000000000e+02
5.490000000000000000e+02,2.630000000000000000e+02,2.800000000000000000e+02
