x,y,z
6.210000000000000000e+02,2.362857142857142776e+02,2.631428571428571672e+02
6.101489361702127781e+02,2.283829787234042783e+02,2.274468085106383057e+02
6.076976744186046062e+02,2.134651162790697754e+02,2.350697674418604777e+02
6.045000000000000000e+02,2.042500000000000000e+02,2.346250000000000000e+02
4.840000000000000000e+02,5.200000000000000000e+01,6.835000000000000000e+02
4.730000000000000000e+02,3.200000000000000000e+01,6.565000000000000000e+02
4.621111111111110858e+02,3.903703703703706651e+01,6.872592592592592382e+02
4.549893048128342343e+02,3.387700534759358106e+01,6.859893048128342343e+02
4.539784946236559335e+02,3.837634408602150415e+01,6.955913978494623962e+02
4.505000000000000000e+02,1.847727272727274794e+01,6.509090909090908781e+02
4.500000000000000000e+02,1.600000000000000000e+01,6.430000000000000000e+02
4.472413793103448256e+02,3.353448275862069750e+01,6.926379310344827900e+02
4.458999999999999773e+02,3.829999999999995453e+01,7.023999999999999773e+02
4.434444444444444571e+02,1.453333333333330302e+01,6.499555555555555202e+02
4.430000000000000000e+02,1.772727272727274794e+01,6.597272727272727479e+02
4.400606060606060623e+02,3.012121212121212466e+01,6.919090909090908781e+02
4.338139534883721353e+02,2.100000000000000000e+01,6.790232558139534831e+02
4.267096774193548754e+02,2.169354838709682554e+01,6.871774193548386620e+02
4.274655172413793025e+02,1.453448275862069750e+01,6.684137931034482563e+02
4.253636363636363740e+02,1.843181818181813014e+01,6.773636363636363740e+02
4.220816326530612059e+02,2.947959183673469852e+01,7.054285714285714448e+02
4.191379310344827900e+02,2.275862068965511753e+01,6.932413793103448825e+02
4.193877551020408418e+02,1.844897959183674629e+01,6.835306122448979522e+02
4.193333333333333712e+02,1.439393939393937671e+01,6.750303030303030027e+02
4.180781250000000000e+02,6.098437500000000000e+01,7.554531250000000000e+02
4.172903225806451246e+02,5.400000000000000000e+01,7.472903225806451246e+02
4.153529411764706083e+02,2.588235294117646390e+01,7.008235294117647527e+02
4.117987804878048905e+02,1.489634146341461474e+01,6.826707317073170316e+02
4.140000000000000000e+02,2.130000000000000000e+02,8.620000000000000000e+02
4.133333333333333712e+02,2.060000000000000000e+02,8.593333333333333712e+02
4.112421052631578959e+02,2.030526315789472847e+01,6.927473684210526699e+02
4.120000000000000000e+02,3.566666666666662877e+01,7.213333333333333712e+02
4.084545454545454959e+02,2.409090909090912191e+01,7.035454545454545041e+02
4.070000000000000000e+02,2.205000000000000000e+02,8.670000000000000000e+02
4.070000000000000000e+02,3.233333333333337123e+01,7.176666666666666288e+02
4.049345794392523317e+02,1.637383177570097814e+01,6.890560747663550956e+02
4.040000000000000000e+02,3.714999999999997726e+01,7.270000000000000000e+02
4.036666666666666856e+02,1.300000000000000000e+01,6.813333333333333712e+02
4.015000000000000000e+02,4.050000000000000000e+01,7.345000000000000000e+02
3.971153846153846416e+02,1.496153846153845279e+01,6.889615384615384528e+02
3.874444444444444571e+02,4.000000000000000000e+01,7.373888888888889142e+02
3.845000000000000000e+02,2.000000000000000000e+01,7.045000000000000000e+02
3.826666666666666856e+02,1.422222222222217169e+01,6.912222222222221717e+02
3.787428571428571331e+02,5.691428571428571104e+01,7.639857142857142662e+02
3.800000000000000000e+02,3.800000000000000000e+01,7.360000000000000000e+02
3.732448979591836746e+02,4.378571428571433444e+01,7.474387755102040956e+02
3.740000000000000000e+02,1.753846153846154721e+01,7.013846153846153584e+02
3.700000000000000000e+02,2.066666666666662877e+01,7.083333333333333712e+02
3.673846153846153584e+02,1.102564102564099358e+01,6.899487179487178992e+02
3.653333333333333144e+02,4.566666666666662877e+01,7.516666666666666288e+02
3.664444444444444571e+02,4.233333333333337123e+01,7.451111111111110858e+02
3.636000000000000227e+02,1.948000000000001819e+01,7.053200000000000500e+02
3.623058823529411825e+02,1.448235294117648664e+01,6.966117647058823650e+02
3.605937500000000000e+02,1.056250000000000000e+01,6.881875000000000000e+02
3.585217391304348098e+02,3.921739130434787057e+01,7.413913043478261216e+02
3.575142857142857338e+02,4.405714285714282141e+01,7.487714285714286007e+02
2.927866473149492208e+02,1.685798258345425893e+01,6.665764876632800906e+02
3.556533333333333076e+02,2.157333333333338032e+01,7.107866666666666333e+02
3.507878787878788103e+02,3.357575757575762054e+01,7.313636363636363740e+02
3.495728155339805880e+02,2.474757281553399935e+01,7.160679611650485867e+02
3.484878048780487916e+02,2.032520325203256562e+01,7.073008130081300351e+02
3.429032258064515872e+02,3.770967741935487538e+01,7.370645161290323131e+02
3.424787234042553337e+02,3.278723404255322293e+01,7.289893617021276668e+02
3.421125000000000114e+02,2.526250000000004547e+01,7.137374999999999545e+02
3.416440677966101589e+02,2.762711864406776385e+01,7.205084745762711691e+02
3.411999999999999886e+02,8.600000000000022737e+00,6.813999999999999773e+02
3.342624999999999886e+02,2.371249999999997726e+01,7.102374999999999545e+02
3.342266666666666879e+02,3.144000000000005457e+01,7.254666666666666970e+02
3.329484536082474051e+02,2.752577319587624061e+01,7.184226804123711645e+02
3.327419354838709751e+02,9.032258064516099694e+00,6.810000000000000000e+02
3.255045045045044958e+02,3.162162162162167078e+01,7.237297297297296836e+02
3.265641025641025408e+02,9.564102564102540782e+00,6.788974358974359120e+02
3.167472527472527304e+02,3.172527472527474401e+01,7.198901098901098976e+02
3.156867469879518353e+02,2.802409638554217963e+01,7.112168674698795030e+02
3.106357142857143003e+02,2.393571428571431170e+01,7.033357142857142890e+02
3.090714285714285552e+02,8.928571428571444812e+00,6.646428571428571104e+02
