x,y,z
1.210000000000000000e+02,5.070000000000000000e+02,2.050000000000000000e+02
2.371140939597315196e+02,5.658859060402684236e+02,5.469765100671140772e+02
6.200370370370370665e+02,3.928518518518518476e+02,2.889259259259259238e+02
1.209672131147541450e+02,5.248469945355191157e+02,3.510874316939890605e+02
5.590909090909091219e+02,5.009610389610389802e+02,3.698311688311688386e+02
5.248681318681318544e+02,5.310549450549450512e+02,3.948571428571428328e+02
3.889337748344370880e+02,5.850000000000000000e+02,4.767880794701986815e+02
6.369756097560975832e+02,3.139170731707317259e+02,5.017365853658536707e+02
3.757761194029851026e+02,5.990746268656716893e+02,3.298544776119402968e+02
4.997733333333333121e+02,5.151599999999999682e+02,5.669933333333333394e+02
6.032000000000000455e+02,4.271999999999999886e+02,2.610000000000000000e+02
2.825663716814153759e+01,3.791327433628318886e+02,4.549646017699114964e+02
6.417962962962963047e+02,3.239722222222222285e+02,4.277777777777777715e+02
6.382777777777778283e+02,2.290277777777777715e+02,5.028750000000000000e+02
1.121612903225806122e+02,5.067580645161290249e+02,4.908911290322580498e+02
4.730441176470587834e+02,5.672058823529412166e+02,3.577647058823529278e+02
4.139493087557603985e+02,5.907788018433179786e+02,3.437695852534562277e+02
6.089186046511628092e+02,1.376976744186046631e+02,3.930930232558139323e+02
3.900555555555555429e+02,5.631805555555555429e+02,5.747291666666666288e+02
4.531999999999999886e+02,5.588923076923076678e+02,5.047538461538461547e+02
2.731499999999999773e+02,5.642250000000000227e+02,5.877999999999999545e+02
6.369874999999999545e+02,3.219499999999999886e+02,4.906625000000000227e+02
5.208654708520180066e+02,4.941704035874439569e+02,5.787309417040358994e+02
3.558846153846153584e+02,5.701153846153846416e+02,5.733076923076922640e+02
3.238691588785046633e+02,5.522663551401868745e+02,6.382056074766354641e+02
1.506267942583731951e+02,5.390909090909091219e+02,4.749760765550239512e+02
2.498362573099415158e+02,5.738888888888889142e+02,5.256608187134503396e+02
2.890096153846153584e+02,5.631250000000000000e+02,6.006153846153846416e+02
6.018125000000000000e+02,1.138437500000000000e+02,4.836770833333333144e+02
9.878787878787875343e+01,5.021818181818181870e+02,3.236969696969696884e+02
3.972319277108433653e+02,5.877409638554216826e+02,4.397650602409638623e+02
3.810196078431372371e+02,5.930098039215686185e+02,4.265784313725490051e+02
3.749523809523809632e+02,5.701904761904761472e+02,5.626190476190475920e+02
4.091071428571428896e+02,5.751428571428571104e+02,5.025982142857142776e+02
5.053883495145631173e+02,4.831359223300970598e+02,6.381553398058252924e+02
1.802253521126760347e+02,5.640140845070422984e+02,3.006056338028168966e+02
5.964106463878326849e+02,4.472205323193916229e+02,4.269505703422053102e+02
6.187054263565891006e+02,2.153643410852712918e+02,6.019767441860465169e+02
4.376666666666666288e+02,4.930000000000000000e+02,7.116666666666666288e+02
4.062500000000000000e+01,3.822734375000000000e+02,5.750859375000000000e+02
2.431520912547528610e+02,5.893193916349810024e+02,3.906806083650189976e+02
5.871391304347826008e+02,4.661652173913043384e+02,3.455739130434782851e+02
5.099065420560748407e+01,4.201028037383177889e+02,2.795327102803738057e+02
6.034545454545454959e+02,1.170909090909090651e+02,4.601363636363636260e+02
2.850000000000000000e+01,2.800000000000000000e+02,2.810000000000000000e+02
1.139861111111110858e+02,5.180138888888889142e+02,3.854965277777777715e+02
3.140000000000000000e+02,5.703571428571428896e+02,5.806428571428571104e+02
4.972941176470587834e+02,5.500000000000000000e+02,2.595882352941176237e+02
4.802128851540616097e+02,5.159663865546218631e+02,6.025378151260504183e+02
1.681666666666666856e+02,5.421555555555555657e+02,5.245333333333333030e+02
1.458777292576419313e+02,5.442227074235808004e+02,3.425458515283842758e+02
7.473662551440327206e+01,4.727654320987654728e+02,3.426172839506172636e+02
6.052250000000000227e+02,1.195249999999999773e+02,4.729499999999999886e+02
5.068205128205128176e+02,5.451025641025640880e+02,2.805128205128204968e+02
1.542417061611374152e+02,5.485876777251185104e+02,3.087725118483412530e+02
1.204583333333333712e+02,5.231666666666666288e+02,3.157916666666666856e+02
2.400212765957446663e+02,5.425000000000000000e+02,6.378085106382978893e+02
4.517415730337078230e+02,5.664382022471910432e+02,4.678089887640449547e+02
6.265000000000000000e+02,3.512160493827160508e+02,5.189938271604938791e+02
3.412640000000000100e+02,5.653039999999999736e+02,5.946319999999999482e+02
1.271256830601092815e+02,5.298524590163934818e+02,3.404863387978141986e+02
2.748360655737701563e+01,3.791721311475409948e+02,4.211065573770491710e+02
2.872881355932202041e+01,3.682372881355931895e+02,5.185762711864406356e+02
4.041000000000000227e+02,5.320454545454545041e+02,6.564545454545454959e+02
2.854545454545450411e+01,3.206818181818181870e+02,2.719545454545454390e+02
4.112272727272727479e+02,5.911818181818181301e+02,2.865227272727272521e+02
2.668970588235293917e+02,5.887352941176470722e+02,4.545183823529411598e+02
6.368636363636363740e+02,2.327196969696969973e+02,5.165303030303030027e+02
3.501616161616161662e+02,5.455404040404040416e+02,6.519696969696969973e+02
6.233680555555555429e+02,3.547430555555555429e+02,5.316527777777778283e+02
3.026229508196718143e+01,3.852459016393442539e+02,3.765573770491803316e+02
2.800691244239631601e+02,5.976635944700460641e+02,2.885437788018433025e+02
5.964666666666666970e+02,3.653333333333333712e+02,6.199333333333332803e+02
9.723333333333334849e+01,4.946428571428571104e+02,2.776047619047619150e+02
9.208085106382975482e+01,4.894255319148936110e+02,2.880425531914893895e+02
7.362000000000000455e+01,4.655600000000000023e+02,2.960350000000000250e+02
3.840540540540540633e+02,5.768243243243243796e+02,5.254459459459459367e+02
1.234913793103448825e+02,5.229482758620689538e+02,4.467155172413793025e+02
5.988717948717949184e+02,1.154358974358974592e+02,4.118974358974359120e+02
5.265189873417721174e+02,5.221645569620253582e+02,4.557721518987341938e+02
