x,y,z
9.686363636363637397e+01,4.859545454545454959e+02,2.330454545454545325e+02
6.196000000000003638e+01,4.181200000000000045e+02,2.048799999999999955e+02
1.900000000000000000e+02,5.081250000000000000e+02,6.791250000000000000e+02
9.902777777777782831e+01,4.879444444444444571e+02,5.228333333333333712e+02
6.419806201550387641e+02,3.238953488372093261e+02,4.278565891472867975e+02
3.500749999999999886e+02,5.451083333333333485e+02,6.521208333333332803e+02
4.998361774744026889e+02,5.149795221843003219e+02,5.669180887372014013e+02
6.200000000000000000e+01,4.228125000000000000e+02,2.159375000000000000e+02
6.200787401574802971e+02,3.928188976377953168e+02,2.889606299212598515e+02
6.189318181818181301e+02,2.151875000000000000e+02,6.019375000000000000e+02
5.891954887218045087e+02,4.619774436090225436e+02,3.121353383458646817e+02
4.730471698113207140e+02,5.669371069182390102e+02,3.577704402515723245e+02
4.890425531914893327e+02,4.550851063829787222e+02,7.142411347517730746e+02
4.079545454545450411e+01,3.819015151515151274e+02,5.751363636363636260e+02
3.757774725274725256e+02,5.988516483516483504e+02,3.299972527472527304e+02
2.431524663677130320e+02,5.889417040358744089e+02,3.907847533632286741e+02
5.209972451790633841e+02,4.938402203856749111e+02,5.787603305785123666e+02
5.591827956989247923e+02,5.009175627240143172e+02,3.697921146953405014e+02
3.239751243781094558e+02,5.517761194029850458e+02,6.381840796019901063e+02
5.858677685950412979e+02,3.710661157024793511e+02,6.437438016528925573e+02
4.318794642857142776e+02,5.851964285714285552e+02,3.098035714285714448e+02
4.607474747474747119e+02,5.490505050505050804e+02,5.298383838383838338e+02
2.402272727272727479e+02,5.420606060606060055e+02,6.378030303030302548e+02
5.777763975155279468e+02,4.748012422360248479e+02,2.810807453416148860e+02
6.272923076923076451e+02,3.501153846153846416e+02,2.680538461538461661e+02
6.407528735632183725e+02,2.709597701149425006e+02,3.427988505747126169e+02
3.003149606299212451e+02,5.630078740157480297e+02,6.019212598425197029e+02
6.371863354037267300e+02,3.138105590062111787e+02,5.017981366459627566e+02
6.481818181818186986e+01,4.162727272727272521e+02,6.149090909090908781e+02
6.266579710144927731e+02,3.509942028985507250e+02,5.190202898550725195e+02
3.698055555555555429e+02,5.727500000000000000e+02,5.511527777777778283e+02
3.466499999999999773e+02,5.980000000000000000e+02,2.400500000000000114e+02
5.867684210526315383e+02,4.487736842105263122e+02,2.328578947368420984e+02
5.182862903225806122e+02,4.818225806451612812e+02,6.151330645161290249e+02
2.660781250000000000e+02,5.743593750000000000e+02,5.390937500000000000e+02
5.062500000000000000e+01,4.319583333333333712e+02,3.369583333333333144e+02
5.053538461538461206e+02,4.830500000000000114e+02,6.381307692307692605e+02
1.212431192660550323e+02,5.247018348623853399e+02,3.510137614678899354e+02
3.822878787878788103e+02,5.611742424242423795e+02,5.868068181818181301e+02
3.130060975609756042e+02,5.522682926829268126e+02,6.372804878048780211e+02
5.998888888888889142e+02,3.476296296296296191e+02,6.300518518518518931e+02
