x,y,z
4.508000000000000114e+02,1.839999999999997726e+01,6.510000000000000000e+02
4.223750000000000000e+02,2.925000000000000000e+01,7.053750000000000000e+02
4.207500000000000000e+02,5.277500000000000000e+02,4.025000000000000000e+01
3.485921052631579187e+02,1.175000000000000000e+01,6.907763157894736423e+02
3.448229166666666856e+02,1.618750000000000000e+01,6.990416666666666288e+02
3.413913043478260647e+02,1.230434782608699606e+01,6.899130434782608745e+02
3.408750000000000000e+02,1.937500000000000000e+01,7.047500000000000000e+02
3.377752808988764173e+02,1.652808988764047626e+01,6.965056179775281180e+02
3.348461538461538680e+02,1.207692307692309441e+01,6.886923076923077360e+02
3.323750000000000000e+02,1.954166666666662877e+01,7.027083333333333712e+02
2.802160098798697732e+02,1.754294375210508861e+01,6.588202537330189443e+02
3.274210526315789593e+02,1.231578947368416266e+01,6.860350877192981898e+02
3.263235294117646959e+02,2.276470588235292780e+01,7.077647058823529278e+02
3.204140969162995702e+02,1.943171806167401883e+01,6.987312775330397017e+02
3.242325581395348877e+02,2.662790697674415696e+01,7.148139534883721353e+02
3.250000000000000000e+02,3.100000000000000000e+01,7.240000000000000000e+02
3.192241379310344769e+02,2.306896551724139499e+01,7.048275862068965125e+02
3.182500000000000000e+02,9.500000000000000000e+00,6.747500000000000000e+02
3.155423728813559592e+02,2.771186440677968221e+01,7.113050847457626560e+02
3.105952380952380736e+02,2.383333333333337123e+01,7.033214285714285552e+02
3.056714285714285779e+02,2.922857142857139934e+01,7.088285714285714221e+02
3.003333333333333144e+02,9.588888888888845941e+00,6.621333333333333258e+02
3.014545454545454390e+02,2.618181818181813014e+01,7.012727272727272521e+02
2.945909090909090651e+02,2.484090909090912191e+01,6.938636363636363740e+02
2.585806451612903061e+02,1.135483870967743769e+01,6.105161290322580498e+02
2.453593750000000000e+02,1.873437500000000000e+01,6.070558035714285552e+02
2.491538461538461320e+02,1.438461538461535838e+01,5.903846153846153584e+02
2.423172413793103601e+02,1.898275862068965125e+01,5.970482758620689765e+02
2.463333333333333144e+02,1.400000000000000000e+01,5.813333333333333712e+02
2.424700000000000273e+02,1.808000000000004093e+01,5.887100000000000364e+02
2.395555555555555429e+02,2.255555555555554292e+01,6.135000000000000000e+02
1.580769230769230944e+02,8.476923076923071676e+01,7.038461538461538112e+02
1.555416666666666856e+02,8.712500000000000000e+01,7.117083333333333712e+02
1.510426065162907321e+02,8.764661654135340996e+01,6.963558897243108277e+02
1.550909090909090651e+02,8.281818181818186986e+01,6.682727272727272521e+02
1.555555555555555429e+02,8.377777777777782831e+01,6.862222222222221717e+02
1.507200000000000273e+02,9.086000000000001364e+01,7.137000000000000455e+02
1.530000000000000000e+02,8.450000000000000000e+01,6.745000000000000000e+02
1.494634146341463747e+02,8.758536585365857263e+01,6.881219512195121979e+02
1.500000000000000000e+02,8.900000000000000000e+01,7.060000000000000000e+02
1.490000000000000000e+02,8.657894736842104066e+01,6.700000000000000000e+02
1.461290322580645125e+02,9.225806451612902492e+01,7.089032258064515872e+02
1.442727272727272521e+02,9.463636363636362603e+01,7.143636363636363740e+02
1.432000000000000455e+02,8.735000000000002274e+01,6.450499999999999545e+02
1.400722222222221944e+02,9.456666666666671972e+01,6.957166666666666970e+02
1.412000000000000455e+02,9.802857142857146755e+01,7.214285714285714448e+02
1.412790697674419107e+02,9.553488372093022463e+01,7.045348837209302246e+02
1.403666666666666742e+02,9.626666666666665151e+01,7.111000000000000227e+02
1.407999999999999545e+02,9.120000000000004547e+01,6.780000000000000000e+02
1.391000000000000227e+02,9.400000000000000000e+01,6.845000000000000000e+02
1.358906250000000000e+02,9.285937500000000000e+01,6.538750000000000000e+02
1.360909090909091219e+02,9.881818181818186986e+01,7.057272727272727479e+02
1.337567567567567721e+02,9.745945945945948097e+01,6.864324324324323925e+02
1.345000000000000000e+02,1.025000000000000000e+02,7.200000000000000000e+02
1.331000000000000227e+02,9.970000000000004547e+01,6.950000000000000000e+02
1.321428571428571104e+02,9.828571428571433444e+01,6.745714285714285552e+02
1.318181818181818699e+02,9.263636363636362603e+01,6.196363636363636260e+02
1.299166666666666288e+02,9.611111111111108585e+01,6.467222222222221717e+02
1.313333333333333712e+02,9.250000000000000000e+01,5.989166666666666288e+02
1.300000000000000000e+02,1.060000000000000000e+02,7.160000000000000000e+02
1.283500000000000227e+02,1.014750000000000227e+02,6.882749999999999773e+02
1.294444444444444571e+02,9.955555555555554292e+01,6.823333333333333712e+02
1.290000000000000000e+02,9.800000000000000000e+01,6.540000000000000000e+02
1.272000000000000455e+02,9.739999999999997726e+01,6.348500000000000227e+02
1.275000000000000000e+02,9.550000000000000000e+01,6.130000000000000000e+02
1.264285714285714448e+02,9.642857142857144481e+01,5.915714285714285552e+02
1.236923076923077360e+02,1.043846153846153584e+02,6.838461538461538112e+02
1.250000000000000000e+02,9.700000000000000000e+01,6.200000000000000000e+02
1.115714285714285552e+02,1.055714285714285552e+02,5.330000000000000000e+02
1.088095238095238528e+02,1.070000000000000000e+02,5.413333333333333712e+02
1.031212121212121247e+02,1.136363636363636260e+02,5.422424242424242493e+02
1.050000000000000000e+02,1.110000000000000000e+02,5.330000000000000000e+02
1.025599999999999454e+02,1.179200000000000159e+02,4.475600000000000023e+02
1.017999999999999545e+02,1.171999999999999886e+02,4.660500000000000114e+02
9.961000000000001364e+01,1.210199999999999818e+02,4.571800000000000068e+02
1.009259259259259807e+02,1.029259259259259807e+02,3.913333333333333144e+02
9.914285714285711038e+01,1.168571428571428328e+02,5.347142857142856656e+02
9.861643835616439446e+01,1.072739726027397182e+02,3.816027397260273801e+02
9.631343283582089043e+01,1.230671641791044522e+02,4.667835820895522261e+02
9.628947368421052033e+01,1.245789473684210407e+02,4.485526315789473415e+02
9.250000000000000000e+01,1.255000000000000000e+02,4.751999999999999886e+02
8.969696969696974520e+01,1.289090909090909349e+02,4.844242424242424363e+02
8.691379310344825626e+01,1.324137931034482563e+02,4.762068965517241281e+02
8.769047619047614717e+01,1.305714285714285552e+02,4.934761904761904816e+02
8.900000000000000000e+01,1.270000000000000000e+02,5.280000000000000000e+02
8.398214285714288962e+01,1.350000000000000000e+02,4.856785714285714448e+02
8.600000000000000000e+01,1.320000000000000000e+02,5.205000000000000000e+02
8.370000000000004547e+01,1.353999999999999773e+02,5.278250000000000455e+02
8.375000000000000000e+01,1.367500000000000000e+02,4.677500000000000000e+02
8.036666666666667425e+01,1.395666666666666629e+02,4.775833333333333144e+02
8.103225806451609969e+01,1.378709677419354875e+02,4.945483870967742064e+02
8.200000000000000000e+01,1.365000000000000000e+02,5.120000000000000000e+02
7.568627450980386584e+01,1.485294117647058556e+02,4.587843137254902217e+02
7.515189873417716626e+01,1.472151898734177280e+02,4.780886075949367182e+02
7.510000000000002274e+01,1.480000000000000000e+02,5.053000000000000114e+02
7.188888888888891415e+01,1.515000000000000000e+02,4.693888888888889142e+02
6.979999999999995453e+01,1.556499999999999773e+02,4.597500000000000000e+02
7.082352941176475269e+01,1.549411764705882320e+02,4.784705882352941444e+02
6.709482758620686127e+01,1.598103448275862206e+02,4.680775862068965694e+02
6.769767441860460622e+01,1.576279069767442138e+02,4.866279069767442138e+02
6.809090909090912191e+01,1.564545454545454390e+02,5.580909090909091219e+02
6.785714285714288962e+01,1.391999999999999886e+02,4.097714285714285438e+02
6.725000000000000000e+01,1.615000000000000000e+02,4.512500000000000000e+02
6.550000000000000000e+01,1.448500000000000227e+02,4.008500000000000227e+02
6.450000000000000000e+01,1.652666666666666515e+02,4.604499999999999886e+02
6.460000000000002274e+01,1.621999999999999886e+02,5.515000000000000000e+02
6.227272727272725206e+01,1.681515151515151274e+02,4.701515151515151274e+02
6.035483870967743769e+01,1.678387096774193310e+02,4.980322580645161565e+02
6.033333333333337123e+01,1.774444444444444571e+02,4.245555555555555429e+02
5.743478260869562746e+01,1.770000000000000000e+02,4.720434782608695627e+02
5.489130434782612156e+01,1.814130434782608745e+02,4.616956521739130608e+02
5.325999999999999091e+01,1.864700000000000273e+02,4.532500000000000000e+02
5.400000000000000000e+01,1.855000000000000000e+02,4.710000000000000000e+02
