x,y,z
5.250000000000000000e+02,4.170000000000000000e+02,7.120000000000000000e+02
2.960000000000000000e+02,1.060000000000000000e+02,8.340000000000000000e+02
2.050000000000000000e+02,4.800000000000000000e+01,7.010000000000000000e+02
1.990000000000000000e+02,5.400000000000000000e+01,7.150000000000000000e+02
1.960000000000000000e+02,5.200000000000000000e+01,7.050000000000000000e+02
1.950000000000000000e+02,5.100000000000000000e+01,6.980000000000000000e+02
1.920000000000000000e+02,5.600000000000000000e+01,7.120000000000000000e+02
1.890000000000000000e+02,5.500000000000000000e+01,7.050000000000000000e+02
1.050000000000000000e+02,1.000000000000000000e+02,3.820000000000000000e+02
1.040000000000000000e+02,1.040000000000000000e+02,3.620000000000000000e+02
9.900000000000000000e+01,1.070000000000000000e+02,3.810000000000000000e+02
7.700000000000000000e+01,1.380000000000000000e+02,3.510000000000000000e+02
7.500000000000000000e+01,1.430000000000000000e+02,3.410000000000000000e+02
7.100000000000000000e+01,1.570000000000000000e+02,3.000000000000000000e+02
7.100000000000000000e+01,1.460000000000000000e+02,3.510000000000000000e+02
6.800000000000000000e+01,1.400000000000000000e+02,4.100000000000000000e+02
6.600000000000000000e+01,1.570000000000000000e+02,3.300000000000000000e+02
5.600000000000000000e+01,1.560000000000000000e+02,4.300000000000000000e+02
5.400000000000000000e+01,2.010000000000000000e+02,2.590000000000000000e+02
