x,y,z
5.930000000000000000e+02,2.390000000000000000e+02,6.860000000000000000e+02
4.890274725274725256e+02,4.551648351648351536e+02,7.139560439560439136e+02
5.780909090909091219e+02,4.750000000000000000e+02,2.811515151515151274e+02
6.190116279069767415e+02,2.151395348837209553e+02,6.018662790697674154e+02
6.002075471698112779e+02,3.480000000000000000e+02,6.299245283018867667e+02
5.869550561797752835e+02,4.489887640449438209e+02,2.327752808988764173e+02
3.239166666666666856e+02,5.520185185185184764e+02,6.382253086419752890e+02
3.757820512820512704e+02,5.990051282051282442e+02,3.298743589743589837e+02
3.697538461538461547e+02,5.730846153846154039e+02,5.510692307692307850e+02
4.998071895424836839e+02,5.150816993464052302e+02,5.668202614379084707e+02
4.078212290502790438e+01,3.818938547486033599e+02,5.748659217877094534e+02
3.500883280757097964e+02,5.452523659305993533e+02,6.521072555205047365e+02
5.591396226415093906e+02,5.009698113207547294e+02,3.697433962264150864e+02
6.503409090909087809e+01,4.161704545454545041e+02,6.147613636363636260e+02
1.212702702702703164e+02,5.248708708708709310e+02,3.510510510510510471e+02
9.896296296296293349e+01,5.018750000000000000e+02,3.237222222222222285e+02
3.808885017421602583e+02,5.930871080139372680e+02,4.267212543554006743e+02
5.928533333333333530e+02,9.805333333333328483e+01,4.937200000000000273e+02
5.441176470588235361e+02,3.909411764705882320e+02,7.117058823529412166e+02
5.608823529411764639e+02,4.740588235294117680e+02,1.867058823529411882e+02
1.121193415637859516e+02,5.067613168724279831e+02,4.908189300411522709e+02
3.229296875000000000e+02,5.188906250000000000e+02,7.207031250000000000e+02
6.268178694158075359e+02,3.511030927835051330e+02,5.187457044673539031e+02
4.872906403940886548e+02,4.698423645320197011e+02,6.929852216748768114e+02
6.031712328767123381e+02,4.267260273972602818e+02,2.608904109589041127e+02
5.569720279720279450e+02,4.963426573426573327e+02,4.420489510489510394e+02
2.832051282051281760e+01,3.790769230769230944e+02,4.548782051282051384e+02
4.731679389312977264e+02,5.671297709923663888e+02,3.577175572519083744e+02
5.789431818181817562e+02,4.759545454545454959e+02,3.016477272727272521e+02
6.203595505617977324e+02,3.929719101123595237e+02,2.889382022471909863e+02
5.183511705685618836e+02,4.819397993311036998e+02,6.150936454849498887e+02
2.971794871794872961e+01,3.791794871794871824e+02,4.888205128205128176e+02
1.158319327731092017e+02,5.081638655462185170e+02,5.037016806722689353e+02
4.073749999999995453e+01,4.059375000000000000e+02,3.227250000000000227e+02
9.898260869565217490e+01,4.880478260869565474e+02,5.226173913043478478e+02
2.238529411764706083e+02,5.571680672268907983e+02,5.676848739495798100e+02
6.446946107784431206e+02,2.708443113772455035e+02,3.978203592814371063e+02
4.607891156462584945e+02,5.492380952380951840e+02,5.297755102040816837e+02
6.269111111111111541e+02,3.713555555555555543e+02,2.878666666666666742e+02
2.402137404580152520e+02,5.419351145038167488e+02,6.376679389312977264e+02
2.370469973890339475e+02,5.656005221932115319e+02,5.469817232375978620e+02
3.603107142857143117e+02,6.007535714285713766e+02,2.949214285714285779e+02
3.902063492063492163e+02,5.629079365079364834e+02,5.746476190476190595e+02
5.892763157894736423e+02,4.622500000000000000e+02,3.121973684210526585e+02
2.309708029197080350e+02,5.772883211678831685e+02,4.746934306569343107e+02
3.002179487179487296e+02,5.631282051282050816e+02,6.016538461538461888e+02
6.232500000000000000e+02,2.212500000000000000e+02,5.907500000000000000e+02
6.200895522388059362e+02,1.531343283582089612e+02,4.175970149253731165e+02
6.435822784810126223e+02,2.989810126582278258e+02,4.491202531645569707e+02
4.980769230769226397e+01,4.059230769230769056e+02,2.456153846153846132e+02
3.065964912280701924e+02,5.981812865497075791e+02,2.469883040935672511e+02
3.972831632653061433e+02,5.877372448979591582e+02,4.397806122448979522e+02
5.207951482479784318e+02,4.941374663072776343e+02,5.786280323450134802e+02
6.426531531531531982e+02,2.681666666666666856e+02,3.637702702702702595e+02
3.130282131661442122e+02,5.524545454545454959e+02,6.369686520376175167e+02
5.053817567567567721e+02,4.832060810810810949e+02,6.378479729729730252e+02
6.170000000000004547e+01,4.230000000000000000e+02,2.156500000000000057e+02
1.618421052631579187e+02,4.864342105263157805e+02,6.910328947368420813e+02
2.662469135802469395e+02,5.427860082304526941e+02,6.523333333333333712e+02
2.100785714285714221e+02,5.603999999999999773e+02,5.317678571428571104e+02
