x,y,z
3.963333333333333144e+02,2.500000000000000000e+00,3.995000000000000000e+02
3.210000000000000000e+02,1.300000000000000000e+01,6.830000000000000000e+02
3.200000000000000000e+02,3.000000000000000000e+00,6.580000000000000000e+02
3.140000000000000000e+02,3.000000000000000000e+00,6.570000000000000000e+02
3.087777777777777715e+02,1.705555555555554292e+01,6.868333333333333712e+02
3.005862068965517437e+02,1.872413793103453372e+01,6.857931034482758150e+02
2.955000000000000000e+02,1.400000000000000000e+01,6.690000000000000000e+02
2.930000000000000000e+02,1.733333333333337123e+01,6.763333333333333712e+02
2.498888888888889142e+02,1.611111111111108585e+01,6.081111111111110858e+02
2.344166666666666856e+02,7.250000000000000000e+00,5.992500000000000000e+02
2.330333333333333599e+02,5.833333333333371229e+00,5.808333333333333712e+02
2.320000000000000000e+02,1.300000000000000000e+01,6.175000000000000000e+02
2.289642857142857224e+02,9.553571428571444812e+00,5.884464285714285552e+02
2.297500000000000000e+02,1.275000000000000000e+01,6.062500000000000000e+02
2.270000000000000000e+02,9.038461538461547207e+00,5.693653846153846416e+02
2.266984126984127101e+02,1.241269841269843255e+01,5.971904761904761472e+02
2.240555555555555429e+02,1.347222222222217169e+01,5.874444444444444571e+02
2.231000000000000227e+02,1.239999999999997726e+01,5.777000000000000455e+02
