x,y,z
6.240000000000000000e+02,2.950000000000000000e+02,3.060000000000000000e+02
6.227000000000000455e+02,2.643999999999999773e+02,3.048999999999999773e+02
6.222999999999999545e+02,3.101000000000000227e+02,2.953999999999999773e+02
6.225555555555555429e+02,2.507777777777777715e+02,3.207777777777777715e+02
5.920000000000000000e+02,1.520000000000000000e+02,3.360000000000000000e+02
5.609333333333333940e+02,9.653333333333330302e+01,3.693999999999999773e+02
5.532203389830508513e+02,6.794915254237287172e+01,3.733220338983051079e+02
5.447727272727272521e+02,8.609090909090912191e+01,3.480909090909090651e+02
5.436666666666666288e+02,7.616666666666662877e+01,3.757500000000000000e+02
5.311578947368420813e+02,6.873684210526312199e+01,3.657368421052631788e+02
5.226666666666666288e+02,5.244444444444445708e+01,3.940555555555555429e+02
4.867209302325581461e+02,1.423255813953483084e+01,5.193953488372093261e+02
4.781206896551724412e+02,1.424137931034488247e+01,5.813275862068965125e+02
4.790000000000000000e+02,2.000000000000000000e+01,6.050000000000000000e+02
4.638999999999999773e+02,1.439999999999997726e+01,6.120000000000000000e+02
4.601333333333333258e+02,4.660000000000002274e+01,7.062000000000000455e+02
4.569444444444444571e+02,1.283333333333337123e+01,6.207222222222221717e+02
4.570000000000000000e+02,5.100000000000000000e+01,7.150000000000000000e+02
4.554047619047619264e+02,3.347619047619048160e+01,6.858809523809524080e+02
4.531228070175438916e+02,4.196491228070181023e+01,7.048596491228070136e+02
4.539615384615384528e+02,3.792307692307690559e+01,6.958076923076922640e+02
4.506000000000000227e+02,1.739999999999997726e+01,6.503999999999999773e+02
4.500000000000000000e+02,1.500000000000000000e+01,6.420909090909091219e+02
4.477599999999999909e+02,3.251999999999998181e+01,6.922799999999999727e+02
4.453181818181818130e+02,4.081818181818186986e+01,7.108181818181818699e+02
4.437500000000000000e+02,1.412500000000000000e+01,6.497500000000000000e+02
4.428500000000000227e+02,1.604999999999995453e+01,6.591000000000000227e+02
4.378333333333333712e+02,3.658333333333337123e+01,7.093333333333333712e+02
4.385625000000000000e+02,3.310416666666662877e+01,7.014791666666666288e+02
4.365000000000000000e+02,4.100000000000000000e+01,7.185000000000000000e+02
4.344848484848484986e+02,1.415151515151512740e+01,6.606060606060606233e+02
4.296428571428571104e+02,3.642857142857144481e+01,7.156071428571428896e+02
4.275949367088607573e+02,1.406329113924050489e+01,6.681772151898734364e+02
4.285000000000000000e+02,1.250000000000000000e+01,5.546666666666666288e+02
4.273333333333333712e+02,2.200000000000000000e+01,6.876666666666666288e+02
4.224526315789473756e+02,2.889473684210531701e+01,7.055473684210526244e+02
4.221250000000000000e+02,5.000000000000000000e+01,7.398750000000000000e+02
4.190740740740740762e+02,1.407407407407401934e+01,6.746666666666666288e+02
4.183999999999999773e+02,6.060000000000002274e+01,7.556000000000000227e+02
4.116976744186046631e+02,1.472093023255808930e+01,6.826511627906976400e+02
4.113333333333333712e+02,1.933333333333337123e+01,6.925000000000000000e+02
4.110000000000000000e+02,3.850000000000000000e+01,7.275000000000000000e+02
4.050625000000000000e+02,1.579687500000000000e+01,6.888437500000000000e+02
4.036818181818181870e+02,1.272727272727274794e+01,6.818181818181818699e+02
3.996666666666666856e+02,2.233333333333337123e+01,7.060000000000000000e+02
3.970416666666666856e+02,1.441666666666662877e+01,6.890000000000000000e+02
3.963333333333333144e+02,4.850000000000000000e+01,7.486666666666666288e+02
3.945000000000000000e+02,5.900000000000000000e+01,7.620000000000000000e+02
3.899642857142857224e+02,1.505357142857144481e+01,6.943928571428571104e+02
3.893999999999999773e+02,1.220000000000004547e+01,6.866000000000000227e+02
3.831200000000000045e+02,1.360000000000002274e+01,6.915800000000000409e+02
