x,y,z
2.370424710424710497e+02,5.660270270270269748e+02,5.469536679536679458e+02
1.210172413793103487e+02,5.249620689655172328e+02,3.510758620689655345e+02
5.440000000000000000e+02,3.909444444444444571e+02,7.118888888888889142e+02
2.659489795918367463e+02,5.429795918367346985e+02,6.521122448979591582e+02
3.758784530386740244e+02,5.990497237569061326e+02,3.300386740331491637e+02
1.210789473684210407e+02,5.068947368421052602e+02,2.050394736842105203e+02
9.694285714285717859e+01,4.858514285714285847e+02,2.330057142857142765e+02
5.800126582278480782e+02,4.507932489451476386e+02,2.050295358649788966e+02
2.401318681318681456e+02,5.421098901098901024e+02,6.378681318681318544e+02
6.419467455621302179e+02,3.240532544378698390e+02,4.277928994082840291e+02
6.232167487684729394e+02,3.549950738916256228e+02,5.319556650246305480e+02
5.777912087912087600e+02,4.749230769230769056e+02,2.810329670329670080e+02
4.039740259740259489e+02,5.318311688311688386e+02,6.568441558441558072e+02
2.438913043478260647e+02,5.561521739130434980e+02,5.948478260869565020e+02
9.186194029850742027e+01,4.898805970149253426e+02,2.882089552238805936e+02
9.873384030418253587e+01,5.019049429657794690e+02,3.239809885931558711e+02
6.201563981042654632e+02,3.927725118483411961e+02,2.888909952606634874e+02
6.200000000000000000e+02,1.533000000000000114e+02,4.180000000000000000e+02
6.028024193548386620e+02,4.268266129032257936e+02,2.608548387096774377e+02
2.238125000000000000e+02,5.572329545454545041e+02,5.679318181818181301e+02
4.318831168831168839e+02,5.852207792207792636e+02,3.098008658008657790e+02
3.557931034482758719e+02,5.697586206896551175e+02,5.730344827586206975e+02
2.999798657718120580e+02,5.632550335570469997e+02,6.017986577181208077e+02
1.123285024154589564e+02,5.069227053140096473e+02,4.910676328502415231e+02
2.823611111111108585e+01,3.791631944444444571e+02,4.548055555555555429e+02
4.097719869706838836e+01,4.059478827361563162e+02,3.226514657980455922e+02
3.582125603864733421e+01,2.747004830917874187e+02,2.389420289855072497e+02
4.587342995169082087e+02,5.741400966183574610e+02,3.008067632850241466e+02
5.608999999999999773e+02,4.742166666666666970e+02,1.867333333333333201e+02
1.801994301994301964e+02,5.640626780626780601e+02,3.007094017094017318e+02
3.413245033112582973e+02,5.650860927152317572e+02,5.948675496688741759e+02
5.568740157480315247e+02,4.963149606299212451e+02,4.421338582677165618e+02
6.238611111111110858e+02,3.242986111111110858e+02,2.398333333333333428e+02
4.681150793650793958e+02,5.702341269841269877e+02,3.237380952380952408e+02
2.578452380952380736e+02,5.492023809523809632e+02,6.297142857142856656e+02
1.900000000000000000e+02,5.080000000000000000e+02,6.786153846153846416e+02
4.139931506849314928e+02,5.907705479452055215e+02,3.436883561643835492e+02
2.878999999999996362e+01,3.680249999999999773e+02,5.186749999999999545e+02
5.078353658536582316e+01,4.318536585365853853e+02,3.367103658536585158e+02
5.870000000000000000e+02,4.490138248847925979e+02,2.326082949308755872e+02
5.209179687500000000e+02,4.942812500000000000e+02,5.787382812500000000e+02
6.490625000000000000e+01,4.161718750000000000e+02,6.146562500000000000e+02
2.731020408163265074e+02,5.643775510204081911e+02,5.879183673469387941e+02
4.997929292929293297e+02,5.152222222222221717e+02,5.667373737373737868e+02
1.681779141104294695e+02,5.418895705521472337e+02,5.246564417177913811e+02
3.190309278350515569e+02,5.800000000000000000e+02,1.325979381443299019e+02
4.871951219512195053e+02,4.703170731707317032e+02,6.931707317073170316e+02
6.272010582010582311e+02,3.503544973544973686e+02,2.680582010582010639e+02
2.776029962546817842e+01,3.791535580524344482e+02,4.206966292134831633e+02
6.101384615384615699e+02,3.849461538461538339e+02,2.236076923076923038e+02
6.266975308641975744e+02,3.512407407407407618e+02,5.191913580246913398e+02
6.179207920792077857e+01,4.229603960396039497e+02,2.156237623762376359e+02
1.976886792452830832e+01,2.513160377358490791e+02,4.278113207547169736e+02
1.328318584070796078e+02,5.280619469026548813e+02,2.605973451327433850e+02
4.704334763948497766e+02,5.650557939914162944e+02,4.059356223175965397e+02
2.861290322580646261e+01,2.801451612903225623e+02,2.808440860215054045e+02
3.198053691275167694e+02,5.809127516778523841e+02,5.326107382550335387e+02
3.902457627118644155e+02,5.632627118644068105e+02,5.747372881355931895e+02
5.304301675977653758e+02,5.290893854748603644e+02,3.579162011173184510e+02
5.346666666666666288e+02,5.168333333333333712e+02,2.317500000000000000e+02
5.184363636363636942e+02,4.820363636363636033e+02,6.148909090909090764e+02
3.066605839416058643e+02,5.981751824817517900e+02,2.467591240875912320e+02
6.373241758241758816e+02,3.141428571428571672e+02,5.017197802197802048e+02
4.460000000000000000e+02,4.873333333333333712e+02,7.126944444444444571e+02
5.697236180904523053e+02,4.682060301507538043e+02,2.047035175879397002e+02
5.108888888888884594e+01,3.957777777777777715e+02,5.996111111111110858e+02
4.978035087719298417e+02,5.431192982456140044e+02,4.556000000000000227e+02
5.790973451327433850e+02,4.759911504424778741e+02,3.015486725663716925e+02
6.435791855203619889e+02,2.990678733031674028e+02,4.491809954751131500e+02
6.381724137931034875e+02,2.286551724137930819e+02,5.027413793103448256e+02
9.870000000000004547e+01,4.881130434782608631e+02,5.226608695652173537e+02
4.528219895287958252e+02,5.585968586387434698e+02,5.048376963350785331e+02
5.572158273381295430e+02,4.926474820143885154e+02,2.317769784172661787e+02
4.731695501730104070e+02,5.672560553633218206e+02,3.576435986159169715e+02
1.616666666666666856e+02,4.940000000000000000e+02,6.723333333333333712e+02
3.807582417582417520e+02,5.929120879120879408e+02,4.266043956043956200e+02
4.802949640287769739e+02,5.159640287769784663e+02,6.026330935251799019e+02
