x,y,z
6.360000000000000000e+02,3.180000000000000000e+02,5.120000000000000000e+02
6.338750000000000000e+02,2.330000000000000000e+02,5.542500000000000000e+02
6.100000000000000000e+02,2.710000000000000000e+02,6.445000000000000000e+02
3.510000000000000000e+02,5.910000000000000000e+02,1.800000000000000000e+02
1.990000000000000000e+02,5.662000000000000455e+02,4.826000000000000227e+02
8.533333333333337123e+01,2.700000000000000000e+02,2.466666666666666785e+01
8.100000000000000000e+01,2.126923076923076792e+02,1.051538461538461604e+02
7.757894736842104066e+01,2.208421052631579187e+02,1.059736842105263150e+02
7.675000000000000000e+01,2.696666666666666856e+02,5.525000000000000000e+01
7.257142857142855519e+01,2.805714285714285552e+02,6.342857142857143060e+01
5.111111111111108585e+01,1.580000000000000000e+02,4.873333333333333144e+02
