x,y,z
3.610000000000000000e+02,6.000000000000000000e+02,3.770000000000000000e+02
2.790000000000000000e+02,5.920952380952380736e+02,4.559047619047619264e+02
3.881111111111110858e+02,5.928888888888889142e+02,4.161111111111110858e+02
1.928965517241379075e+02,5.238620689655172100e+02,6.408275862068965125e+02
9.714956011730203045e+01,4.859530791788856163e+02,2.327536656891495568e+02
2.886784140969166401e+01,2.112422907488986539e+02,5.028854625550660558e+02
1.121906354515050452e+02,5.067993311036789237e+02,4.908795986622073428e+02
4.532500000000000000e+02,5.591018518518518476e+02,5.048518518518518476e+02
4.090374331550799525e+01,4.061363636363636260e+02,3.227272727272727479e+02
3.331111111111110858e+02,5.957777777777778283e+02,4.487777777777777715e+02
5.074687500000004547e+01,4.319843750000000000e+02,3.367718750000000227e+02
3.579459459459462778e+01,2.098864864864864899e+02,6.032486486486486683e+02
2.798488664987405627e+01,3.791712846347606956e+02,4.206952141057934682e+02
1.158884462151394246e+02,5.083346613545816695e+02,5.039681274900398193e+02
5.730958083832335888e+02,7.765868263473055322e+01,5.520838323353293617e+02
2.866666666666666856e+02,5.559333333333332803e+02,6.231333333333333258e+02
3.888285714285714221e+02,5.852857142857143344e+02,4.771714285714285779e+02
3.711363636363637397e+01,1.876909090909090878e+02,4.908181818181818130e+02
4.141504854368931774e+02,5.909271844660194120e+02,3.436553398058252355e+02
1.582470588235294144e+02,4.808352941176470949e+02,2.875294117647058911e+01
6.380405405405406327e+01,4.422195945945945823e+02,2.597432432432432279e+02
2.921003134796239920e+01,3.680815047021943656e+02,5.186645768025077814e+02
1.085968749999999545e+02,4.799968749999999886e+02,1.620406250000000057e+02
3.810338983050847332e+02,5.933389830508474461e+02,4.272203389830508513e+02
4.080312500000002274e+01,3.816750000000000114e+02,5.748406250000000455e+02
1.506699346405228539e+02,5.391993464052287663e+02,4.751633986928104605e+02
9.911401425178144109e+01,5.016935866983372989e+02,3.237173396674584183e+02
3.611818181818181870e+02,5.916181818181818244e+02,4.628818181818181756e+02
1.939300000000000068e+02,4.972099999999999795e+02,7.073799999999999955e+02
9.913716814159295154e+01,4.883407079646017337e+02,5.227566371681415376e+02
5.980392156862740194e+01,1.646405228758169983e+02,3.508366013071895395e+02
1.955808383233533050e+02,5.641197604790419291e+02,2.248982035928143830e+02
5.731756756756756204e+02,7.117567567567562037e+01,4.886261261261261097e+02
3.958372093023255616e+02,5.933837209302325846e+02,2.538139534883721069e+02
6.205432098765436422e+01,4.231135802469135569e+02,2.155580246913580140e+02
3.974576271186440408e+02,5.880508474576271283e+02,4.400169491525423950e+02
