x,y,z
6.790000000000000000e+02,3.020000000000000000e+02,3.510000000000000000e+02
6.790000000000000000e+02,2.690000000000000000e+02,3.820000000000000000e+02
6.770000000000000000e+02,2.980000000000000000e+02,3.420000000000000000e+02
6.750000000000000000e+02,3.460000000000000000e+02,3.250000000000000000e+02
6.680000000000000000e+02,3.740000000000000000e+02,3.100000000000000000e+02
6.680000000000000000e+02,3.700000000000000000e+02,3.250000000000000000e+02
6.650000000000000000e+02,2.000000000000000000e+02,4.050000000000000000e+02
6.640000000000000000e+02,3.970000000000000000e+02,3.080000000000000000e+02
6.580000000000000000e+02,4.110000000000000000e+02,2.970000000000000000e+02
6.560000000000000000e+02,1.750000000000000000e+02,3.970000000000000000e+02
6.550000000000000000e+02,1.680000000000000000e+02,4.070000000000000000e+02
6.460000000000000000e+02,4.390000000000000000e+02,2.850000000000000000e+02
6.390000000000000000e+02,1.360000000000000000e+02,4.270000000000000000e+02
6.320000000000000000e+02,4.710000000000000000e+02,3.110000000000000000e+02
6.320000000000000000e+02,1.270000000000000000e+02,4.080000000000000000e+02
6.320000000000000000e+02,1.220000000000000000e+02,4.460000000000000000e+02
6.210000000000000000e+02,1.080000000000000000e+02,4.330000000000000000e+02
5.970000000000000000e+02,3.140000000000000000e+02,7.950000000000000000e+02
5.970000000000000000e+02,2.650000000000000000e+02,8.290000000000000000e+02
5.970000000000000000e+02,1.930000000000000000e+02,8.180000000000000000e+02
5.850000000000000000e+02,5.270000000000000000e+02,2.520000000000000000e+02
5.450000000000000000e+02,5.610000000000000000e+02,2.270000000000000000e+02
5.390000000000000000e+02,1.780000000000000000e+02,9.430000000000000000e+02
5.360000000000000000e+02,5.380000000000000000e+02,1.240000000000000000e+02
5.290000000000000000e+02,1.910000000000000000e+02,9.630000000000000000e+02
5.190000000000000000e+02,1.760000000000000000e+02,9.670000000000000000e+02
5.120000000000000000e+02,6.600000000000000000e+01,8.900000000000000000e+02
5.000000000000000000e+02,4.580000000000000000e+02,8.170000000000000000e+02
4.970000000000000000e+02,3.840000000000000000e+02,9.530000000000000000e+02
4.540000000000000000e+02,5.290000000000000000e+02,6.890000000000000000e+02
3.620000000000000000e+02,6.250000000000000000e+02,2.550000000000000000e+02
3.400000000000000000e+02,6.140000000000000000e+02,1.440000000000000000e+02
3.340000000000000000e+02,4.730000000000000000e+02,9.500000000000000000e+02
3.260000000000000000e+02,6.100000000000000000e+02,1.330000000000000000e+02
2.990000000000000000e+02,6.110000000000000000e+02,1.490000000000000000e+02
2.900000000000000000e+02,5.990000000000000000e+02,1.070000000000000000e+02
2.400000000000000000e+02,4.910000000000000000e+02,8.960000000000000000e+02
1.940000000000000000e+02,5.050000000000000000e+02,8.080000000000000000e+02
1.220000000000000000e+02,5.080000000000000000e+02,1.600000000000000000e+02
1.180000000000000000e+02,5.150000000000000000e+02,2.310000000000000000e+02
1.120000000000000000e+02,5.060000000000000000e+02,2.570000000000000000e+02
1.100000000000000000e+02,5.060000000000000000e+02,2.580000000000000000e+02
8.000000000000000000e+01,1.620000000000000000e+02,4.060000000000000000e+02
7.800000000000000000e+01,1.640000000000000000e+02,4.190000000000000000e+02
7.000000000000000000e+01,3.560000000000000000e+02,8.760000000000000000e+02
6.100000000000000000e+01,4.290000000000000000e+02,2.870000000000000000e+02
4.000000000000000000e+01,3.850000000000000000e+02,3.670000000000000000e+02
3.500000000000000000e+01,2.960000000000000000e+02,8.040000000000000000e+02
3.200000000000000000e+01,2.420000000000000000e+02,4.650000000000000000e+02
3.100000000000000000e+01,2.780000000000000000e+02,7.970000000000000000e+02
3.000000000000000000e+01,2.550000000000000000e+02,7.700000000000000000e+02
2.900000000000000000e+01,3.240000000000000000e+02,3.640000000000000000e+02
2.900000000000000000e+01,2.740000000000000000e+02,4.140000000000000000e+02
2.800000000000000000e+01,3.010000000000000000e+02,4.040000000000000000e+02
2.800000000000000000e+01,2.850000000000000000e+02,4.280000000000000000e+02
2.600000000000000000e+01,3.110000000000000000e+02,3.910000000000000000e+02
2.500000000000000000e+01,3.020000000000000000e+02,4.150000000000000000e+02
2.400000000000000000e+01,2.860000000000000000e+02,4.400000000000000000e+02
