x,y,z
6.790000000000000000e+02,3.210000000000000000e+02,3.160000000000000000e+02
6.790000000000000000e+02,2.770000000000000000e+02,3.990000000000000000e+02
6.790000000000000000e+02,2.760000000000000000e+02,3.500000000000000000e+02
6.780000000000000000e+02,3.140000000000000000e+02,3.060000000000000000e+02
6.760000000000000000e+02,3.390000000000000000e+02,3.140000000000000000e+02
6.730000000000000000e+02,3.050000000000000000e+02,4.480000000000000000e+02
6.730000000000000000e+02,2.110000000000000000e+02,3.790000000000000000e+02
6.720000000000000000e+02,2.210000000000000000e+02,4.290000000000000000e+02
6.720000000000000000e+02,2.160000000000000000e+02,3.880000000000000000e+02
6.680000000000000000e+02,3.220000000000000000e+02,4.610000000000000000e+02
6.650000000000000000e+02,3.580000000000000000e+02,4.400000000000000000e+02
6.630000000000000000e+02,3.930000000000000000e+02,3.520000000000000000e+02
6.620000000000000000e+02,2.190000000000000000e+02,4.960000000000000000e+02
6.620000000000000000e+02,1.810000000000000000e+02,4.130000000000000000e+02
6.540000000000000000e+02,1.650000000000000000e+02,3.740000000000000000e+02
6.310000000000000000e+02,1.170000000000000000e+02,4.120000000000000000e+02
6.050000000000000000e+02,2.500000000000000000e+02,8.020000000000000000e+02
5.970000000000000000e+02,2.940000000000000000e+02,8.190000000000000000e+02
5.970000000000000000e+02,2.200000000000000000e+02,8.340000000000000000e+02
5.950000000000000000e+02,1.080000000000000000e+02,6.760000000000000000e+02
5.810000000000000000e+02,5.200000000000000000e+01,4.360000000000000000e+02
5.780000000000000000e+02,1.880000000000000000e+02,8.760000000000000000e+02
5.730000000000000000e+02,1.100000000000000000e+02,8.010000000000000000e+02
5.640000000000000000e+02,5.330000000000000000e+02,4.140000000000000000e+02
5.640000000000000000e+02,7.600000000000000000e+01,7.400000000000000000e+02
5.560000000000000000e+02,2.190000000000000000e+02,9.330000000000000000e+02
5.540000000000000000e+02,2.800000000000000000e+01,4.750000000000000000e+02
5.520000000000000000e+02,3.000000000000000000e+01,5.070000000000000000e+02
5.500000000000000000e+02,2.600000000000000000e+01,5.400000000000000000e+02
5.490000000000000000e+02,2.030000000000000000e+02,9.390000000000000000e+02
5.400000000000000000e+02,6.500000000000000000e+01,8.140000000000000000e+02
5.390000000000000000e+02,5.400000000000000000e+02,4.670000000000000000e+02
5.390000000000000000e+02,3.810000000000000000e+02,8.900000000000000000e+02
5.380000000000000000e+02,1.980000000000000000e+02,9.570000000000000000e+02
5.350000000000000000e+02,1.970000000000000000e+02,9.560000000000000000e+02
5.350000000000000000e+02,5.400000000000000000e+01,7.990000000000000000e+02
5.320000000000000000e+02,2.090000000000000000e+02,9.660000000000000000e+02
5.270000000000000000e+02,2.630000000000000000e+02,9.770000000000000000e+02
5.270000000000000000e+02,1.730000000000000000e+02,9.580000000000000000e+02
5.270000000000000000e+02,1.460000000000000000e+02,9.460000000000000000e+02
5.220000000000000000e+02,1.300000000000000000e+01,5.870000000000000000e+02
5.120000000000000000e+02,2.900000000000000000e+02,9.900000000000000000e+02
5.090000000000000000e+02,2.380000000000000000e+02,9.940000000000000000e+02
