image_file_path,label_file_path,orientation,estimate of missing labelled ommatidia in image,crop,comments (at 10 voxel between ommatidia resolution),
dataset/all/raw_images/flammula_20200327_female_left_178_fullres_cropped.nii,//home/jake/projects/mctv_resfiles/fiddlercrabs/flammula_20200327_female_left_178_fullres_cropped/flammula_20200327_female_left_178_fullres_cropped_new.mat,good,25.00%,,,
dataset/all/raw_images/diurnal_tarsata.nii,//home/jake/projects/mctv_resfiles/ants/diurnal_tarsata/tarsata.mat,good,1.00%,,,
dataset/all/raw_images/dampieri_20151218.nii,//home/jake/projects/mctv_resfiles/fiddlercrabs/dampieri_20151218/20151218_dampieri.mat,good,5.00%,,,
dataset/all/raw_images/dampieri_20200218_male_left_1676.nii,//home/jake/projects/mctv_resfiles/fiddlercrabs/dampieri_20200218_male_left_1676/Lachlan_03052021.mat,good,5.00%,,,
dataset/all/raw_images/dampieri_male_16.nii,//home/jake/projects/mctv_resfiles/fiddlercrabs/dampieri_20200219_male_right_1676/dampieri_20200219_male_right_1676.mat,good,10.00%,,,
dataset/all/raw_images/flammula_20180307.nii,//home/jake/projects/mctv_resfiles/fiddlercrabs/flammula_20180307/flammula_full.mat,good,1.00%,,,
dataset/all/raw_images/flammula_20190925_male_left.nii,//home/jake/projects/mctv_resfiles/fiddlercrabs/flammula_20190925_male_left/flammula_male_25_9_left_latest.mat,good,15.00%,,,
dataset/all/raw_images/neohelice_20190616_1_cropped.nii,//home/jake/projects/mctv_resfiles/fiddlercrabs/neohelice_20190616_1_cropped/neoheliece.mat,good,15.00%,,image is cut in half as additional labels were found. Image is corrupted? My checks also say the labels fall outside the image dimensions,
dataset/all/raw_images/Hyperia_02_head_FEG190604_014C,//home/jake/projects/mctv_resfiles/hyperiids/hyperia_20190604_02/upsampled_data.mat,good,50.00%,,only one eye is done (but is done completely),
dataset/all/raw_images/Hyperia_01_head_FEG190604_014B,//home/jake/projects/mctv_resfiles/hyperiids/hyperia_20190604/both_eyes_cleaned.mat,good,1.00%,,,
dataset/all/raw_images/Leptocotis_02_head_FEG190214_005b,//home/jake/projects/mctv_resfiles/hyperiids/Leptocotis_02_head_FEG190214_005b/matlab.mat,good,50.00%,,"rhabdom labels are bottom of cones, not rhabdoms",
dataset/all/raw_images/P_crassipes_FEG190213_003b_02_head,//home/jake/projects/mctv_resfiles/hyperiids/P_crassipes_FEG190213_003b/P_crassipes_FEG190213_003b.mat,good,1.00%,,some rhabdoms labelled as corneas,
dataset/all/raw_images/P_crassipes_FEG190801_034_head,//home/jake/projects/mctv_resfiles/hyperiids/P_crassipes_FEG190801_034_head/P_crassipes_FEG190801_034.mat,not the right image,,,resolution not good enough to resolve rhabdoms,
dataset/all/raw_images/P_crassipes_FEG191022_077A_highpriority,//home/jake/projects/mctv_resfiles/hyperiids/P_crassipes_FEG191022_077A/P_crassipes_FEG191022_077A.mat,not the right image,,,,
dataset/all/raw_images/P_crassipes_FEG191022_077B.nii,//home/jake/projects/mctv_resfiles/hyperiids/P_crassipes_FEG191022_077B_highpriority/mary_23042021.mat,good,30.00%,,resolution not good enough to resolve rhabdoms, missing lateral eyes
dataset/all/raw_images/P_crassipes_FEG200129_099_cropped,//home/jake/projects/mctv_resfiles/hyperiids/P_crassipes_FEG200129_099/FEG200129_099.mat,good,30.00%,,resolution not good enough to resolve rhabdoms, missing lateral eyes
dataset/all/raw_images/P_crassipes_FEG200205_108_crop.nii,//home/jake/projects/mctv_resfiles/hyperiids/P_crassipes_FEG200205_108/P_crassipes_FEG200205_108.mat,good,30.00%,,resolution not good enough to resolve rhabdoms, missing lateral eyes
dataset/all/raw_images/P_gracilis_FEG190213_003a_head.nii,//home/jake/projects/mctv_resfiles/hyperiids/P_gracilis_FEG190213_003a_head/P_gracilis_FEG190213_003a.mat,good,50.00%,,has very large corneas (that are far apart). This may mess up scaling for this image, resolution not good enough to resolve rhabdoms 
dataset/all/raw_images/P_robisoni_FEG200205_105-head,//home/jake/projects/mctv_resfiles/hyperiids/P_robisoni_FEG200205_105/Paraphronima_FEG200205_105.mat,wrong image,30.00%,,resolution not good enough to resolve rhabdoms, missing lateral eyes
