image_file_path,mctv_label_file_path,split,orientation,estimate of missing labelled ommatidia in image,comments (at 10 voxel between ommatidia resolution),labels_corneas,labels_rhabdoms
dataset/raw_images/P_crassipes_FEG190213_003b_02_head,//home/jake/projects/mctv_resfiles/hyperiids/P_crassipes_FEG190213_003b/P_crassipes_FEG190213_003b.mat,train,good,1.00%,some rhabdoms labelled as corneas,./dataset/raw_labels/P_crassipes_FEG190213_003b_02_head_labels_corneas.csv,./dataset/raw_labels/P_crassipes_FEG190213_003b_02_head_labels_rhabdoms.csv
dataset/raw_images/P_crassipes_FEG190801_034_00001_new.nii,//home/jake/projects/mctv_resfiles/hyperiids/P_crassipes_FEG190801_034_head/P_crassipes_FEG190801_034.mat,train,good,,resolution not good enough to resolve rhabdoms,./dataset/raw_labels/P_crassipes_FEG190801_034_00001_new_labels_corneas.csv,./dataset/raw_labels/P_crassipes_FEG190801_034_00001_new_labels_rhabdoms.csv
dataset/raw_images/P_gracilis_FEG190213_003a_head.nii,//home/jake/projects/mctv_resfiles/hyperiids/P_gracilis_FEG190213_003a_head/P_gracilis_FEG190213_003a.mat,train,good,50.00%,has very large corneas (that are far apart). This may mess up scaling for this image,./dataset/raw_labels/P_gracilis_FEG190213_003a_head_labels_corneas.csv,./dataset/raw_labels/P_gracilis_FEG190213_003a_head_labels_rhabdoms.csv
dataset/raw_images/P_robisoni_FEG200205_105,//home/jake/projects/mctv_resfiles/hyperiids/P_robisoni_FEG200205_105/Paraphronima_FEG200205_105.mat,train,good,30.00%,resolution not good enough to resolve rhabdoms,./dataset/raw_labels/P_robisoni_FEG200205_105_labels_corneas.csv,./dataset/raw_labels/P_robisoni_FEG200205_105_labels_rhabdoms.csv
dataset/raw_images/P_crassipes_FEG191022_077A.nii,//home/jake/projects/mctv_resfiles/hyperiids/P_crassipes_FEG191022_077A/P_crassipes_FEG191022_077A.mat,test,good,,10 voxels between corneas spacing comment,./dataset/raw_labels/P_crassipes_FEG191022_077A_labels_corneas.csv,./dataset/raw_labels/P_crassipes_FEG191022_077A_labels_rhabdoms.csv
dataset/raw_images/P_crassipes_FEG200129_099,//home/jake/projects/mctv_resfiles/hyperiids/P_crassipes_FEG200129_099/FEG200129_099.mat,test,good,30.00%,resolution not good enough to resolve rhabdoms,./dataset/raw_labels/P_crassipes_FEG200129_099_cropped_labels_corneas.csv,./dataset/raw_labels/P_crassipes_FEG200129_099_cropped_labels_rhabdoms.csv
dataset/raw_images/FEG200205_108_crop.nii,//home/jake/projects/mctv_resfiles/hyperiids/P_crassipes_FEG200205_108/P_crassipes_FEG200205_108.mat,test,good,30.00%,resolution not good enough to resolve rhabdoms,./dataset/raw_labels/P_crassipes_FEG200205_108_crop_labels_corneas.csv,./dataset/raw_labels/P_crassipes_FEG200205_108_crop_labels_rhabdoms.csv
dataset/raw_images/Paraphronima_head_04_FEG200130_103,//home/jake/projects/mctv_resfiles/hyperiids/Paraphronima_head_04_FEG200130_103/Paraphronima_head_04_FEG200130_103.mat,train,good,1.00%,resolution not good enough to resolve rhabdoms,./dataset/raw_labels/Paraphronima_head_04_FEG200130_103_labels_corneas.csv,./dataset/raw_labels/Paraphronima_head_04_FEG200130_103_labels_rhabdoms.csv
dataset/raw_images/Paraphronima_head_05_FEG200130_102,//home/jake/projects/mctv_resfiles/hyperiids/P_gracilis_FEG190213_003a_head/P_gracilis_FEG190213_003a.mat,train,good,50.00%,has very large corneas (that are far apart). This may mess up scaling for this image,./dataset/raw_labels/P_gracilis_FEG190213_003a_head_labels_corneas.csv,./dataset/raw_labels/P_gracilis_FEG190213_003a_head_labels_rhabdoms.csv
dataset/raw_images/P_gracilis_FEG190213_003a_head.nii,//home/jake/projects/mctv_resfiles/hyperiids/P_robisoni_FEG200205_105/Paraphronima_FEG200205_105.mat,test,good,30.00%,resolution not good enough to resolve rhabdoms,./dataset/raw_labels/P_robisoni_FEG200205_105_labels_corneas.csv,./dataset/raw_labels/P_robisoni_FEG200205_105_labels_rhabdoms.csv
