x,y,z
4.541666666666666856e+02,4.730000000000000000e+02,4.315833333333333144e+02
4.477142857142857224e+02,4.770000000000000000e+02,4.225000000000000000e+02
4.345275590551181040e+02,4.828976377952756138e+02,3.185590551181102228e+02
4.322654867256637203e+02,4.851681415929203354e+02,3.296814159292035242e+02
4.296228070175438916e+02,4.874122807017544119e+02,3.408771929824561653e+02
4.272577319587628608e+02,4.889587628865979241e+02,3.520412371134020759e+02
4.275714285714285552e+02,4.861428571428571672e+02,3.093730158730158450e+02
4.253846153846153584e+02,4.881538461538461320e+02,3.203461538461538680e+02
4.245000000000000000e+02,4.905714285714285552e+02,3.628095238095237960e+02
4.227878787878787534e+02,4.904141414141413975e+02,3.316868686868687064e+02
4.206470588235293917e+02,4.919882352941176578e+02,3.427764705882352700e+02
4.225000000000000000e+02,4.920000000000000000e+02,3.740000000000000000e+02
4.180526315789473983e+02,4.913473684210526358e+02,3.110947368421052488e+02
4.177777777777777715e+02,4.940000000000000000e+02,3.537777777777777715e+02
4.163076923076923208e+02,4.929780219780219568e+02,3.222857142857142776e+02
4.134915254237288309e+02,4.951355932203389898e+02,3.330847457627118615e+02
4.111363636363636260e+02,4.962727272727272521e+02,3.440454545454545610e+02
4.087746478873239084e+02,4.958873239436619542e+02,3.133380281690140805e+02
4.069347826086956275e+02,4.974565217391304373e+02,3.243043478260869392e+02
4.040000000000000000e+02,4.991818181818181870e+02,3.351818181818181870e+02
3.998518518518518476e+02,4.997777777777777715e+02,3.148148148148148380e+02
3.930000000000000000e+02,5.016000000000000227e+02,3.062666666666666515e+02
3.912450980392156907e+02,4.357254901960784537e+02,1.134215686274509807e+02
3.886162790697674154e+02,4.318488372093023600e+02,1.070465116279069804e+02
3.863365384615384528e+02,4.419807692307692264e+02,1.166250000000000000e+02
3.857721518987341369e+02,4.283670886075949511e+02,1.007721518987341796e+02
3.840892857142857224e+02,4.951428571428571672e+02,2.325535714285714164e+02
3.839892473118279668e+02,4.382688172043010582e+02,1.101827956989247355e+02
3.827023809523809632e+02,4.245119047619047592e+02,9.403571428571429180e+01
3.816764705882353041e+02,4.975882352941176237e+02,2.420588235294117680e+02
3.809900990099009732e+02,4.478811881188119060e+02,1.198613861386138666e+02
3.809620253164557084e+02,4.347974683544304071e+02,1.037848101265822720e+02
3.800666666666666629e+02,4.999333333333333371e+02,2.515333333333333314e+02
3.798064516129032313e+02,4.206451612903225623e+02,8.809677419354838435e+01
3.787052631578947057e+02,4.439684210526315837e+02,1.132000000000000028e+02
3.786481481481481524e+02,4.935370370370370665e+02,2.169259259259259238e+02
3.780000000000000000e+02,4.313406593406593288e+02,9.768131868131868600e+01
